Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7b35104bc8e8e075a03d645fda9988fa8f2f58eedbcacf11d939d0d56d960cd1,2013-04,Dorset Police,Dorset Police,-2.439068,50.542187,On or near SHORTLANDS,E01020565,Weymouth and Portland 009C,Investigation complete; no suspect identified
08212c75b2efdb01a52e450a1ae776706db2acaaa29eac5dc999db0652b3f910,2013-04,Dorset Police,Dorset Police,-2.475946,50.592861,On or near PARKMEAD ROAD,E01020586,Weymouth and Portland 007A,Investigation complete; no suspect identified
ed81de483a071bdd3ad8e9ba2bde6ab2ae2ab805e52aef0594e936ed2528f5f8,2013-04,Dorset Police,Dorset Police,-2.768787,50.748114,On or near DOTTERY ROAD,E01020536,West Dorset 007D,Investigation complete; no suspect identified
d1c0fbc0aa617aed35ecb9c8fbbb401822adfb3822c69925bf00c4f97dbf72c0,2013-04,Dorset Police,Dorset Police,-2.515826,50.949637,On or near Supermarket,E01020544,West Dorset 001C,Investigation complete; no suspect identified
997682c2c2c00150a53732bb03ddd0aac215a7d89dad960c67c4ef6f04f91701,2013-04,Dorset Police,Dorset Police,-1.890165,50.810696,On or near HEATHER DRIVE,E01020390,East Dorset 008A,Investigation complete; no suspect identified
922c01575d44630df4be326578c093bcf1b48575a82079ea1f44c4f54981345f,2013-04,Dorset Police,Dorset Police,-1.973826,50.796734,On or near DAY'S COURT,E01020427,East Dorset 010B,Investigation complete; no suspect identified
be9545752768bd1014041235571652525a75ef7aa1337aa91f676bba27303772,2013-04,Dorset Police,Dorset Police,-2.187497,51.016000,On or near TOLLGATE PARK,E01020456,North Dorset 003C,Investigation complete; no suspect identified
c86575d28ce8fc36a58fade7e17d5c668c36a7100f221220b7df7d8ec65a7200,2013-04,Dorset Police,Dorset Police,-1.956744,50.609384,On or near Theatre/Concert Hall,E01020479,Purbeck 006B,Investigation complete; no suspect identified
9fb217932769d988b525f21f57071ebe7a978be7c81adbe34c75ed1c8d4d75ca,2013-04,Dorset Police,Dorset Police,-1.958087,50.609205,On or near COMMERCIAL ROAD,E01020482,Purbeck 006E,Investigation complete; no suspect identified
bddcc37f986cb9eb883c690a1955964cec6b8de17d104b05ff6918f3e82e7293,2013-04,Dorset Police,Dorset Police,-2.244016,50.625998,On or near BEECH CLOSE,E01020489,Purbeck 004A,Investigation complete; no suspect identified
3fd1bbaed172749004ff1770ea775242c648fade3df4e0bc694dd59e549961c2,2013-04,Dorset Police,Dorset Police,-2.378429,50.686798,On or near STAFFORD CLOSE,E01020505,West Dorset 011A,Investigation complete; no suspect identified
f9f8ccbe2708aaa13b83c236da17e3e9a736cdfe7a00bc568476ec421e3a3ae1,2013-04,Dorset Police,Dorset Police,-2.447199,50.701878,On or near REMUS CLOSE,E01020524,West Dorset 010E,Investigation complete; no suspect identified
