Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dda4c7967ad4d513d458c553111a33cda7df03b7a75b750c3dca6967d0e0679b,2014-10,Dorset Police,Dorset Police,-2.454829,50.610859,On or near SCHOOL STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
c3ae77ae6f77ce93604636d93301b414720f71295de956bef7680989e108f209,2014-10,Dorset Police,Dorset Police,-1.878491,50.818904,On or near MERINO WAY,E01020425,East Dorset 006E,Investigation complete; no suspect identified
7b0af4cc1e226a531781476a95eec4a34a6f46e1bb075997c42cbb61c6a8b072,2014-10,Dorset Police,Dorset Police,-2.453463,50.615721,On or near QUEEN STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
a7fb670a3af42e28b1d2568dbcc80a85e7c62ec844e9dfb3afeeaaa61e90ce21,2014-10,Dorset Police,Dorset Police,-2.466747,50.712548,On or near HESSARY STREET,E01032641,West Dorset 009F,Investigation complete; no suspect identified
33e082e470c9222ebe7d21fb84c6f9cd46b56c0db8b5c37b6c0978ecce246144,2014-10,Dorset Police,Dorset Police,-2.190498,51.010843,On or near LANE-SIDE,E01020454,North Dorset 003A,Investigation complete; no suspect identified
138c8fc7bb3fe744ef7120212c6e3c40ea45d124a53772e1240dab6e1a0e3cfa,2014-10,Dorset Police,Dorset Police,-2.572966,50.893977,On or near EASTLANDS,E01020550,West Dorset 002D,Investigation complete; no suspect identified
c10609a6a32769b659dd1d8b41c1e09b14c951dbc3ff194e07cd759b84ef23c8,2014-10,Dorset Police,Dorset Police,-2.474378,50.606941,On or near ROUNDHAM GARDENS,E01020577,Weymouth and Portland 005C,Investigation complete; no suspect identified
4ef6d3d67ce09fe5a7f38ccfe550d0b0b1289dea5c1414613bd8b030988e840c,2014-10,Dorset Police,Dorset Police,-1.866596,50.878466,On or near SHARD CLOSE,E01020418,East Dorset 002C,Investigation complete; no suspect identified
f10404f1eac2de17db44f55dcc0e367233d649051851b8205e84a1b351d36826,2014-10,Dorset Police,Dorset Police,-1.940546,50.802729,On or near CANFORD BOTTOM,E01020408,East Dorset 009E,Investigation complete; no suspect identified
bc2434c684babedac2bfcdae7e836889f7cf5cad71158ec8cdddaa361ac74866,2014-10,Dorset Police,Dorset Police,-2.471940,50.616124,On or near Sports/Recreation Area,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
17b07dae7d152e6e81555050c0175c5e3929be05f1201c021c532ad64453deff,2014-10,Dorset Police,Dorset Police,-2.887774,50.826288,On or near CHARD STREET,E01020535,West Dorset 005D,Investigation complete; no suspect identified
87029a7af9efca8308d32766c3cda9f5e6d4a7969cf9047fb6df21a4e8547748,2014-10,Dorset Police,Dorset Police,-1.887273,50.821080,On or near KINGS CLOSE,E01020422,East Dorset 006B,Investigation complete; no suspect identified
99c5838d107140022ee9f59a92eb4ad2e9a81a54c2b7a05728e209668d9d557b,2014-10,Dorset Police,Dorset Police,-2.303456,50.926939,On or near Parking Area,E01020458,North Dorset 004D,Investigation complete; no suspect identified
0c6f591d048bdd3ca73bcbd8acdba47b264339538a0758eadea4f74ea9292c24,2014-10,Dorset Police,Dorset Police,-2.196293,51.006013,On or near HIGH STREET,E01020454,North Dorset 003A,Investigation complete; no suspect identified
