Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
98627b869ba99f7af8781225b1a18ce36a44c2a54206ed22924d795af5ff0354,2014-10,Humberside Police,Humberside Police,-0.364424,53.742177,On or near SANER STREET,E01012892,Kingston upon Hull 030D,Investigation complete; no suspect identified
7a0d442252a2f824ea435ca9a345a10eefa795c19ece9611248f680e77545e5f,2014-10,Humberside Police,Humberside Police,-0.321924,53.740951,On or near HA'PENNY BRIDGE WAY,E01012811,Kingston upon Hull 026E,Investigation complete; no suspect identified
3036d898abc21ffe670b13722c6ba25affb0db4f46cfc301f331b766146bf2cd,2014-10,Humberside Police,Humberside Police,-0.319207,53.761912,On or near Sports/Recreation Area,E01012804,Kingston upon Hull 016A,Investigation complete; no suspect identified
3d0e30b1eacface4240da7f8675d86a0b184308d568d8df11026b358beee95a7,2014-10,Humberside Police,Humberside Police,-0.348012,53.752730,On or near BEVERLEY ROAD,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
0f527017b696df0b8acfbf2b152e70a8a91f96bf8c33a2a2bf1f8db5d9f748dc,2014-10,Humberside Police,Humberside Police,-0.313462,53.754972,On or near ACKWORTH STREET,E01012808,Kingston upon Hull 026B,Investigation complete; no suspect identified
c7360f8ba4d602564e27b10cab7e2c6fbf0fcc34e587be8f6eec7fba800b469d,2014-10,Humberside Police,Humberside Police,-0.314443,53.753197,On or near HOLDERNESS ROAD,E01012808,Kingston upon Hull 026B,Investigation complete; no suspect identified
9fb463881bce4aecbb34166c9453fbda38c6b40acf5d80ff3cee1c6802e9675f,2014-10,Humberside Police,Humberside Police,-0.328986,53.745248,On or near CLARENCE STREET,E01033109,Kingston upon Hull 029F,Investigation complete; no suspect identified
40a41c7bb656ad17594f9949b227f8f47d6c196dca4c9f564ff9bff555d9d10e,2014-10,Humberside Police,Humberside Police,-0.366935,53.743514,On or near ARNOLD LANE,E01012893,Kingston upon Hull 030E,Investigation complete; no suspect identified
50d5ff817f47334ad2ef620f36da6bbfdbacf0e851a8618c9ee0523846bf5dcc,2014-10,Humberside Police,Humberside Police,-0.374540,53.747240,On or near WALTON STREET,E01012859,Kingston upon Hull 030A,Investigation complete; no suspect identified
d23e71e26751ca39a3be2c6c5f8f84dee3e3d0464aa25ae4dda6266292706b0c,2014-10,Humberside Police,Humberside Police,-0.343277,53.747801,On or near WRIGHT STREET,E01012851,Kingston upon Hull 029A,Investigation complete; no suspect identified
658744dfb8aa281947d248dde4d7c9deb71d9b252bab9878f5e18c334b9960df,2014-10,Humberside Police,Humberside Police,-0.374854,53.744188,On or near LONSDALE STREET,E01012862,Kingston upon Hull 025E,Investigation complete; no suspect identified
