Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
eeff19632f65be644514cb7f5925b9d97b5be3ae024e4e080384f4a09254f150,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.249069,52.630262,On or near GIPSY CLOSE,E01026868,Norwich 006F,Suspect charged
a74d7754aacb231b3f22cbca92fdc38e46a6f2175ad8439eade976590fa228ec,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.735909,52.604471,On or near Nightclub,E01026626,Great Yarmouth 006E,Suspect charged
0d4edd352ca9a3192b92ff23cd576a20d304b7d29baeb5108709fe366547a01c,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.276620,52.640727,On or near HEIGHAM WATERING,E01026825,Norwich 007D,Suspect charged
e9adf20a0135477c0822c2ac5bd8b5a578505b552c08d5987323f876fd7912fc,2014-10,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Offender given a drugs possession warning
436cafa65197ec7837f477669e6127f48f312ec106d38ea12f927ba33b1b3476,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.279121,52.634038,On or near PORTWAY PLACE,E01026824,Norwich 007C,Suspect charged
082cb4be7213e9c3d45a707f8abfd6e059fca0ae43719163dc671937b4a110d4,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.289771,52.625864,On or near Shopping Area,E01026822,Norwich 007A,Local resolution
112e656b064dc044b85c70d3c0c9efde2e6130f7c63db7be3a0b3309c1115578,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.338375,52.904285,On or near STOREY'S LOKE,E01026762,North Norfolk 005A,Suspect charged
d6378c65649db20a7fe8822ab79d860d943e3445e0277c2e772185997c007177,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.730330,52.610610,On or near Supermarket,E01026597,Great Yarmouth 005C,Suspect charged
72d8a49c79a160c91d5a04d9c78e8f29c88e5296ef36402142a75f019e058ef0,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.292417,52.627050,On or near WILLIAM BOOTH STREET,E01026822,Norwich 007A,Suspect charged
7ef37d2a48f9e0c6126998d9935ebd9b5d9fdb313f2561cc80fe559aded93df5,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.290758,52.629569,On or near Parking Area,E01026823,Norwich 007B,Suspect charged
f61297302b87a3e6a22b5ef2768310c70cb5cdc8fd211ac8615d7a21aa8b3f6d,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.277707,52.614354,On or near DANIELS ROAD,E01026811,Norwich 012B,Offender given a caution
716ca8dfba52ab521e16b275a1e1b07bb4a1b6f4ccbd83eb74cdde04371c6d8e,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.300060,52.628645,On or near GREYFRIARS ROAD,E01033440,Norwich 014C,Offender given a caution
75ea5ffabb594cb88e07323dd00a024bd273a125cfb28a17efd089f7f03881fb,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.346474,52.635463,On or near THORPE CLOSE,E01026570,Broadland 015B,Offender given a caution
cfe3531864c4e1fd55ee9eac3dfb72616c5cd8b93433186c9645410e1e5da704,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.713586,52.604301,On or near VINCENT CLOSE,E01026635,Great Yarmouth 007D,Suspect charged
b1fddfb4acdf1281fc840270b2ccf0813e7850304c80074a25736da7b8aaffa8,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.302645,52.653917,On or near CONSTITUTION HILL,E01026556,Broadland 012D,Offender given a caution
d389dbc9c1f6571f1bb985352ded8f95a4d054a027643a1e98933b203e45f002,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.736524,52.629709,On or near Sports/Recreation Area,E01026641,Great Yarmouth 004D,Suspect charged
9f1e8a474bae9ecce741267fa9317687c1b7e0774e1ee1af9cced3ea276f64c6,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.940219,52.681951,On or near RUTHEN PLACE,E01026426,Breckland 005B,Suspect charged
fd03be3df04b299f6ce607cabda92db848f4d40b878f18f5c58ae07418562ecb,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.939768,52.681845,On or near Nightclub,E01026426,Breckland 005B,Suspect charged
0fd8374401bcf261b75aa972f0a67687a90f4e7366df34230c98a2924552d180,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.422969,52.752140,On or near OAK CIRCLE,E01026666,King's Lynn and West Norfolk 009A,Suspect charged
01b9c517fbca66942eae9fcbc89ab8f72ccec17f6f5412b58f872869394a0e9b,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.727007,52.573783,On or near NELSON ROAD,E01026631,Great Yarmouth 010E,Suspect charged
ccc72d36cb3fc089a5f1e0667b515fd7d5a560380a3a4ce1354ac6e1ee00c563,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.712346,52.566086,On or near ST ANTONY'S AVENUE,E01026617,Great Yarmouth 011A,Suspect charged
4ef0fd5a446b2981bbcc722564be90dc661cf20cde5739ed8ca470060f2bf018,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.845279,52.774239,On or near NORTH VIEW DRIVE,E01026442,Breckland 002A,Offender given penalty notice
2ec5b8e2413e6d74d38b8057dabf5cb6a2e28783b2a0580fbf5d3aa78d5d887e,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.446984,52.756772,On or near Hospital,E01026714,King's Lynn and West Norfolk 010D,Suspect charged
574b447f2fd6f025ccefc82d8596b5c9557b7c9408726f23c64eedf9bf97017d,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.283514,52.628358,On or near UNTHANK ROAD,E01033437,Norwich 011H,Local resolution
8edc22479e40cf47b11b2964252d5ae6b720a8d4734317cd682b7285a798bc37,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.405861,52.754161,On or near Shopping Area,E01026698,King's Lynn and West Norfolk 011A,Offender given a caution
25d354f587862e0885dee3319644fac1f07beca492f186145c4b90ff54206b63,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.510514,52.522367,On or near BRIAR LANE,E01026899,South Norfolk 010B,Suspect charged
24fb216ba04f9e08f4890ea96ed79bc245918893a62ed1ffbdecffda62a99363,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.722879,52.538320,On or near CULLEY WAY,E01026588,Great Yarmouth 013D,Suspect charged
16c3e3707416b0ef1b62ae662cb7a257c0d48879bcfac6d9ab5873057e8a1f71,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.722879,52.538320,On or near CULLEY WAY,E01026588,Great Yarmouth 013D,Suspect charged
8124b655be6969ec6f4efd087f269847412d450d0540ce1e50209cd24fb83a38,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.297158,52.629958,On or near BANK PLAIN,E01026822,Norwich 007A,Suspect charged
6498aa65f8411e07856326a53c2aa36969d48e6c20095fa0e0675da19ab6b400,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.485668,52.541900,On or near HARDLEY ROAD,E01026879,South Norfolk 008A,Suspect charged
82f005cdbfba06da498e29c32e3aaa09d972ab593b6a1661e1591fa41f6f7e80,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.105373,52.376999,On or near BEEHIVE YARD,E01026891,South Norfolk 015D,Suspect charged
ef4059f32c81ec9023fa3480909bea465f53806357b605256033e38ec63af735,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.730276,52.575937,On or near BELL'S MARSH ROAD,E01026631,Great Yarmouth 010E,Offender given a drugs possession warning
9a9e0169324936ecd2ea2b21c5d39cd36f38af95e3f900b02156524b00dcc6d0,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.391986,52.674020,On or near SCHOOL ROAD,E01026722,King's Lynn and West Norfolk 015C,Suspect charged
fdd64bae5b39858b1cb09c5dfd74312da66ca5613077c6f4b7bda9b7c93b5fad,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.391986,52.674020,On or near SCHOOL ROAD,E01026722,King's Lynn and West Norfolk 015C,Suspect charged
9763004800ef2070054196d28fbaeeab85885408906cd5b83ad6bd5bfd098b96,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.432720,52.623783,On or near CEDAR WAY,E01026508,Broadland 017A,Offender given a caution
2686e9cda73c3e1e713611f67c901b9a85204429ced65a618b87c8c83f21dd76,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.704660,52.669118,On or near YARMOUTH ROAD,E01026628,Great Yarmouth 001E,Suspect charged
b8231e4827726c3034b62d5b2728c7f75069fd831c5327ace6b263eb7c521253,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.958464,52.376292,On or near MEADOWSIDE,E01026494,Breckland 014D,Local resolution
993044bb0902f3fe3fe73bbf6758eb41be4641de11236d738605400cff78201a,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.935623,52.682703,On or near Parking Area,E01026426,Breckland 005B,Suspect charged
b9a7f320f5762c50fb2bf7693de40249d7c4cd59dc3922ac5ef9e7497743208d,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.317599,52.637562,On or near Prison,E01026806,Norwich 004D,Suspect charged
49d275d52e6146e8e500066278bee75f500e0b511054e0e4a67ddac8edbf0076,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.253031,52.617328,On or near PECKOVER ROAD,E01026814,Norwich 012E,Suspect charged
525dad8644c711692b4495250883b378dde5f4e386bbc55e6cee70cb8f5cb7ba,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.740525,52.408870,On or near WILLIAMSON CRESCENT,E01026477,Breckland 017D,Local resolution
fbf42c860131fac157aecdd5d770865f75d200c384691ce03f7d0dc0e958e514,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.317599,52.637562,On or near Prison,E01026806,Norwich 004D,Suspect charged
be0c006f2c72dd36211e4e412afaecf24e305d7ab83ec86adb69a661e516e9b2,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.243751,52.637891,On or near CLARKSON ROAD,E01026867,Norwich 006E,Offender given a caution
29272239930a79eb675cda8f96205e8e3620b490d2082e158e9c154717e52f90,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.259111,52.624968,On or near CARPENTERS COURT,E01026859,Norwich 010B,Suspect charged
25c6520b91eec884434e1fe562635128c2e7a9fd293aace5771ef779298d3ce9,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.724897,52.420607,On or near A11,E01026467,Breckland 015C,Suspect charged
3c36536575e797441364b488a058464dbdcd2856a74391d10890b4795369e29e,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.366425,52.634429,On or near NEWARK CLOSE,E01026574,Broadland 016A,Suspect charged
d20eb1258764c410974d7e85c3074491decb2a343ba265f9dbc35628d35da7cb,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.302678,52.640632,On or near SILVER ROAD,E01026841,Norwich 003A,Unable to prosecute suspect
7d5d44ae3b5c26aaccb9f4d6915c242a6aa95b1c4470011a8296c31326ec4d98,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.299757,52.628356,On or near Petrol Station,E01033440,Norwich 014C,Local resolution
330f6beeae543f513ac23dfdb3d96190f3f5d202a27b9f38bd3871d0b5ec0623,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.295166,52.628430,On or near CASTLE MEADOW,E01026822,Norwich 007A,Suspect charged
d503a6ba2998c1351a7a1ff7c67bbf6c8076c9dc8293a9614ab88097474b4771,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.269920,52.651183,On or near BOWERS AVENUE,E01026833,Norwich 002F,Suspect charged
ef914456aeb50da754d22b70283487e8d68d1de0818faf2d0d543c20ad305f90,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.382397,52.606245,On or near LYNN ROAD,E01033036,King's Lynn and West Norfolk 017E,Offender given a caution
10ec7b78a9514b15e1b90324faf5104c97ccf75490bfc90c009e213cc0f0f363,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.259024,52.665333,On or near WOOD VIEW ROAD,E01026527,Broadland 010B,Offender given a caution
e8e2f8cb1f1847bd42a858d4aff32020ce04b33fdce87fee38cde5efe33f04f2,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.099834,52.375760,On or near LADBROOKE CLOSE,E01026891,South Norfolk 015D,Offender given a caution
ff05362920d7b1b18cfbfedbc1d401027241d839dc62d45f8572172bd8aa3785,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.263468,52.743931,On or near TOWN CORNER,E01026534,Broadland 004B,Suspect charged
963e0aceaf57803ca61c428ccbcae4840eac84a5ab53d13f4275b89875f9f0d2,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.259111,52.624968,On or near CARPENTERS COURT,E01026859,Norwich 010B,Suspect charged
fb919d65a36e30922533f8fa81ac47934171717529cfb5cfdc519d0d75464279,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.292417,52.627050,On or near WILLIAM BOOTH STREET,E01026822,Norwich 007A,Local resolution
88918040b5c3bebb7b91592141f53afa2d03bdfed53017df2925d6f76125c217,2014-10,Norfolk Constabulary,Norfolk Constabulary,1.727374,52.605739,On or near Parking Area,E01026625,Great Yarmouth 006D,Suspect charged
901eab5834b6ab1ea50c0c7303dd1518f6a4ad5d662fa18f36d155e08f006b37,2014-10,Norfolk Constabulary,Norfolk Constabulary,0.208705,52.644040,On or near HAGBECH HALL CLOSE,E01026660,King's Lynn and West Norfolk 016B,Suspect charged
