Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9a1cc2133780d36b1ebdfe215d2150083545cd98592e3f6a901ff3866a1e8cec,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
ad4dd2cd8540da614cc61904117c4e6bfe61389f273681fb34374cfa751d37ce,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056389,51.690116,On or near LIEUTENANT ELLIS WAY,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
c883cf4b01897f3abf994390a6959f4e30d972cfd0c44674bc4c7487c98c3450,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
071df99659e806c5516bb895c24168875ac4e9f8e4e1fa1a9d03bbb386b28cfa,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032286,51.695092,On or near LIMES ROAD,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
e2184a3c46fc337632bc86206662a73655e473320bc8f596cb9632ca33527c96,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028040,51.687908,On or near KING EDWARD ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
422364bd9efce09449870c14c506d3031c6fa11f02502ce200950bbf9a4f9189,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026197,51.699684,On or near DARCY CLOSE,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
c54e131a2af15a2efd1f99ebc9e20b51410a0481ac6b05e2f312cbe25878d698,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037933,51.693343,On or near SALISBURY CRESCENT,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
531adecd4e9379822e3b67fdb5d2ba67cd3744f220daf1d1ce1dbfb63de4d879,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.053034,51.705248,On or near Sports/Recreation Area,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
4b233395ea62d1e201f3feb16839defb17ef8a1d3217f7fb88446cd5c023b5eb,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029555,51.717662,On or near PERRYSFIELD ROAD,E01023306,Broxbourne 008E,Investigation complete; no suspect identified
b21de1489c9fbe9e5fba5a0bc33f969f6a969ebb67bbcb015c2c2ec0868dbefe,2014-10,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056683,51.708591,On or near ROSEDALE WAY,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
