Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5a0d9f677c8c95a4a91f2b302da4da7fdeee19bcb5618d9ed1ecc315542927a4,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.076855,51.797712,On or near Shopping Area,E01023478,East Hertfordshire 017D,Suspect charged
c0de4c92b4a8c2593d842247599688478c7bd9cdca479acb72ad05ea2f6de0fb,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.461828,51.761693,On or near THUMPERS,E01023405,Dacorum 008E,Offender given a drugs possession warning
b8b4a07a85abf71c8a9406e129d1b7ba52537ab380c62e8467543e4b2d481ae6,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.274014,51.950325,On or near PEPPERMINT ROAD,E01023601,North Hertfordshire 010A,Suspect charged
da4cc5bdb0c6b67d7a34e7b6a8acac177a384a4803b998416a3690f0996d5440,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.169829,51.893001,On or near Parking Area,E01023792,Stevenage 010B,Investigation complete; no suspect identified
a2652f1abbb068fd5a8531c91f2e4c4ce1a1117914cb1bd215a2613aa07a0a34,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.285172,51.717732,On or near HALSEY PARK,E01023704,St Albans 018A,Suspect charged
558febee81574c72b5dbcb9c3c5ab3e0abc2b9ceaacbc41d6ec4b1d64d84f44c,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.394857,51.655268,On or near Shopping Area,E01023860,Watford 009B,Offender given penalty notice
7b66d4d0b0f129b2a05ec01e2a7d4901e83f26d39b47d2d2818ba7d7fa5732bc,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037546,52.005329,On or near DANE END,E01023598,North Hertfordshire 005D,Offender given a caution
cd8ceeedbbe26be7a9d2813d89484d3df1075d4a7ae3a903548c1ac1d62702dc,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.017955,51.746863,On or near Parking Area,E01023292,Broxbourne 004D,Suspect charged
ee08d491050abc45e6c9a83426d064ba189e3260a27eb3d8433bf3de02086e26,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.434822,51.751940,On or near PELHAM COURT,E01023409,Dacorum 017A,Investigation complete; no suspect identified
326d8b56ba87877afc5c7bbdcca2d8ed5e40ea7503b03468d97829053e58c411,2015-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.202379,51.902935,On or near Shopping Area,E01023758,Stevenage 008D,Investigation complete; no suspect identified
