Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
825ac64a645beedec7759e048eea2fef1922ff3b25a65b1a7a3f46d1bde360f4,2013-10,Lincolnshire Police,Lincolnshire Police,-0.545175,53.219174,On or near HIGH STREET,E01026133,Lincoln 008A,Investigation complete; no suspect identified
be897ea60311f1669e64557143de3d5fe3c29ed0b92a59be0be7677e3c2f183c,2013-10,Lincolnshire Police,Lincolnshire Police,-0.572409,53.194251,On or near BERKELEY DRIVE,E01026139,Lincoln 011C,Investigation complete; no suspect identified
e9f74123b907a3ab049f5607b1ad435db7bab8a071c99cfc7c404aea7ed312c3,2013-10,Lincolnshire Police,Lincolnshire Police,-0.153216,52.786464,On or near THE CRESCENT,E01026266,South Holland 006B,Investigation complete; no suspect identified
434c829716d4e0f01a854a0bd5f393ece3eecb72e938234fe66b5bc7301ad3c1,2013-10,Lincolnshire Police,Lincolnshire Police,-0.532299,53.232608,On or near LINDUM TERRACE,E01026167,Lincoln 003G,Investigation complete; no suspect identified
ba77eb2767a57afe368fffb929b03bebea395bc0561ec32488d8fd75cd6787d7,2013-10,Lincolnshire Police,Lincolnshire Police,-0.577159,53.215793,On or near ALMOND AVENUE,E01026136,Lincoln 008C,Investigation complete; no suspect identified
36c1025b318b696cde140d738282ca5fa1f22c39385d1f1c3ff1a362324af4d3,2013-10,Lincolnshire Police,Lincolnshire Police,-0.733220,53.326128,On or near ADAMS WAY,E01026410,West Lindsey 007D,Investigation complete; no suspect identified
289f23d3743dab52e10a4ac76f742c1e86913ddc04a60eb850571f78ac44b193,2013-10,Lincolnshire Police,Lincolnshire Police,-0.545258,53.232632,On or near YARBOROUGH ROAD,E01026143,Lincoln 005B,Investigation complete; no suspect identified
591a59abaaa23c5ed3e825a0aba4f97556eadd002d9feb1184d3ef02eb5e90bb,2013-10,Lincolnshire Police,Lincolnshire Police,-0.769555,53.387707,On or near Supermarket,E01026382,West Lindsey 004D,Investigation complete; no suspect identified
c73551cc120c0e85ca3835f1276384aadc4a0a737158ec1bba70824af4f79c18,2013-10,Lincolnshire Police,Lincolnshire Police,-0.609925,52.803446,On or near Petrol Station,E01026331,South Kesteven 009B,Investigation complete; no suspect identified
5a7b94f110e603137547d3bd2fbf277b232ad9359edc3e8a15b09b6b3d4e13a3,2013-10,Lincolnshire Police,Lincolnshire Police,-0.599778,53.221635,On or near RINGWOOD CLOSE,E01026131,Lincoln 007D,Investigation complete; no suspect identified
577690720b1bc816889a4516b19be0eb77d4f5540dd6c172fef8e888793c06d6,2013-10,Lincolnshire Police,Lincolnshire Police,-0.026874,52.978496,On or near IRBY PLACE,E01026006,Boston 003A,Investigation complete; no suspect identified
bb66df0538b30bae789cf3a0863236e51f6e4d308629aae0193b867145f772c8,2013-10,Lincolnshire Police,Lincolnshire Police,-0.642928,53.124983,On or near MANOR PADDOCKS,E01026182,North Kesteven 003B,Investigation complete; no suspect identified
daaa90f4ee686e59d82eb3ccc3a636355de40b30f39fee7b3275c879dfb96241,2013-10,Lincolnshire Police,Lincolnshire Police,-0.530878,53.232096,On or near LINDUM AVENUE,E01026122,Lincoln 004A,Investigation complete; no suspect identified
8c8d979686a56f570824c55ab7735730e6a6fc293ef35ead6b1b95f699aee582,2013-10,Lincolnshire Police,Lincolnshire Police,-0.578427,53.216384,On or near WESTWOOD CLOSE,E01026136,Lincoln 008C,Investigation complete; no suspect identified
f87f60d2a6eb01c0b0344c2612b841e626d9ae72353e9c1e187f224d8a9ed933,2013-10,Lincolnshire Police,Lincolnshire Police,-0.669956,52.910450,On or near VALLEY ROAD,E01026310,South Kesteven 005C,Investigation complete; no suspect identified
e8483d656402d9a7a0506e1701c5a81a3995f52217ca4712799372e43814f16a,2013-10,Lincolnshire Police,Lincolnshire Police,0.342386,53.213914,On or near GRASMERE AVENUE,E01026048,East Lindsey 010A,Investigation complete; no suspect identified
