Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
58ce1bd61968b66c4ffe67c6a7bde93185ee991f58e0a60edc5035c0d94f84a3,2013-10,Dorset Police,Dorset Police,-2.119032,50.684016,On or near WORGRET ROAD,E01020486,Purbeck 003D,Investigation complete; no suspect identified
2077fba507662fe07012568ad31975dbd03d380184b41f4a490d511d18961e7a,2013-10,Dorset Police,Dorset Police,-1.723870,50.749343,On or near WESTBURY CLOSE,E01020371,Christchurch 004C,Investigation complete; no suspect identified
17b0043834bda7258d1ea82f3fc82f9a89d726ac7607ad4adc3258f9bdd8b0de,2013-10,Dorset Police,Dorset Police,-2.455489,50.614760,On or near UPWAY STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
969292101c974d445c7a398423797dd0a8fedb6af4d3ddf4eca429b0f5001d8f,2013-10,Dorset Police,Dorset Police,-2.483437,50.669018,On or near FRIAR WADDON ROAD,E01020570,Weymouth and Portland 001C,Investigation complete; no suspect identified
2bfd2bb7a849da265db45ca0c284603bf266ab62a8ff92f7a277eb5922ab0ba6,2013-10,Dorset Police,Dorset Police,-1.872442,50.871809,On or near NEWTOWN LANE,E01020412,East Dorset 003B,Investigation complete; no suspect identified
fdba7b305d85f41db12b7665e3f3413cfb434817f4f1d4864455f791fa233786,2013-10,Dorset Police,Dorset Police,-2.431528,50.708529,On or near CULLIFORD ROAD,E01020523,West Dorset 010D,Investigation complete; no suspect identified
820071f56a1945e560e72a2b03152dfc19576ef0d998eafb8e7b4d2e668d5962,2013-10,Dorset Police,Dorset Police,-2.779957,50.816277,On or near B3163,E01020506,West Dorset 003D,Investigation complete; no suspect identified
57b2134a01c21864f0a0ed6a631216709580189a8190b5444f85a3ba667631eb,2013-10,Dorset Police,Dorset Police,-2.283333,51.047837,On or near MELSTOCK ROAD,E01020450,North Dorset 002B,Investigation complete; no suspect identified
7b412df77ca42694100cc838311f1cdb7674339ee440d3c601dc91e1a2e4b4e1,2013-10,Dorset Police,Dorset Police,-2.436807,50.712691,On or near Shopping Area,E01032644,West Dorset 009H,Investigation complete; no suspect identified
3ad730d767adb742611c1304fbd754f4ebcebef882fe0ec831bd51fb27a79104,2013-10,Dorset Police,Dorset Police,-1.973196,50.607465,On or near QUARRY CLOSE,E01020484,Purbeck 006G,Investigation complete; no suspect identified
