Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a9328a6c4a471a782ac11b177fb1222a2e8c80cf113ff6310be0950e5af4e2ed,2014-08,Dorset Police,Dorset Police,-2.273717,51.033284,On or near BRICKYARD LANE,E01020443,North Dorset 001A,Investigation complete; no suspect identified
d6fb10ba435c3fc861170c26d31cb011fcaaf1a863d424c55530917b434e3af4,2014-08,Dorset Police,Dorset Police,-2.274029,51.040153,On or near BAY FIELDS,E01020447,North Dorset 001B,Investigation complete; no suspect identified
06a9ab40b1d4d4ec1bad8ddb535630af18d61bffe6188998bc6421f5a0f3f3ec,2014-08,Dorset Police,Dorset Police,-1.987745,50.800100,On or near B3073,E01020428,East Dorset 010C,Investigation complete; no suspect identified
011abb491ce637daac07f3f9ad68b903c5d8ebf111844c4ea09f549a3a4ecd5e,2014-08,Dorset Police,Dorset Police,-1.988951,50.801458,On or near Theatre/Concert Hall,E01020428,East Dorset 010C,Investigation complete; no suspect identified
3eb257a82a28523b8b98ade9e5b2ef9121939617ac3c5cf4ae3d4bf05868d3b1,2014-08,Dorset Police,Dorset Police,-2.322169,51.075307,On or near Petrol Station,E01020440,North Dorset 002A,Investigation complete; no suspect identified
b69295308d5b6792f04c8e1fd3eccdd1b4c3446e2e56f477ada535422e453161,2014-08,Dorset Police,Dorset Police,-1.864427,50.842071,On or near OLD BARN FARM ROAD,E01020412,East Dorset 003B,Investigation complete; no suspect identified
2c5cd0d3081431a4772fb2a10e6407e8a8d71eb20e72f57bcbf8358f7a8391f5,2014-08,Dorset Police,Dorset Police,-2.442653,50.715286,On or near Parking Area,E01032644,West Dorset 009H,Investigation complete; no suspect identified
37e7afb13e21fa477ea11d12f5aef873f7ff8be7a21869c84926688b5c041731,2014-08,Dorset Police,Dorset Police,-1.864427,50.842071,On or near OLD BARN FARM ROAD,E01020412,East Dorset 003B,Investigation complete; no suspect identified
1547a027c8057175d617f3800520f312b525a8a0b45e88c54f58405d3a62b02c,2014-08,Dorset Police,Dorset Police,-1.782807,50.740340,On or near BEAUCHAMP PLACE,E01020360,Christchurch 006A,Investigation complete; no suspect identified
79b3f0d80b3b960e43fdd47021097b6815b28c40fc8a3b4a56efe339b04680e8,2014-08,Dorset Police,Dorset Police,-2.155927,50.860839,On or near WILVERLY GARDENS,E01020439,North Dorset 007E,Investigation complete; no suspect identified
ce1222c1da295a90ceaa9aebefdab3111193f144708b9f48c3ad104e17d12779,2014-08,Dorset Police,Dorset Police,-1.762659,50.739429,On or near CHANT CLOSE,E01020363,Christchurch 005D,Investigation complete; no suspect identified
9ca94e454cdec9e752c8eba70e160ef1b15643c600ce60e64c68f05bfebd5e64,2014-08,Dorset Police,Dorset Police,-2.456010,50.708049,On or near Sports/Recreation Area,E01020526,West Dorset 009C,Investigation complete; no suspect identified
5222c64e55148305492738e993d805f9dcdef1c9aff41a2e6657dc56bf71268a,2014-08,Dorset Police,Dorset Police,-2.489254,50.614614,On or near ALBANY ROAD,E01020516,West Dorset 012E,Investigation complete; no suspect identified
f4727689f927455e010144dccbdb89eaf3881627176f8f5dd997be9aab07cf1e,2014-08,Dorset Police,Dorset Police,-2.169790,50.988286,On or near MILL HOLLOW LANE,E01020460,North Dorset 005D,Investigation complete; no suspect identified
8c7fa53e70a3bc8091fee2fd30d1258cdd9a183c9b8d851c8ee2686edffcfdd4,2014-08,Dorset Police,Dorset Police,-2.278279,50.899593,On or near MARY GARDENS,E01020441,North Dorset 008D,Investigation complete; no suspect identified
37b2081e0d04427677351a0707b1950ddc4e066aa47edab3ac7bb32fb1e593cd,2014-08,Dorset Police,Dorset Police,-2.161460,50.858296,On or near DAMORY STREET,E01020439,North Dorset 007E,Investigation complete; no suspect identified
b62cb665a18a677ca91f7388efa775fafd7d6a167ea8825764e656f679a1707f,2014-08,Dorset Police,Dorset Police,-2.462928,50.603768,On or near LANSDOWNE SQUARE,E01020584,Weymouth and Portland 006B,Investigation complete; no suspect identified
283462d3f4a3c459874256877ad466055089d80ad5df9748c3d060c09a41cbe8,2014-08,Dorset Police,Dorset Police,-2.131764,50.635864,On or near GRANGE HILL,E01020467,Purbeck 005B,Investigation complete; no suspect identified
a5edc48de9f7c8126173d8f10612b31b546bd24c7eac3fba79c56608d0296fae,2014-08,Dorset Police,Dorset Police,-2.225220,50.695424,On or near COLOGNE ROAD,E01020493,Purbeck 004E,Investigation complete; no suspect identified
97dbcbb294dae7f10dc459b21e45c2941fa6396efdfa4b097fb8f39ceb269322,2014-08,Dorset Police,Dorset Police,-2.727345,50.700781,On or near Petrol Station,E01020507,West Dorset 007A,Investigation complete; no suspect identified
e47d7eb3553cf286f1d034655de08358f54c6e96fe593783a732c02fa7032b71,2014-08,Dorset Police,Dorset Police,-2.532860,50.946665,On or near BRADFORD ROAD,E01032642,West Dorset 001H,Investigation complete; no suspect identified
d3859d1b715f64512efb3345637cbc4fd677e6dc73866e079d35d6f58086f4ed,2014-08,Dorset Police,Dorset Police,-2.734621,50.745007,On or near FORSTERS LANE,E01020498,West Dorset 006A,Investigation complete; no suspect identified
a9eafbe60415daa1830c5204ac7f707ec7edf5bf8c4317a87cd0c07164f785cb,2014-08,Dorset Police,Dorset Police,-2.283778,50.919894,On or near CALF CLOSE LANE,E01020458,North Dorset 004D,Investigation complete; no suspect identified
02e7aa08191df8377cbd1cfc1d71b32391482f5138cf37ab3027ec2080e4b849,2014-08,Dorset Police,Dorset Police,-2.471269,50.585767,On or near SMALLMOUTH CLOSE,E01020587,Weymouth and Portland 007B,Investigation complete; no suspect identified
aecc2bdeff555fc0d783b669eab08d8d0d1c58c5439a0f4b9a8c78b4d6a87091,2014-08,Dorset Police,Dorset Police,-2.455358,50.611442,On or near CAROLINE PLACE,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
9fb1b0e512784de5b7a93840af55d0db4cae764001d7037c1f0f7aa90358078d,2014-08,Dorset Police,Dorset Police,-1.776348,50.733755,On or near Shopping Area,E01020367,Christchurch 006D,Investigation complete; no suspect identified
3ce3f84f9e6276c4e825367f25daaed7021f444e1b1e1b5ad4a1b84c3eedc0e8,2014-08,Dorset Police,Dorset Police,-2.430394,50.716096,On or near Petrol Station,E01020518,West Dorset 010A,Investigation complete; no suspect identified
