Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2671b445666fd7b3c2c605b05b5b8ac12a6aeb51911f259c31f2513582d48092,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.416528,52.704963,On or near Park/Open Space,E01026580,Broadland 008E,Investigation complete; no suspect identified
8106298166e98c59c7510dd9dcab2bce66f5817b0923598278d6c4ddfc22a3f4,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.507813,52.841382,On or near GREENWICH CLOSE,E01026654,King's Lynn and West Norfolk 004B,Investigation complete; no suspect identified
f45d551aac440ca301e4b7cc3cc4208e37f38301bf1b8ab64520f591931271f1,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.399681,52.755779,On or near NORFOLK STREET,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
ce97f78ef384d39f173c14d1746d651cf51cc2edb2e600dee94926437ff75794,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.388723,52.559360,On or near MANOR FARM GARDENS,E01026679,King's Lynn and West Norfolk 018A,Investigation complete; no suspect identified
4cd2c0793fe47e8f10fe67bc402da5b65041df4a8e951fec64b17bef45ae0c47,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.276114,52.932092,On or near MILL LANE,E01026781,North Norfolk 005C,Investigation complete; no suspect identified
593194fdf202a097a4118c70b3b6a742822f6d66f4057c9143f37c42fa2fa399,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.276487,52.632222,On or near GLADSTONE STREET,E01026837,Norwich 009C,Investigation complete; no suspect identified
c976e6e57f3738c0d1a288fc657d8788fdad624eabbd38bfbce53ee5f77bc5aa,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.300319,52.629726,On or near Nightclub,E01033438,Norwich 014A,Investigation complete; no suspect identified
d1b4651ebbde681e09fed692515a6d08a394364a4842c5ad5938a8c8b66de305,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.721636,52.404450,On or near Shopping Area,E01026478,Breckland 017E,Investigation complete; no suspect identified
0dc477f87c39cdb1c5d057add21194320cea3b03cc29df8fd550a5ebc827b07e,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.410274,52.742032,On or near PAXMAN ROAD,E01026706,King's Lynn and West Norfolk 011F,Investigation complete; no suspect identified
d59fca86928d93894c38e0e94bf2424bbae4a22acb91cd324caa2887244fc8c2,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.745508,52.429437,On or near LODGE WAY,E01026466,Breckland 015B,Investigation complete; no suspect identified
37c223b76e2a62bf733451f789f3942285499f8b1a9575ee739dae0eca854ce3,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.337421,52.815061,On or near HIGHFIELDS,E01026789,North Norfolk 012D,Investigation complete; no suspect identified
f944dbc60dc1ff86f03e72a144b9bcd7df555d7948d8284d7416e92934db765a,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.464626,52.704285,On or near Sports/Recreation Area,E01026769,North Norfolk 014B,Investigation complete; no suspect identified
4b3215086f10840e4fa9525ebd01fd625ac00143d349bf5caeefe6e13c3fefc5,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.501185,52.845955,On or near GELHAM MANOR,E01026654,King's Lynn and West Norfolk 004B,Investigation complete; no suspect identified
1c70ab7a4d2d5d1ec0fafed75645b64c0ef1ecc9405a3efeb27e6b04c1065a45,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.378010,52.609219,On or near WIMBOTSHAM ROAD,E01026686,King's Lynn and West Norfolk 017C,Investigation complete; no suspect identified
067ea26041d4c1addbc28fe567702e0181d82ae2e4bc79e3d4ca7c7924dfa699,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.287687,52.663875,On or near BLICKLING ROAD,E01026797,Norwich 001A,Investigation complete; no suspect identified
40119970f942f45bc03841d391a58aefc61e2a8100b147383fdf8bd368a1a801,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.736941,52.410122,On or near JUBILEE CLOSE,E01026477,Breckland 017D,Investigation complete; no suspect identified
acd70b66603d95275fedcbb2bd7dc4d3cd0bf4035be508808d86298a1dea9801,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.227233,52.647048,On or near GEORGE LOW CLOSE,E01026916,South Norfolk 001A,Investigation complete; no suspect identified
846a8924643f746e8130853816914839e987028cfa63153599a8f886fc45bb66,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.308701,52.648729,On or near ANTHONY DRIVE,E01026802,Norwich 001F,Investigation complete; no suspect identified
ba41b7a4133880c8168e1e2ac6990b59d84fc6fef7a50fc8441c233831655496,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.099518,52.567705,On or near CAVICK ROAD,E01026885,South Norfolk 007B,Investigation complete; no suspect identified
606b8e04896aaabc4db69e884cca636513b0ed030afaa34f4d953895bc79489f,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.369377,52.666849,On or near MAHONEY GREEN,E01026578,Broadland 008C,Investigation complete; no suspect identified
6bdb9dbd2eac20e23aecfd89808f8b0471bb97b1c85f9bc8434a2c71c9428294,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.273296,52.625332,On or near PORTERSFIELD ROAD,E01026839,Norwich 009E,Investigation complete; no suspect identified
ec2f54c3275535c3a6f594771208ba698322ed1f56e614f452e805c85431cf86,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.277707,52.614354,On or near DANIELS ROAD,E01026811,Norwich 012B,Investigation complete; no suspect identified
249ce52d1cced44fa67b94069f1a8f0630c082e348f7db9b8ea655c65cb5b18c,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.383835,52.671829,On or near PAIGE CLOSE,E01026722,King's Lynn and West Norfolk 015C,Investigation complete; no suspect identified
f52e8932314939315ae7444a9e4e6a07b368a8d898ed48d28801297de72cb5c9,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.492708,52.628765,On or near CHAPEL LANE,E01026727,King's Lynn and West Norfolk 018B,Investigation complete; no suspect identified
77b77b9954f1d7d4043a5a2c7eca41d15865f725556c3865f646b2addaa9f055,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.225529,52.619619,On or near WELL ROAD,E01026661,King's Lynn and West Norfolk 016C,Investigation complete; no suspect identified
487fb7b7d1a1b545ba90e261c797aa86e80cdc189873b8faf0ab2a9cf3cf3630,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.289439,52.662387,On or near BRYONY CLOSE,E01026799,Norwich 001C,Investigation complete; no suspect identified
0c6917fdcd81954d781610c356a52c17af2e6573dda81dfbfd1bbb80e0ff1333,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.276302,52.638451,On or near EDWARD GAMBLING COURT,E01026825,Norwich 007D,Investigation complete; no suspect identified
bca86384a5decdd015eb4fa15b105cec5f0df2c8864234c418cb0212d3468c84,2014-12,Norfolk Constabulary,Norfolk Constabulary,1.721951,52.542172,On or near NOEL CLOSE,E01026588,Great Yarmouth 013D,Investigation complete; no suspect identified
148305908bf50f757bcfd3d0d548a12f337b2c8e652adaa97232868d70c8c082,2014-12,Norfolk Constabulary,Norfolk Constabulary,0.729790,52.401726,On or near ASH CLOSE,E01026478,Breckland 017E,Investigation complete; no suspect identified
