Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f5b265ef3a6cddce6c786d72875d92bb74a385a541fc036eae8e754fb5dc5930,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044776,51.707458,On or near DEWHURST ROAD,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
04bb2918e03f9ea34e2170260bb4d2e0d4f4df61cee315e80080959dd253bd31,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041236,51.704648,On or near MARINA GARDENS,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
f60564ed14dd40ab586624fdfc4f376f8b1887c5e1b8ad6225291fde847187b8,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049952,51.711294,On or near FLAMSTEAD END ROAD,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
12a6fbedb0f3b7eb36abd1bae41449ac369ed53b0e0d0c284df06559db5424d5,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056389,51.690116,On or near LIEUTENANT ELLIS WAY,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
e7aa31b4766441fbb899620e11bb61c99616d3a904a43c6adb14e8a16360318e,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056389,51.690116,On or near LIEUTENANT ELLIS WAY,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
efad36335646662f17ebc2393d79430ef5b763570d9fe8954947176707c7f339,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033943,51.713608,On or near BROOKFIELD LANE EAST,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
9e710657c3a594a164de43e9bf910f43874fecaba9b8fcb5abf5a66082c04292,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030685,51.684301,On or near ABBEY ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
a1970eb869c9bb65f6e49b2e7550f088fa9f23ffb5dc0301c2a976574173831e,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049057,51.701136,On or near PENGELLY CLOSE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
ff9703f1a91efb222b649b836f6f659d72c580f016e01e452a67d45cd123f4e6,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023875,51.685554,On or near ELEANOR CROSS ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
dd43c3e857b9a9aee2704dac07157d8027db9689368fd4cba75a3c9409857aa2,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034030,51.686569,On or near SWAN ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
6f127c6e68835ed74afd4d1cc9c4864daf32e8119973cb76af3905ba524e78b4,2014-12,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.051817,51.706973,On or near EDENVALE,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
