Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6999d37812c1c05a612e752ae850ea6d1e5af7e36e933e56c8a2ea691c716621,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
f911dc385fdc9a17b38ff562415b5c177cf6880726dc969343db4f6e0d9f7310,2014-12,Dorset Police,Dorset Police,,,No location,,,Formal action is not in the public interest
3547e872036c6e2c0125a512a3e6d76339184ead6cd18d807eeba3aecfa02d8c,2014-12,Dorset Police,Dorset Police,,,No location,,,Suspect charged
a5294d59dfdfaeb862243b66a429722fa4962cc5de40e057d5d7987f8f540c10,2014-12,Dorset Police,Dorset Police,-2.122852,50.753454,On or near LOWER STREET,E01020469,Purbeck 001B,Investigation complete; no suspect identified
660a7b3c6bd75b5354ff13b3a78046d758f8506f6182eb6288ca977ff1ed4933,2014-12,Dorset Police,Dorset Police,-2.454266,50.647732,On or near Supermarket,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
cb534b2e0e5e0991e38ad926b538edcf2f22b45feaadaa372e639c52565e38a1,2014-12,Dorset Police,Dorset Police,-1.977224,50.606863,On or near ASH CLOSE,E01020484,Purbeck 006G,Investigation complete; no suspect identified
19baaad508853e88b750cb3f37962be2be865d5f85b400f7e5b941f5690aaf43,2014-12,Dorset Police,Dorset Police,-2.023911,50.765305,On or near HECKFORD ROAD,E01020383,East Dorset 012B,Investigation complete; no suspect identified
5221ee3358d17e0751d5dedb593a3f0648b56198cb46af701096b7a6ea75d74b,2014-12,Dorset Police,Dorset Police,-2.754158,50.731258,On or near FOLLY MILL GARDENS,E01020502,West Dorset 008A,Investigation complete; no suspect identified
7d1efa53f286d8fce771e3aa76237f1ea2663592000a0f679120cbb609306ab9,2014-12,Dorset Police,Dorset Police,-1.743857,50.728472,On or near MUDEFORD,E01020356,Christchurch 007C,Investigation complete; no suspect identified
409fbfb08a2fbc5dd53d6d1df27c8560392d3a541dca49c7e51a39ca87b0da6f,2014-12,Dorset Police,Dorset Police,-2.092859,50.676558,On or near OLD KILN ROAD,E01020467,Purbeck 005B,Investigation complete; no suspect identified
15e57acb01d3bee48a016d11b890525bad1fef385828d7bebad85df5d6a30087,2014-12,Dorset Police,Dorset Police,-1.777373,50.735717,On or near Supermarket,E01020367,Christchurch 006D,Investigation complete; no suspect identified
9f53036f9ce0284c47057366720f922b196403ecf5fa829e6ef8413704b694f7,2014-12,Dorset Police,Dorset Police,-2.484686,50.606180,On or near LANEHOUSE ROCKS ROAD,E01020578,Weymouth and Portland 005D,Investigation complete; no suspect identified
11fe49926f65da07dd8bab9708a725504f0769c064677468f0db9d4ba9d6a85c,2014-12,Dorset Police,Dorset Police,-2.428357,50.711751,On or near HEATHCOTE CLOSE,E01020519,West Dorset 010B,Investigation complete; no suspect identified
5a8822adbcae3929bd5a8722f9039c72a05080c8c7aaa7762c58f66ed3db3158,2014-12,Dorset Police,Dorset Police,-2.455178,50.613349,On or near QUEBEC PLACE,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
6c24f326599fd8d8c5c266ca7df04083582d7d2be50190484c78050e76a02bad,2014-12,Dorset Police,Dorset Police,-1.759942,50.736060,On or near B3059,E01020364,Christchurch 006C,Investigation complete; no suspect identified
a32d157ef889ca6b47f0ab0abd8d754d3600505181e2cb7d6c9dee0860f5eecb,2014-12,Dorset Police,Dorset Police,-2.424613,50.549696,On or near WITHIES CROFT,E01020563,Weymouth and Portland 008A,Investigation complete; no suspect identified
b51e821f6192a7c421e8da028b8ec8d6e8c654b53fc06bb1f05f71adb6b1879e,2014-12,Dorset Police,Dorset Police,-2.457579,50.629167,On or near LODMOOR AVENUE,E01020560,Weymouth and Portland 002D,Investigation complete; no suspect identified
57be7e32361806fd41d7e46e5877614641da92a90fc1dc704801cd45c05fe540,2014-12,Dorset Police,Dorset Police,-2.030135,50.742157,On or near BELL HEATHER CLOSE,E01020472,Purbeck 002B,Investigation complete; no suspect identified
ed32ef3e940ef4a95978d9e0d1c9e0763cfc6e03e6281a6b15fe46b18ccc2bdd,2014-12,Dorset Police,Dorset Police,-2.470936,50.635805,On or near TYNEHAM CLOSE,E01020580,Weymouth and Portland 003E,Investigation complete; no suspect identified
be48c013f74d416172dea6163a4079fa5d83c39f5486efaee51a1e0062a1a463,2014-12,Dorset Police,Dorset Police,-2.436234,50.713503,On or near CHARLES STREET,E01032644,West Dorset 009H,Investigation complete; no suspect identified
bbb111f0142dc20595ab2e5a2eeb2b7e7800a98e1c2a7a99c9c7facaffe6b5a3,2014-12,Dorset Police,Dorset Police,-1.891163,50.802460,On or near Supermarket,E01020392,East Dorset 008C,Investigation complete; no suspect identified
c464852bf3fda7d91a0abcc526acfaa18a00290cc49f17daebc4c14cbf82a26e,2014-12,Dorset Police,Dorset Police,-2.453879,50.616430,On or near DERBY STREET,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
936e2ad30f2a2d992d949c9d726333bf6d69de5ff2d308b1eb901d1bac2c0b26,2014-12,Dorset Police,Dorset Police,-2.446327,50.709948,On or near MAUD ROAD,E01020527,West Dorset 009D,Investigation complete; no suspect identified
