Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
01c222accbffb05985b96ca86026a941a954919b276412f8448660a2b8e34bc4,2014-01,Kent Police,Kent Police,,,No location,,,Offender given a caution
91eac53867b47a078d7ce2ae96ed334f8f64d0f1cfeac750cd3b521c19972809,2014-01,Kent Police,Kent Police,0.851730,51.139492,On or near CROWNFIELD ROAD,E01023974,Ashford 007A,Investigation complete; no suspect identified
7e35a9a8fb30b0de7af33df93a64d76c473ae346936beb6d7124372a5cd39d83,2014-01,Kent Police,Kent Police,1.101233,51.365902,On or near SUSSEX CLOSE,E01024119,Canterbury 004D,Investigation complete; no suspect identified
697098a94c5fb615f17df24bf6c4094bf3d5849142257a4aaf67c1ba673df568,2014-01,Kent Police,Kent Police,1.085326,51.283365,On or near NORTHGATE,E01024093,Canterbury 014E,Investigation complete; no suspect identified
aecace685d5078c4e312a1ed1a286a535601725fe503b8b1e2d88afc7bbba88e,2014-01,Kent Police,Kent Police,1.120105,51.370204,On or near CLARENCE STREET,E01024081,Canterbury 001C,Investigation complete; no suspect identified
cd32101476d27e4238f116112c0dc4f92bb1f84e648a56bc59a9cfb450258663,2014-01,Kent Police,Kent Police,1.086685,51.276044,On or near Supermarket,E01024044,Canterbury 016A,Investigation complete; no suspect identified
51491d5af7dde1352c841f5c157dd68cd64764c675ad04476a47e3f1c434135a,2014-01,Kent Police,Kent Police,1.382964,51.385902,On or near CHURCHFIELD PLACE,E01024676,Thanet 003A,Investigation complete; no suspect identified
541c0792633a284f5a2ecb0406588c112360e1d2fd24d491171d568dff88691b,2014-01,Kent Police,Kent Police,0.997565,51.327417,On or near CHILDGATE ROAD,E01024109,Canterbury 009E,Investigation complete; no suspect identified
e0a1821e117f25803267153aa392317b4585a078bd67cef3d8a1178529c43a70,2014-01,Kent Police,Kent Police,0.909250,51.073340,On or near B2067,E01024014,Ashford 010B,Investigation complete; no suspect identified
c79fd70435eb62634be9043fcdecf6f36e90e6bf6474014e535c498151a07387,2014-01,Kent Police,Kent Police,1.334169,51.270349,On or near LABURNUM AVENUE,E01024243,Dover 002C,Investigation complete; no suspect identified
a209c6aac690e20e532bcbe351fd7ae6cd4fc2c13af531bfc7a7ee8b2fa4ea1f,2014-01,Kent Police,Kent Police,1.159836,51.315080,On or near THE AVENUE,E01024086,Canterbury 010C,Investigation complete; no suspect identified
d33e01de37b92b81e6c0bbfde9a5a851a03364d13684143addd99467f8d049fc,2014-01,Kent Police,Kent Police,1.162359,51.315461,On or near THE ELMS,E01024086,Canterbury 010C,Investigation complete; no suspect identified
1cd47f7e5395e8207ec79545bc6e5e8525e6ba25ae910f4d31a1ca3df014acf5,2014-01,Kent Police,Kent Police,0.941836,50.986059,On or near TRITTON LANE,E01024539,Shepway 012C,Investigation complete; no suspect identified
e8e7d64835c403c8879bd358634312bd5f13c2586ba8af982ca9eb3c979ec765,2014-01,Kent Police,Kent Police,1.023485,51.354129,On or near CLIFTON ROAD,E01024070,Canterbury 008C,Investigation complete; no suspect identified
54e2f7c254aac4ae91c04aa8b98183cfd4c20e04586fcaa5fc77d27444282f33,2014-01,Kent Police,Kent Police,0.633308,51.050457,On or near MONYPENNY,E01024010,Ashford 013B,Investigation complete; no suspect identified
