Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c0a948efa50e111a8ca9c6db4d8519ba4816cc726208336bd12501e7a21dd990,2014-01,Sussex Police,Sussex Police,-0.273951,50.832084,On or near Petrol Station,E01031364,Adur 005C,Investigation complete; no suspect identified
0f4b677e54f48e1e168f7ff646994f580de3df607344816e4816a5419110263d,2014-01,Sussex Police,Sussex Police,-0.318351,50.829109,On or near NORTH FARM ROAD,E01031360,Adur 007B,Investigation complete; no suspect identified
3dd9d1d509988554eb32abb049fa0d583a7148ac7b6ef26aefbd22662b468067,2014-01,Sussex Police,Sussex Police,-0.330977,50.821061,On or near BLENHEIM ROAD,E01031342,Adur 008B,Investigation complete; no suspect identified
26ba86eba1baa966598912ab79c3abbc2793542db22ec9b2dc4ccf3f727bd4d5,2014-01,Sussex Police,Sussex Police,-0.278731,50.833009,On or near HIGH STREET,E01031364,Adur 005C,Investigation complete; no suspect identified
70440aa4577bb4fc610ad3832299bbb4084b16844b2694f40f8b2605404e986f,2014-01,Sussex Police,Sussex Police,-0.341731,50.836521,On or near DANKTON GARDENS,E01031362,Adur 006D,Investigation complete; no suspect identified
a1157dcfc115e04b0298765e75329224f1ab54421723b2b9fe99fedfd00e0346,2014-01,Sussex Police,Sussex Police,-0.324103,50.826700,On or near Supermarket,E01031341,Adur 008A,Investigation complete; no suspect identified
76826a02cfc54bb21f644e2ae1b9b998d9a8479eb0ed2dbcbd75d1878db9c268,2014-01,Sussex Police,Sussex Police,-0.227663,50.836040,On or near ORCHARD CLOSE,E01031349,Adur 001A,Investigation complete; no suspect identified
306f6ac7397d907f11bce52c09cd710f6a9624ede3b00d83faedd20f89d7f47d,2014-01,Sussex Police,Sussex Police,-0.217156,50.832984,On or near ST RICHARD'S ROAD,E01016975,Brighton and Hove 021B,Investigation complete; no suspect identified
b8bf662c1c8956010b0d708735658c51012daba1403548fa4aa4b01c22e929b2,2014-01,Sussex Police,Sussex Police,-0.265806,50.828861,On or near SHINGLE ROAD,E01031356,Adur 005A,Investigation complete; no suspect identified
79ef9d43cbf5beac491e23e4cb6dec2352bc94a9068e22f433bc33c75644c622,2014-01,Sussex Police,Sussex Police,-0.261599,50.840804,On or near GREENWAYS CRESCENT,E01031338,Adur 002A,Investigation complete; no suspect identified
00c09597f96857aa5c8034a6d9aadfff205198f75efb09542f00c87c8124876c,2014-01,Sussex Police,Sussex Police,-0.234379,50.837581,On or near SOUTHWICK STREET,E01031374,Adur 001F,Investigation complete; no suspect identified
dd7378cb5e35b871a1e8bb88ffd3369b4bfb76d40cb670d50cb9e71f3aaf73ae,2014-01,Sussex Police,Sussex Police,-0.270652,50.834527,On or near Parking Area,E01031365,Adur 002D,Investigation complete; no suspect identified
3c8c56c8c84c265a33c758df205d3d9f779324018e1e7bb37ed66f81d9e07b33,2014-01,Sussex Police,Sussex Police,-0.237076,50.844789,On or near WHITELOT WAY,E01031352,Adur 001D,Investigation complete; no suspect identified
103ac31a3f1fe5575b4f43646c6f23ac8e0a65d2f473ae844718c5072f8af496,2014-01,Sussex Police,Sussex Police,-0.261830,50.833820,On or near CORBYN CRESCENT,E01031366,Adur 004C,Investigation complete; no suspect identified
be2122a05ad77a96b69694dd12b056874be3c18cb5e2d04345a2c0e3f90e021a,2014-01,Sussex Police,Sussex Police,-0.275879,50.841808,On or near THE AVENUE,E01031367,Adur 002E,Investigation complete; no suspect identified
e7aa784bf7ca41d7ebea5717833870852502bea60315921b2f159786c8d360bc,2014-01,Sussex Police,Sussex Police,-0.276096,50.834014,On or near Parking Area,E01031364,Adur 005C,Investigation complete; no suspect identified
c2acc68a40d31e63e85b6de9415957e800382b5306936acc788b804f779be842,2014-01,Sussex Police,Sussex Police,-0.263112,50.835647,On or near ADUR DRIVE,E01031366,Adur 004C,Investigation complete; no suspect identified
0cf2d589624d20cbe8704b187bb1b4513b657fa4eb99a31c9ea93f2b2234c0fd,2014-01,Sussex Police,Sussex Police,-0.231764,50.837253,On or near MILTON DRIVE,E01031349,Adur 001A,Investigation complete; no suspect identified
e8cd88377a6a73447cf63f67b266cf617550b1d0968ea29bb833ca29c48d4ff3,2014-01,Sussex Police,Sussex Police,-0.250240,50.841093,On or near Supermarket,E01031370,Adur 001E,Investigation complete; no suspect identified
41778537c038c9c2168fb713f67e81aab20e235e3a207309a31a7f49ef87775a,2014-01,Sussex Police,Sussex Police,-0.224451,50.839454,On or near ST LOUIE CLOSE,E01031350,Adur 001B,Investigation complete; no suspect identified
2d68873e733e3804121084ce8711e15ef8d31206afc11cc028073cb3ae479e4d,2014-01,Sussex Police,Sussex Police,-0.234379,50.837581,On or near SOUTHWICK STREET,E01031374,Adur 001F,Investigation complete; no suspect identified
6698e5ffe232c89d3b4bd6f221c7d99221376dffab8f892cb8ba846d5ab61f9d,2014-01,Sussex Police,Sussex Police,-0.234379,50.837581,On or near SOUTHWICK STREET,E01031374,Adur 001F,Investigation complete; no suspect identified
17dbb1976e3b9d319944ea2f3299729b5ccca780b90ffec57b746f4f36c124e5,2014-01,Sussex Police,Sussex Police,-0.234533,50.839148,On or near ROMAN ROAD,E01031374,Adur 001F,Investigation complete; no suspect identified
c54e2f0cd170d0ccf58ae07d5b206550ca126c7298475bbb96fae8de919bfbc6,2014-01,Sussex Police,Sussex Police,-0.276752,50.832009,On or near HIGH STREET,E01031364,Adur 005C,Investigation complete; no suspect identified
e11c6ea6680d0a5f1645200fc81ae3b362d92df1ec275f45daec402f3f4ced85,2014-01,Sussex Police,Sussex Police,-0.269650,50.832434,On or near BRIGHTON ROAD,E01031364,Adur 005C,Investigation complete; no suspect identified
d3499978f499705c33441844f86636ff3207f7f95d92c6d1325f5fea37e24bb7,2014-01,Sussex Police,Sussex Police,-0.246016,50.838961,On or near MONTFORD CLOSE,E01031370,Adur 001E,Investigation complete; no suspect identified
4b38805014114ca7e8b015c0f4c9b1f02c86687ed457577afaa875dbc1807b63,2014-01,Sussex Police,Sussex Police,-0.337759,50.840772,On or near VALLEY ROAD,E01031345,Adur 003A,Investigation complete; no suspect identified
7a198fb822e62dcb606c5a956ca7483ce0abc0c7fe2ce7f941fe93bed919e47d,2014-01,Sussex Police,Sussex Police,-0.263616,50.844252,On or near DOWNSIDE,E01031340,Adur 002C,Investigation complete; no suspect identified
a9c7f93411276abeb76cddc23ae65f658aac1fc0c8bcc4df583f46e38863688c,2014-01,Sussex Police,Sussex Police,-0.237782,50.840366,On or near SOUTHVIEW CLOSE,E01031374,Adur 001F,Investigation complete; no suspect identified
be6043100b269e2bf7bce9e4a2a4fe995e2b4e35a23077cfc97759a40977e7ed,2014-01,Sussex Police,Sussex Police,-0.284710,50.845409,On or near STEYNING ROAD,E01031340,Adur 002C,Investigation complete; no suspect identified
1742bb076048ed2208dbb62a579074ec3a8aa5c1468d684bb551a9c893bd338b,2014-01,Sussex Police,Sussex Police,-0.324103,50.826700,On or near Supermarket,E01031341,Adur 008A,Investigation complete; no suspect identified
42c073fd29f1fe108fe3435b4e4b141ddbfa3b278d9c2fc5d29584db922d1e8a,2014-01,Sussex Police,Sussex Police,-0.234467,50.835253,On or near SOUTHWICK STREET,E01031375,Adur 004G,Investigation complete; no suspect identified
b0b5c511e120ba5ceebca7fa384eb921d7009a5bdfdccf2a76bba1198f4307e3,2014-01,Sussex Police,Sussex Police,-0.272365,50.832753,On or near TARMOUNT LANE,E01031364,Adur 005C,Investigation complete; no suspect identified
82a0460e4395c2728556a3553f4555c004cfde7f2fd77264334252f3f6d5acf4,2014-01,Sussex Police,Sussex Police,-0.272365,50.832753,On or near TARMOUNT LANE,E01031364,Adur 005C,Investigation complete; no suspect identified
64f47a03dd51e21d2c9cf4551a8a6908dec669d3540c3f62bb98b3a3946fa9cb,2014-01,Sussex Police,Sussex Police,-0.221110,50.838045,On or near PARK CRESCENT,E01016973,Brighton and Hove 012C,Investigation complete; no suspect identified
8eb5c27a85b3ace33a9be285e0d850b1534d24fd576433d7555b2e01d29d99c0,2014-01,Sussex Police,Sussex Police,-0.313515,50.832861,On or near DANIEL CLOSE,E01031358,Adur 007A,Investigation complete; no suspect identified
a6d67a6a19d38abf6b9a158358af44507c2c2e1f54a597b0292ef5ffa55cae05,2014-01,Sussex Police,Sussex Police,-0.258103,50.833612,On or near EVERSHED WAY,E01031366,Adur 004C,Investigation complete; no suspect identified
fad65853de6c9214086253e25eab2aa23645ae4426832a9128dc586d04aff238,2014-01,Sussex Police,Sussex Police,-0.258103,50.833612,On or near EVERSHED WAY,E01031366,Adur 004C,Investigation complete; no suspect identified
