Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c36a89fc437395389ef20d88b72bd1d732f38717fafeb33c0d0b46dbd34bdd15,2014-01,Northamptonshire Police,Northamptonshire Police,-1.156910,52.249000,On or near Petrol Station,E01026991,Daventry 007C,Offender given conditional discharge
745a7a9a6d3dea70a0f91f41849c95fc18907262a6bbced1844ec48aeb7f5292,2014-01,Northamptonshire Police,Northamptonshire Police,-0.892228,52.237517,On or near ST GILES' STREET,E01027223,Northampton 025A,Offender fined
00a0215a2a021a2404fc77e36a923421cc7306cd841fc5f54dc12415740c239e,2014-01,Northamptonshire Police,Northamptonshire Police,-0.703452,52.489664,On or near WOOD STREET,E01026949,Corby 005A,Offender sent to prison
fe57a0784417758601e91e0812b5089970243b90d09c66c3aebcc451dfd13083,2014-01,Northamptonshire Police,Northamptonshire Police,-0.895682,52.272407,On or near MIDDLETON CLOSE,E01027145,Northampton 001A,Offender given suspended prison sentence
ced0ef140240d084f9f30cdbfaaa535e3f174998e16992e6d49790b5a20500fd,2014-01,Northamptonshire Police,Northamptonshire Police,-1.153608,52.037290,On or near Supermarket,E01027272,South Northamptonshire 009E,Offender otherwise dealt with
e83eb2c5944e1a9424140e2bcdf2fec47599d8c510b69f9b3b045abfa1475232,2014-01,Northamptonshire Police,Northamptonshire Police,-0.853253,52.259325,On or near Supermarket,E01027182,Northampton 006C,Offender sent to prison
9a48f19a86e6740a24accfcef9be5242ca38c9d902e13e2ebb45dd1cb9ff6474,2014-01,Northamptonshire Police,Northamptonshire Police,-0.725004,52.489511,On or near WALTON PLACE,E01026984,Corby 004E,Offender given community sentence
1d6cd66313d47da2c0c58cec91ca2b4eb33a6513806cf8d16d28951f770ea865,2014-01,Northamptonshire Police,Northamptonshire Police,-0.883586,52.255687,On or near ROMANY ROAD,E01027189,Northampton 015D,Offender sent to prison
b0d71229cb37c3f191fb3fe7e1789e12c0ca57aaf5114936e9db7a566d17dcba,2014-01,Northamptonshire Police,Northamptonshire Police,-0.861341,52.220429,On or near SALTHOUSE ROAD,E01027202,Northampton 028D,Offender given community sentence
e11df5a15051103438d32bc6ec668a231dc29da08a2348b849dda247eaa87f0c,2014-01,Northamptonshire Police,Northamptonshire Police,-1.165299,52.266420,On or near HAWTHORN DRIVE,E01026987,Daventry 006A,Offender given conditional discharge
cfe10d8802d57111599756a9f46524a64ee39822bc7b5cbb96d78c082eb3b0d4,2014-01,Northamptonshire Police,Northamptonshire Police,-0.537810,52.396980,On or near HIGH STREET,E01027076,East Northamptonshire 003D,Offender given community sentence
