Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
999029e87de8e69aceb33002540a0d46ea469bdd3f47d00ba10362bc7140629e,2014-01,Surrey Police,Surrey Police,-0.695433,51.357086,On or near CHAPEL LANE,E01030760,Surrey Heath 002D,Investigation complete; no suspect identified
ece9293a109855217050c4018cbf2db4f07870dc971ef8e6f72fb8f32a2b7984,2014-01,Surrey Police,Surrey Police,-0.476477,51.446776,On or near SCOTS CLOSE,E01030711,Spelthorne 002C,Investigation complete; no suspect identified
e44face956ba9a6c3710946596827c75de82907bb92f99aa8cb9451c218d51e9,2014-01,Surrey Police,Surrey Police,-0.204409,51.321839,On or near HIGH STREET,E01030560,Reigate and Banstead 002B,Investigation complete; no suspect identified
0a201a5466fc378b037a1df122bf7a969238ef6386cf9d69f0a7135dbd3eb981,2014-01,Surrey Police,Surrey Police,-0.729192,51.262787,On or near WHITTLE CLOSE,E01030426,Guildford 004A,Investigation complete; no suspect identified
2b14ed31ae7f198d85d80d65503b34514547032db3bd8038824cbc415d72011d,2014-01,Surrey Police,Surrey Police,-0.546799,51.214398,On or near HORNHATCH CLOSE,E01030479,Guildford 017D,Investigation complete; no suspect identified
3f4ad77fad81d4f38c690338e24afc77a78ae2dfe796f9e649e0ea6e66c90a61,2014-01,Surrey Police,Surrey Police,-0.496711,51.220681,On or near ALBURY STREET,E01030491,Guildford 018B,Investigation complete; no suspect identified
715df7f5c2db0e22f78dd5721e0df53e399e6bfbcf7c78dc5d85be68834e598c,2014-01,Surrey Police,Surrey Police,-0.504058,51.351310,On or near MANOR DRIVE,E01030696,Runnymede 010G,Investigation complete; no suspect identified
be6033428353c19451bd27c2d6c10b5134a0abd9d63847181d4ccf24d78a519c,2014-01,Surrey Police,Surrey Police,-0.502582,51.408014,On or near SOUTHSIDE,E01030658,Runnymede 004B,Investigation complete; no suspect identified
f3ac2a74cb63f808d60318ff1f04c8006be0386affade938f9d13981186b34b8,2014-01,Surrey Police,Surrey Police,-0.428132,51.270318,On or near LYNX HILL,E01030442,Guildford 003B,Investigation complete; no suspect identified
88e8a93fb7e01d8cdb496943df038f0442c7703dd96e763320a06b64f1561296,2014-01,Surrey Police,Surrey Police,-0.427719,51.273586,On or near WOODLAND DRIVE,E01030442,Guildford 003B,Investigation complete; no suspect identified
d3b098ea970919a1c6587c6099fbae14e80da9beb88fb3efd42ed9ea813496eb,2014-01,Surrey Police,Surrey Police,-0.601406,51.235225,On or near WINDSOR CLOSE,E01030467,Guildford 015B,Investigation complete; no suspect identified
458509db4160237c44d9317a1494bad83d6396073766f5eb4fca693c0512eb99,2014-01,Surrey Police,Surrey Police,-0.465267,51.218465,On or near SHERE LANE,E01030491,Guildford 018B,Investigation complete; no suspect identified
f13af8ee854d6bfec1bbe0742b387a9a5d7e7f5ed4fba4e4c14d06ed89695580,2014-01,Surrey Police,Surrey Police,-0.384784,51.386280,On or near BYRON CLOSE,E01030362,Elmbridge 004B,Investigation complete; no suspect identified
17359bf7a334635933124041e469184ce10ebbecf866007c0749ecb6df321ae1,2014-01,Surrey Police,Surrey Police,-0.352596,51.400957,On or near GROVE ROAD,E01030327,Elmbridge 002B,Investigation complete; no suspect identified
5bf38d777f42fed1f884d72211c8265667ad574bed63ef6e37196a9fcf8afb79,2014-01,Surrey Police,Surrey Police,-0.500144,51.314175,On or near WARREN LANE,E01030997,Woking 006D,Investigation complete; no suspect identified
