Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cab8359f126ba03b2dc7f581e7c8c25f1d65d08e831427e15dd507a8cd82bf76,2014-01,Lincolnshire Police,Lincolnshire Police,0.076807,53.177150,On or near CHURCH LANE,E01026068,East Lindsey 009B,Investigation complete; no suspect identified
7675aac9b261869295b75f802d1321889f02a8d5a436d2987d1e089b9aa4aed8,2014-01,Lincolnshire Police,Lincolnshire Police,-0.165282,53.448812,On or near B1203,E01026415,West Lindsey 003E,Investigation complete; no suspect identified
b2a3e9d2558f4f883e6c04058f747b1f29023e63168b5f5dcb6ef93867dfff88,2014-01,Lincolnshire Police,Lincolnshire Police,-0.554432,53.220923,On or near ST MATHEWS CLOSE,E01026133,Lincoln 008A,Investigation complete; no suspect identified
37ea24a41b1da2175c46f10ec9d3f382f2c82517ea2d805318e3e5df784212d9,2014-01,Lincolnshire Police,Lincolnshire Police,-0.312205,52.677834,On or near GODSEY CRESCENT,E01026337,South Kesteven 013D,Investigation complete; no suspect identified
3b2ba4bd6d6adf64794eddae20e972c97acb61475f9e72de2fb2c4590729e318,2014-01,Lincolnshire Police,Lincolnshire Police,-0.597017,53.206176,On or near FINNINGLEY ROAD,E01026162,Lincoln 009E,Investigation complete; no suspect identified
c4749520f8c7278eace78a626680298e852aca2d22b43cb1096d2c68d2c93f84,2014-01,Lincolnshire Police,Lincolnshire Police,-0.039683,52.977198,On or near Sports/Recreation Area,E01026031,Boston 009B,Investigation complete; no suspect identified
5664c0bd119fe9a0ee2629d43ab131828c2917952c546d138015bb64de309c4d,2014-01,Lincolnshire Police,Lincolnshire Police,-0.539173,53.234437,On or near CASTLE HILL,E01026148,Lincoln 003D,Investigation complete; no suspect identified
86659496762a44d4e913f8da0566635a94ea9746bf5c468b9004e04ad5fb28d7,2014-01,Lincolnshire Police,Lincolnshire Police,-0.641077,52.906626,On or near LAUNDER TERRACE,E01026318,South Kesteven 006B,Investigation complete; no suspect identified
0ce95feffaed37b9515a01101e20ee4e601ae13a54709dfbbd4eb9e2b8466ca8,2014-01,Lincolnshire Police,Lincolnshire Police,-0.347503,53.487798,On or near MOORTOWN ROAD,E01026416,West Lindsey 001D,Investigation complete; no suspect identified
665617dcc46535acc34b497f3ef59ffd35d308f9a8cc00d534691d4ac578fd79,2014-01,Lincolnshire Police,Lincolnshire Police,-0.022517,52.976032,On or near Theatre/Concert Hall,E01026025,Boston 003C,Investigation complete; no suspect identified
fa1f81b9718abf6ae111edf92f1340be4b587409f62606845aa048833a382499,2014-01,Lincolnshire Police,Lincolnshire Police,-0.165282,53.448812,On or near B1203,E01026415,West Lindsey 003E,Investigation complete; no suspect identified
8599982a8bcf21461ce655db6742fd9476ac8f13588634e864705b4911d274c9,2014-01,Lincolnshire Police,Lincolnshire Police,0.014230,52.804230,On or near Shopping Area,E01026250,South Holland 003A,Investigation complete; no suspect identified
9810b8c8ae04f996bdfaee77f32611e1103f4aeb974d7d064ad3a169ccb99ddb,2014-01,Lincolnshire Police,Lincolnshire Police,-0.552314,53.236197,On or near ELY STREET,E01026144,Lincoln 003B,Investigation complete; no suspect identified
0f8b0d92b8c30608a43061d9126245f95baa1c071e7d967e1cd40f8c304d444b,2014-01,Lincolnshire Police,Lincolnshire Police,-0.014117,52.761992,On or near ROSE CRESCENT,E01026285,South Holland 004D,Investigation complete; no suspect identified
ddf5edccfc23a79bac61d3aede8657f85073ae177d64e08a1da753965dc9f3d2,2014-01,Lincolnshire Police,Lincolnshire Police,-0.641077,52.906626,On or near LAUNDER TERRACE,E01026318,South Kesteven 006B,Investigation complete; no suspect identified
b83950cad9a5d82904fd2bb7c331c25b2ce78ebf0098354f22b93d481e9bab8a,2014-01,Lincolnshire Police,Lincolnshire Police,-0.630091,52.916470,On or near TURNOR CRESCENT,E01026345,South Kesteven 006F,Investigation complete; no suspect identified
28cc0cd7c93902096db66390479f0c27d93bf2bd06d369287ab849bbfdcc29a2,2014-01,Lincolnshire Police,Lincolnshire Police,-0.640447,52.916804,On or near Petrol Station,E01026353,South Kesteven 003F,Investigation complete; no suspect identified
f11fcafb75e548ca0663b75a92b9d6747c183134bb46292fbc61202ea9118ba0,2014-01,Lincolnshire Police,Lincolnshire Police,-0.645154,52.909414,On or near WESTGATE,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
940d2bae0916d94ca657ad793d25a4a9c5d58b1166e27fcd45dd949f2b43603c,2014-01,Lincolnshire Police,Lincolnshire Police,0.003527,52.966884,On or near WHITE HOUSE LANE,E01026014,Boston 008B,Investigation complete; no suspect identified
073651eb2b927d2b714ffcd6dbfce2009b6e37e3e8a6930971841894b3db00db,2014-01,Lincolnshire Police,Lincolnshire Police,-0.517716,53.231016,On or near FREDERICK STREET,E01026125,Lincoln 003A,Investigation complete; no suspect identified
f5f01ff100cd1b8212138c1451877950e0097f2f4a62ac8cc2fb92d6c52c9e67,2014-01,Lincolnshire Police,Lincolnshire Police,0.246576,53.161311,On or near MARKET CLOSE,E01026046,East Lindsey 013A,Investigation complete; no suspect identified
3347e258811cae3ab4b3bdbcda338d59686fc24d82f2eef4b2ae591287ea7f13,2014-01,Lincolnshire Police,Lincolnshire Police,-0.658406,52.903083,On or near GANNET COURT,E01026312,South Kesteven 005E,Investigation complete; no suspect identified
e0e81bc17e3587cc914dad49083d634e26e88f5c3e3fa5af5613ddb935b753de,2014-01,Lincolnshire Police,Lincolnshire Police,0.262747,53.335417,On or near HARRIS BOULEVARD,E01026073,East Lindsey 005B,Investigation complete; no suspect identified
7f93767ed945df8a7e5899d3158cb76b77f119b4c611a96954cfe756af6f4ec2,2014-01,Lincolnshire Police,Lincolnshire Police,-0.538115,53.240860,On or near NEWPORT,E01026151,Lincoln 003E,Investigation complete; no suspect identified
0d07edb7ce743d7ef093727924cd08ef72f0b90b46f169f69f59b23dfe6a9785,2014-01,Lincolnshire Police,Lincolnshire Police,-0.529280,53.239376,On or near MAINWARING ROAD,E01026167,Lincoln 003G,Investigation complete; no suspect identified
597b99ebe2c5246564d5ba2ae0d44e971dcc105da1a566c07d26e637867719ad,2014-01,Lincolnshire Police,Lincolnshire Police,-0.029435,52.938234,On or near HALL LANE,E01026018,Boston 007B,Investigation complete; no suspect identified
