Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3decbcedf934e2e9bc5e262f6907ac0bf111f2bb77906eb388cf01c97207cf0f,2014-01,Dorset Police,Dorset Police,-1.933027,50.751710,On or near LOEWY CRESCENT,E01015379,Poole 002A,Investigation complete; no suspect identified
c651c407653910bf3bc3582f95970d2b2dc9a354e912451636006711f3b8fc1b,2014-01,Dorset Police,Dorset Police,-1.819636,50.737597,On or near MEON ROAD,E01015314,Bournemouth 011A,Investigation complete; no suspect identified
8d1c222c5f4a1e44f8add908b347201f92548ee98f429984e556449208d346bd,2014-01,Dorset Police,Dorset Police,-1.867850,50.746097,On or near STROUDEN ROAD,E01015378,Bournemouth 010E,Investigation complete; no suspect identified
1103be7d5989e1a158c3e09454f56b7b3858a5a24164ca4b281de4362e6054b8,2014-01,Dorset Police,Dorset Police,-1.959853,50.726570,On or near DANECOURT ROAD,E01015457,Poole 011E,Investigation complete; no suspect identified
ba8f373aba31d770435094f043e69b5ede840aff4a45300c1e4ef6783c48e057,2014-01,Dorset Police,Dorset Police,-1.933027,50.751710,On or near LOEWY CRESCENT,E01015379,Poole 002A,Investigation complete; no suspect identified
9ef93d81a04bd52fb7dfd2ef951a9ec34e53c1163ec8b349a436397d192f0f60,2014-01,Dorset Police,Dorset Police,-1.897717,50.718852,On or near PORTARLINGTON ROAD,E01015368,Bournemouth 024B,Investigation complete; no suspect identified
42ad93c5028c31f8797625fb0f370c96d58ad0136d4e47a1d7f28d230bf79a2c,2014-01,Dorset Police,Dorset Police,-1.858561,50.748038,On or near EAST WAY,E01015342,Bournemouth 010C,Investigation complete; no suspect identified
b97f6fb2b2d1f2f1730621332991c7f49f381da4ba4f316aa088cf9e598a4355,2014-01,Dorset Police,Dorset Police,-1.922217,50.747944,On or near KEYES CLOSE,E01015381,Poole 007B,Investigation complete; no suspect identified
899f1baa4122c7a47dae7c76535bd9e52bb17fa323d5ae288da76ecb727825b8,2014-01,Dorset Police,Dorset Police,-1.827231,50.730055,On or near CHRISTCHURCH ROAD,E01015273,Bournemouth 016B,Investigation complete; no suspect identified
7e2844f20a4d47b2ed5db8598d30d2d09f70cc2ccef7d43a4bec42cf398f58aa,2014-01,Dorset Police,Dorset Police,-2.012500,50.723455,On or near INGLESHAM WAY,E01015424,Poole 016B,Investigation complete; no suspect identified
b97851c981cf57bd77c15b22a341aea27cda9936661f9feee7b1b1bcc4b20a64,2014-01,Dorset Police,Dorset Police,-1.919940,50.703186,On or near MERIDEN CLOSE,E01015406,Poole 018E,Investigation complete; no suspect identified
f1b729812307845d9e6db1ea0dd4f3cc91bbb2861584dd15655c7e586ec96e73,2014-01,Dorset Police,Dorset Police,-1.782842,50.723569,On or near KINGSLEY AVENUE,E01015298,Bournemouth 020C,Investigation complete; no suspect identified
b96da69c546e9f376329166ffabcaf244fb1af8a2b905fc921a529e62d2994e4,2014-01,Dorset Police,Dorset Police,-1.963646,50.731931,On or near POUND CLOSE,E01015447,Poole 011B,Investigation complete; no suspect identified
a31755a571d8e237b14295b4c799c946a39e794615d8254bacefef30190a9e53,2014-01,Dorset Police,Dorset Police,-2.017298,50.713707,On or near LAKE AVENUE,E01015428,Poole 014B,Investigation complete; no suspect identified
0d88be8967e2b94c0ac91c2cba7a44e8c329a86a40cc1ca8479ce8bf606a6cc6,2014-01,Dorset Police,Dorset Police,-1.884545,50.752625,On or near REDHILL AVENUE,E01015356,Bournemouth 009B,Investigation complete; no suspect identified
dfe398e2ae3e9d752eb6e363aa8a51f2f7bcd25331b539326bef51d93f5360b4,2014-01,Dorset Police,Dorset Police,-1.889800,50.772576,On or near MARKHAM CLOSE,E01015306,Bournemouth 001D,Investigation complete; no suspect identified
4406a641703c347dba3730b7eb0bb9b287b3902ced7dbeba43a8119e8f48bc24,2014-01,Dorset Police,Dorset Police,-1.909333,50.762332,On or near PAGET ROAD,E01015304,Bournemouth 002B,Investigation complete; no suspect identified
7279eb0f5f46baba4674a1e3a9c8fc7657c02e585b1698b957175293df721f80,2014-01,Dorset Police,Dorset Police,-1.993725,50.748366,On or near ROBERTS ROAD,E01015420,Poole 006D,Investigation complete; no suspect identified
ac041e99215a4d57b0d9f4b0e4ad11de1dd8090def83a147aacb3a576d148717,2014-01,Dorset Police,Dorset Police,-1.930114,50.727815,On or near LOCH ROAD,E01015462,Poole 013D,Investigation complete; no suspect identified
beadf15ea4058b27b6bd85e3a9141d4b4a03f049f2575cf6709eb4140400df93,2014-01,Dorset Police,Dorset Police,-1.857785,50.751643,On or near UPLANDS ROAD,E01015343,Bournemouth 004A,Investigation complete; no suspect identified
5ca48ea4b1315a03d96f121d35f9759c185a70b278dd3d31da73e1985bccef82,2014-01,Dorset Police,Dorset Police,-1.957155,50.734096,On or near HILTON CLOSE,E01015440,Poole 011A,Investigation complete; no suspect identified
8ea7ef6ac1f78c10caec7f7826dbeae3a4430289234d72ed05f0b1e6c54851a3,2014-01,Dorset Police,Dorset Police,-1.837222,50.725501,On or near WESTBY ROAD,E01015280,Bournemouth 019C,Investigation complete; no suspect identified
1bc4c28e86acadb555b1f570edff8c01937b34609c9ad1aee22e497b10e61b76,2014-01,Dorset Police,Dorset Police,-1.884893,50.755368,On or near DELAMERE GARDENS,E01015335,Bournemouth 003D,Investigation complete; no suspect identified
ff7f08a94d8d7f29a1d4c99b928052e9dcf87be24624aeb86fddd04ba2bf0ea5,2014-01,Dorset Police,Dorset Police,-1.837430,50.726706,On or near Supermarket,E01015280,Bournemouth 019C,Investigation complete; no suspect identified
76294d3d7cc50850a5e4b204f35e3acd0d6938d377931e9defc8cd5d7cd2a965,2014-01,Dorset Police,Dorset Police,-1.889622,50.721345,On or near B3066,E01015372,Bournemouth 023B,Investigation complete; no suspect identified
bf196d6fe1636ab032d33f0126adf8ea653fc84bda2e70ab4e2b23fd34bbac04,2014-01,Dorset Police,Dorset Police,-1.878175,50.743806,On or near Shopping Area,E01015375,Bournemouth 009D,Investigation complete; no suspect identified
1f1dff6053911666f96fe9478e0acef67eeaf80f46879257287d23f0cb580060,2014-01,Dorset Police,Dorset Police,-1.820033,50.726375,On or near WOODSIDE ROAD,E01015274,Bournemouth 018A,Investigation complete; no suspect identified
c34f083223aebb746b2872b2b9918bb5271a56f3f79d037303702ec1cea9c352,2014-01,Dorset Police,Dorset Police,-1.953431,50.745641,On or near YARROW ROAD,E01015443,Poole 008E,Investigation complete; no suspect identified
3c0d13e89c8cada62ea76e74a753d99d9bb2f0548e56a238c0ca5ffe17fbd580,2014-01,Dorset Police,Dorset Police,-1.850460,50.732569,On or near Supermarket,E01015294,Bournemouth 015C,Investigation complete; no suspect identified
af518fe1ddce442edf68308eadf43d961c70162a8fd3489f61b59137da5f7440,2014-01,Dorset Police,Dorset Police,-1.913370,50.749395,On or near WALLISCOTT ROAD,E01015359,Bournemouth 005E,Investigation complete; no suspect identified
725e0b07d5ba01fd57985e84c1ba5c852f5f66625574374a79188e8b0a556908,2014-01,Dorset Police,Dorset Police,-1.867627,50.759882,On or near CHEDDINGTON ROAD,E01015350,Bournemouth 006E,Investigation complete; no suspect identified
93649a12b80e224019a05239a13163d03fa8cfb99f88b1c6ebb68c6b27247a20,2014-01,Dorset Police,Dorset Police,-1.943398,50.720133,On or near WARWICK ROAD,E01015463,Poole 013E,Investigation complete; no suspect identified
d78e7d86501218efd6d659afe717eabe0a5febf73279a45764cb6cee1063998f,2014-01,Dorset Police,Dorset Police,-1.839971,50.725136,On or near Bus/Coach Station,E01015282,Bournemouth 019E,Investigation complete; no suspect identified
3bf26c19cb29de644f42d3420c74c460af7ae28561cc221c0a1132c57a1211b2,2014-01,Dorset Police,Dorset Police,-1.941144,50.710627,On or near ANTHONY'S AVENUE,E01015459,Poole 017E,Investigation complete; no suspect identified
6437806f84ce2d1be89e1c5b9e351ad5056475c4187e381168cb49d040265835,2014-01,Dorset Police,Dorset Police,-1.977989,50.724048,On or near Police Station,E01015465,Poole 015A,Investigation complete; no suspect identified
1842f02838b11ed249d3d979b20ee6c9e876c2f2b68f2ce285498786b074c74a,2014-01,Dorset Police,Dorset Police,-1.837639,50.723595,On or near GLEN ROAD,E01015280,Bournemouth 019C,Investigation complete; no suspect identified
