Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9f9d1b1497b5b33b987f379da98947dcc0765e0a36c11cf94cbd2d5f0dc333e9,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.576319,52.447548,On or near WOODSIDE,E01030227,Waveney 010D,Investigation complete; no suspect identified
4343986ab89e7597bd7e6adfdf1736cfecb5cdb2a8e846729fca9629567c77bc,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.729973,52.454300,On or near STRADBROKE ROAD,E01030272,Waveney 012E,Investigation complete; no suspect identified
33a9e33bb1c6f8cab5820211811bba87367e24844d8bc4704a2d7bab256d71f7,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.711492,52.244918,On or near WOOLHALL STREET,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
47621267b8446d99ab561fb87ce80fe53b7e6f802b1458324a9e07a270b5b038,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.624576,52.080760,On or near MILL LANE,E01030099,St Edmundsbury 010A,Investigation complete; no suspect identified
1259f406acd100c6184255d1bf226f401a9e61914cbfe6898afb673d881dbca0,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.899554,52.004542,On or near WATER LANE,E01029902,Babergh 009C,Investigation complete; no suspect identified
0e9dee3e05e21bf54a91eb02cd183421e1a218e99c37be91bae9ab62a0fbd082,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.155437,52.055728,On or near Bus/Coach Station,E01033125,Ipswich 007G,Investigation complete; no suspect identified
bd0ef485ef6594342dca3c44eabe61011e015ff71c5d293b6df10be410bb2d15,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.187698,52.052908,On or near CORONATION ROAD,E01030006,Ipswich 008E,Investigation complete; no suspect identified
fb8923047817db35e12b043e83861485bfc8e5dfded2c1dded7dfbf22267fd5d,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.497466,52.307905,On or near HAREBELL ROAD,E01033451,Forest Heath 005D,Investigation complete; no suspect identified
1862b23ce621f94d829167a1bdaeff27a90f850c7a920d5056239227ed3c86f3,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.730678,52.038222,On or near Shopping Area,E01029920,Babergh 007H,Investigation complete; no suspect identified
4a5f44a20b707b836289f98983e21a6131a5f8ec4e2865de1a2650540bb0fdaa,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.740918,52.468067,On or near SALISBURY ROAD,E01030254,Waveney 007B,Investigation complete; no suspect identified
59047261178c4b9dbf14842aaabe532ccbccaa0494f246696282535076330ddf,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.522877,52.351004,On or near YEW TREE CLOSE,E01029946,Forest Heath 004D,Investigation complete; no suspect identified
0f21da0903dce5bd90ba507f179205b4dc60c0401751a180aff85b745dd8ff79,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.237042,52.062444,On or near Supermarket,E01030184,Suffolk Coastal 009D,Investigation complete; no suspect identified
92b223c72b6ada47876ab79663c4e243ba6b0e82ca7b814977e449b41725353d,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.124571,52.070222,On or near MUMFORD ROAD,E01030030,Ipswich 003D,Investigation complete; no suspect identified
539b9f84c05f6bb019c2fd2ed677f601208e94a8d2d0a5ef61a29a40f35f4951,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.726994,52.484195,On or near PETO WAY,E01030263,Waveney 005B,Investigation complete; no suspect identified
fca4f28bc8573f2e83b95f24c43e1dce6dea943bd8e13556c35faaa71a1bda12,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.482134,52.215374,On or near RENDHAM ROAD,E01030210,Suffolk Coastal 003D,Investigation complete; no suspect identified
d91eeceef0b49536e53cce0a182ca871022212434c9aa418165b5ae92b5b0f80,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.759656,52.265106,On or near FORNHAM ROAD,E01030104,St Edmundsbury 004B,Investigation complete; no suspect identified
a3b9d2840fc2f4311f24c73d0bccd21b19afabbcbf49019cb75bc2c10f04aaf6,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.970505,52.220856,On or near THOMPSON CLOSE,E01030056,Mid Suffolk 006B,Investigation complete; no suspect identified
b49facf8860a49b53b700a183c5e6dad81a37b5862a3d7fa6878b6298241df89,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.743944,52.478199,On or near STANFORD STREET,E01030264,Waveney 004E,Investigation complete; no suspect identified
321b90337116b8cc20e3db88d5ebffd5b9e91f945b3a17d4cac19c46eb18ffa6,2014-01,Suffolk Constabulary,Suffolk Constabulary,0.968023,52.050016,On or near RAMSEY ROAD,E01029893,Babergh 004B,Investigation complete; no suspect identified
6a4d7d91e2e519943bbaf8b5adcbca32170505942be149994cbd2de9fe6bf8c0,2014-01,Suffolk Constabulary,Suffolk Constabulary,1.747172,52.475965,On or near BEVAN STREET WEST,E01030250,Waveney 004D,Investigation complete; no suspect identified
