Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8510acdd6865b9313ce3de5acd0445cedaf14bc2a88f1e94c6328039c94e27a5,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030745,51.697269,On or near RUSSELL'S RIDE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
e9c1e25a6b160058a6f5fff56a3f98d058f7f670cb42a62676aba2d44335f88a,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.039847,51.698258,On or near Sports/Recreation Area,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
3a32d33f3e207234e1db84fdd4fda5dec481d2af40a7fb1dc4eeaa31a2b6dac6,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.039017,51.684665,On or near HURST DRIVE,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
54b30c106fc5b73ba6185f7d9ef7e75345d02fab61e89c3a645d659e62f7744d,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.062488,51.700783,On or near BARROW LANE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
bca0f1324db1b4ce3bee739f837a2a769b29c9c67a8682de10b7906d1840c6a0,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032779,51.700082,On or near GUINEVERE GARDENS,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
fd0371788fb0630812c071eb1abe257236913ea2b1a7e548e8f90634246e0f5e,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029821,51.699214,On or near DOWNFIELD ROAD,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
e4ce7e720be903f173165b43080b5fc4b28b164e0c354e594450606674130742,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.027668,51.689808,On or near CENTRAL AVENUE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
9949910ff5fc21c98eafb37e1f8b5c1e168604c4035ad678cb3d38ada7f37a1a,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.085637,51.710181,On or near VALLEY VIEW,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
853c74cd99e6c28eab012c94a21c98e928665ddb424dcebeae7733d3c00cb878,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.078332,51.723038,On or near SMITHS LANE,E01023307,Broxbourne 006A,Investigation complete; no suspect identified
a5e2fd2d4eae268d6c8fb350b26d1c272ca30d33c902ed0ac8cab3289de5e5fb,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
dd8166c218ca66aeb13aea5d8571e7689a322c29156831e7d77cb209f4773703,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.039346,51.708860,On or near HOBBS CLOSE,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
6d55c8fcf711b8838bf69dff87467606a8c57aa96ac495737c1bdbfe49096b25,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.047273,51.707967,On or near KINGSLEY AVENUE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
cade7b6aa18955171a602c10c0a7e71fd45e6948a27f6049751bc21987fc9997,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036426,51.690045,On or near CEDAR AVENUE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
7ba77f4ca63b2e440ea53c43b77c7924b34a049f828a8ed8aa3165bf38cac65c,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034717,51.702785,On or near WESTBURY,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
79bc3ba772e961f7c2810d4bc1fe8ae07bdfaec4eb031161b8a60edaf45a4c43,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034575,51.692370,On or near THEOBALD'S GROVE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
02e50a1dcf595bc12372ffe436a5556387a4e8fa6f3ba3ed06b28a4ee2d93bc7,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029555,51.717662,On or near PERRYSFIELD ROAD,E01023306,Broxbourne 008E,Investigation complete; no suspect identified
08f2d037205dd429ce8fad83925c39a7c747ce86fb3b6edcfb4ff01a1247c050,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.075294,51.706964,On or near GOFF'S LANE,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
f7dab266e51706330ab8e9a7d87caaa2d36028c872cf5b1c15aeb85e9308f2b5,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040578,51.702793,On or near COLLEGE ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
a824683b1f7d627cf9f3c108b9a41d82fa1e06e141bf34a16dcdb596785f31ad,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028040,51.687908,On or near KING EDWARD ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
0a3f1913d4eee6b17f50d496ae5bc6fdfbed1883d407b50aa4829a8f2527d209,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
3893ec836cf90e92baa44c3d10d8b24400409701d53175817687d4ef96faebd9,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.038564,51.714890,On or near LOWER MEADOW,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
386cd33c1186c70c944904e6091fbe8c023d34bf2666b8bbaf1a6c7a30dd01b1,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028040,51.687908,On or near KING EDWARD ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
bbcdd3e04ddc56351ed60ca72afebe317ff54e558d31829271046888c9ba0260,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032168,51.688148,On or near STANHOPE ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
174a3fae53fc688e83eee981adf5309d6717133e9e4f8550af2b058517533287,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026581,51.690527,On or near MARSH CLOSE,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
a41da78261d5c290d6c196384bec3a3a6d0e93dbd70bf1d06140f630810358e5,2014-01,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.061788,51.708361,On or near FOXES DRIVE,E01023314,Broxbourne 009A,Investigation complete; no suspect identified
