Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
14c8535d1a6911d9b41ba80e81cf46e876bf0193cac3966a74d1c984c8e39af5,2012-10,Lincolnshire Police,Lincolnshire Police,-0.537751,53.248039,On or near Petrol Station,E01026166,Lincoln 001C,Investigation complete; no suspect identified
2ae8b4e637187e296f746e7c38e1a44ea8cf181dfd4c9fd0c7446fbc08f59e48,2012-10,Lincolnshire Police,Lincolnshire Police,-0.527126,53.253239,On or near HARMSTON CLOSE,E01026168,Lincoln 001D,Investigation complete; no suspect identified
f17e5c49f9f71c671922a4d774d88b6732113b0e51028ca9c2c9dfeb489f3dda,2012-10,Lincolnshire Police,Lincolnshire Police,-0.559151,53.182054,On or near VALLEY ROAD,E01026238,North Kesteven 004F,Investigation complete; no suspect identified
490cc666345802921280dd1bbf0fe631a95f7c3138a1532f9f5299b81d7b4f7d,2012-10,Lincolnshire Police,Lincolnshire Police,0.185908,52.770117,On or near GAS HOUSE LANE,E01026277,South Holland 008D,Investigation complete; no suspect identified
095ace23933b11d565b3b0de598d9147c336287cbf1212921001776aee8b0c98,2012-10,Lincolnshire Police,Lincolnshire Police,-0.614971,52.919063,On or near KEATS AVENUE,E01026328,South Kesteven 003D,Investigation complete; no suspect identified
c5c881f9475415c367fe9ca1d47f1852f5c1bfe4e55f5b8d02f264d1d5d67d02,2012-10,Lincolnshire Police,Lincolnshire Police,-0.645769,52.918771,On or near MANNERS STREET,E01026353,South Kesteven 003F,Investigation complete; no suspect identified
c479e2b2425ac8b65c2ef4012deb49f038b0faa5e6e8668f051006d18a10b797,2012-10,Lincolnshire Police,Lincolnshire Police,-0.701783,53.262658,On or near A156,E01026409,West Lindsey 007C,Investigation complete; no suspect identified
f6006cb23d51e074a9dc31ab1c644588c90176f798f76a185b06c52a5edcc2e8,2012-10,Lincolnshire Police,Lincolnshire Police,-0.031221,52.983792,On or near WITHAM TOWN,E01026037,Boston 002E,Investigation complete; no suspect identified
e72c7f6b05f35148bfaca6b07d156cb80226fb8874ca25fd6efadf3166911443,2012-10,Lincolnshire Police,Lincolnshire Police,-0.110630,53.206541,On or near GAS STREET,E01026067,East Lindsey 011D,Investigation complete; no suspect identified
8a86a2dce7a4443d0d4bdd1e1a8696885380921e04333a8a686aee949bde6db5,2012-10,Lincolnshire Police,Lincolnshire Police,0.336001,53.145276,On or near SUTTON COURT,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
1aad30f17e249ff04f2e959bd6c6440b30f7ace3e767474deec98bc76ea2fee5,2012-10,Lincolnshire Police,Lincolnshire Police,0.095770,53.173842,On or near Petrol Station,E01026100,East Lindsey 013E,Investigation complete; no suspect identified
9f61594732154a298e033ffe6f7b028ff46a759c3aa930b15ca4cb9d7720c3fc,2012-10,Lincolnshire Police,Lincolnshire Police,-0.534981,53.228650,On or near Parking Area,E01026126,Lincoln 004D,Investigation complete; no suspect identified
8ce4a89a0ec58c339fc33bf71423d67911bb29d705ab6ba91805dfd83eedf278,2012-10,Lincolnshire Police,Lincolnshire Police,-0.574502,53.195229,On or near Sports/Recreation Area,E01026139,Lincoln 011C,Investigation complete; no suspect identified
0816dc40fddebf4783415397825c09cbc9ce0b5c7a85d3061c1e74227daba12c,2012-10,Lincolnshire Police,Lincolnshire Police,-0.520287,53.247697,On or near BROWNING DRIVE,E01026152,Lincoln 004E,Investigation complete; no suspect identified
854cd3e270e2c1b30ec8cccfb1d9d94e78d8f975efac58e646f62e17df38ce5c,2012-10,Lincolnshire Police,Lincolnshire Police,-0.574744,53.207782,On or near COSGROVE CLOSE,E01026173,Lincoln 010D,Investigation complete; no suspect identified
7a8665379082f2c3fa9554bc6e34cdfa0ae6ed243aa1b92894a1b2b74578fc9b,2012-10,Lincolnshire Police,Lincolnshire Police,-0.431467,52.989135,On or near CARDINAL CLOSE,E01026234,North Kesteven 011D,Investigation complete; no suspect identified
74a4122409d52b4d529c29ec5020cb12fc60940aaef45f28c8225eeb577d0112,2012-10,Lincolnshire Police,Lincolnshire Police,-0.160198,52.774948,On or near Petrol Station,E01026267,South Holland 009E,Investigation complete; no suspect identified
320692d83097c15fcca3c5ad891afdda99400d10b591951b9678853055420fd5,2012-10,Lincolnshire Police,Lincolnshire Police,-0.133570,52.795750,On or near DAWSON AVENUE,E01026270,South Holland 007C,Investigation complete; no suspect identified
e13494697baf9e5a292cc362e3f56a91c7d8db2cc95cf7332fe66dc2367db373,2012-10,Lincolnshire Police,Lincolnshire Police,-0.034405,52.862686,On or near Park/Open Space,E01026283,South Holland 004C,Investigation complete; no suspect identified
