Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b599021b47bffed0f2a8f227956ab202b0f6ef81f7fac00944f3edb59f9519d2,2015-08,Lincolnshire Police,Lincolnshire Police,0.348922,53.180608,On or near Pedestrian Subway,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
5e2c89351aa8d1298b4fb90c1016d5a2603f977c2f710174e7d082f232dad505,2015-08,Lincolnshire Police,Lincolnshire Police,-0.382731,52.740771,On or near NORTHORPE LANE,E01026360,South Kesteven 012B,Investigation complete; no suspect identified
cf1386f0144347d7ea35a8ca3019f6c7b9cc93b066861406bad368dc16356c04,2015-08,Lincolnshire Police,Lincolnshire Police,-0.475902,52.652955,On or near Shopping Area,E01026351,South Kesteven 016C,Investigation complete; no suspect identified
6866f56bc0937a545b326bcc4dcc80930a168d546cadd04c86457346197f4ffa,2015-08,Lincolnshire Police,Lincolnshire Police,-0.773609,53.395245,On or near PILLARED HOUSE LANE,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
6866f56bc0937a545b326bcc4dcc80930a168d546cadd04c86457346197f4ffa,2015-08,Lincolnshire Police,Lincolnshire Police,-0.773609,53.395245,On or near PILLARED HOUSE LANE,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
badd8d2266747bab59ca5df93ca2ce3ac395bfb8c43549e19ffd2710c2eae83d,2015-08,Lincolnshire Police,Lincolnshire Police,0.260247,53.340966,On or near Shopping Area,E01026073,East Lindsey 005B,Investigation complete; no suspect identified
b8e825aac94c08f3ca75150e6a9188956d254a49d1f4e49b7ab9ceadf246e39c,2015-08,Lincolnshire Police,Lincolnshire Police,-0.550923,53.251642,On or near RETIEF CLOSE,E01026149,Lincoln 001A,Investigation complete; no suspect identified
dffb0d0452e2e947259aba8a38aa06c43332b5a26266e953d0ef54d349757002,2015-08,Lincolnshire Police,Lincolnshire Police,-0.408478,52.998072,On or near Parking Area,E01026227,North Kesteven 010A,Investigation complete; no suspect identified
c930eb41ab72955b89e7b8a1345d256c8203ab6b51e196c34e21830e19747a58,2015-08,Lincolnshire Police,Lincolnshire Police,-0.167119,52.817329,On or near KNIGHT STREET,E01026259,South Holland 005C,Investigation complete; no suspect identified
991118e6d6eda4db2debb26dfdf9162493f88ecdef366de3a52fc8a7840ca9b0,2015-08,Lincolnshire Police,Lincolnshire Police,-0.459828,53.220088,On or near CHESTER CLOSE,E01026204,North Kesteven 001E,Investigation complete; no suspect identified
cec9f57314ae17b0dcbc8d5f6e218b3122b12c2269f10c1179c47e3bf04931f3,2015-08,Lincolnshire Police,Lincolnshire Police,-0.751222,53.392478,On or near GRASBY CLOSE,E01026375,West Lindsey 006B,Investigation complete; no suspect identified
b39748b2a5eeb4048367db8fe237599942b306a328edff1549d751c3898e94fd,2015-08,Lincolnshire Police,Lincolnshire Police,-0.041087,52.967223,On or near FARTHING CLOSE,E01026029,Boston 009A,Investigation complete; no suspect identified
574caf30063a735cd535934c98fa178030611b012fa87e08a8abd591837ca80f,2015-08,Lincolnshire Police,Lincolnshire Police,-0.143878,52.790886,On or near WILLOW ROW,E01026272,South Holland 007E,Investigation complete; no suspect identified
b46c09da97dee8d2a9636c969354e4f8406dd592de25f14b604e96db95202452,2015-08,Lincolnshire Police,Lincolnshire Police,-0.662736,52.918406,On or near GRIMSTHORPE CLOSE,E01026320,South Kesteven 004A,Investigation complete; no suspect identified
56ee695afcd4c42308ea1747830ae4fa85d2c02fbaaa70b89076c1bd727c2892,2015-08,Lincolnshire Police,Lincolnshire Police,-0.133184,52.793002,On or near NENE COURT,E01026271,South Holland 007D,Investigation complete; no suspect identified
68031faf52c84cdd9fb67d16f7b74000f604b1ff665c578bbc7f0fb69de6db7f,2015-08,Lincolnshire Police,Lincolnshire Police,-0.562757,53.210254,On or near SKELLINGTHORPE ROAD,E01026172,Lincoln 010C,Investigation complete; no suspect identified
d56373348b0adb078d343b0e3671ef9ec34fa2e38730fc5eb45e5cc2dbaaf7df,2015-08,Lincolnshire Police,Lincolnshire Police,-0.310211,52.915021,On or near Parking Area,E01026221,North Kesteven 009B,Investigation complete; no suspect identified
1d2684443557a056a7c10aff5a2485a7b8aa056bf0e1649c00dc6609b69c874c,2015-08,Lincolnshire Police,Lincolnshire Police,0.256719,53.340143,On or near HIGH STREET,E01026072,East Lindsey 005A,Investigation complete; no suspect identified
