Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
efdf6c62a4fa8e847cbbbc36c4f1783c89b393c721791827f99d938b826c63ad,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.653636,52.639960,On or near SWIM ROAD,E01026609,Great Yarmouth 002B,Investigation complete; no suspect identified
ea5cf8fcd6650fedcbaf5a779840007ae66a38dc41350641c8ccdcc1bcd534e0,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.726442,52.610067,On or near FULLER'S HILL,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
9728c0785c7d0f9066697fe3cdc439220857220acd783fdba9f0601d8638a49d,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.727374,52.605739,On or near Parking Area,E01026625,Great Yarmouth 006D,Investigation complete; no suspect identified
80e24252759d8b7376d05d454cbc7e803581fdfed9e8c2b9ec78641ebb93fd7e,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.740294,52.418200,On or near MONKSGATE,E01026465,Breckland 015A,Investigation complete; no suspect identified
7421268cd34696a43c8371f7a4ef5e8b3a63218d6118b2f745a3b9abbc2ebe1f,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.407704,52.748621,On or near EXTON'S GARDENS,E01026667,King's Lynn and West Norfolk 009B,Investigation complete; no suspect identified
f9a7856c7fd43a20bf93b658b7ebdd4595326eb1090e3970896d66bee445a29c,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.877313,52.580808,On or near MURIEL WAY,E01026464,Breckland 010D,Investigation complete; no suspect identified
b3e7f6090bc014531f58400924d3564bb62626b4e3a2be4c21e2b4d6909f6c42,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.757521,52.422979,On or near WOODLANDS CLOSE,E01026472,Breckland 016E,Investigation complete; no suspect identified
b9344cc32d909c4ffb2b19b3ab5f34a6717b7177dc87ee7fe7f4a7db3a856ea0,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.216225,52.645549,On or near HUNTINGFIELD CLOSE,E01026917,South Norfolk 001B,Investigation complete; no suspect identified
a4ddb5ba0f4c585d5d0e330159c550537dea52a922875a67fdf9d358b7e74d13,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.297740,52.930729,On or near WEST STREET,E01026734,North Norfolk 003A,Investigation complete; no suspect identified
ded24100cbb148e67d00c918541c0073ef30461590439a5a12660fb75c791d83,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.188735,52.653217,On or near ERNEST GAGE AVENUE,E01033538,South Norfolk 001G,Investigation complete; no suspect identified
54ffc0a6e28f798e36556faa539247a362c4f6ee4410415d41d11e375621a592,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.329666,52.794301,On or near SILT ROAD,E01026711,King's Lynn and West Norfolk 008B,Investigation complete; no suspect identified
da299a721e00bde027df230ffc3f5c53b8bb9e0fcfd75ca52756710dfabbbba0,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.306464,52.627333,On or near Parking Area,E01033439,Norwich 014B,Investigation complete; no suspect identified
0fdcaa184e38c34061857e63e1fba18dcfc8538edd56bba8b515c260ecf4fc0e,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.121958,52.373999,On or near GILRAY ROAD,E01033539,South Norfolk 015G,Investigation complete; no suspect identified
901203d09751270df9fcc4bc87154fd20107bef5f1f9daa24bfce28e128e1f09,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.728232,52.569076,On or near CLARENCE ROAD,E01026611,Great Yarmouth 010B,Investigation complete; no suspect identified
6b473e4d56e059b90b986d32f6cbfc683cb454aaea6c7377827e033991f77745,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.185090,52.396497,On or near THE STREET,E01026887,South Norfolk 014D,Investigation complete; no suspect identified
1627bb4d786dd909bce2988a2c10662f7687814e3ee6a1819de65106072ce7da,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.739632,52.406336,On or near SWEYN CLOSE,E01026477,Breckland 017D,Investigation complete; no suspect identified
6303a9fcd53faa2f73d383171365b6c8237d53c9938877059e2499ace3b7d18d,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.510857,52.767495,On or near CLIFFE-EN-HOWE ROAD,E01026674,King's Lynn and West Norfolk 012B,Investigation complete; no suspect identified
62be4a678be3830ff2593c9dc6c4c2ef4051529bf12ee41ae55a09548e2d2605,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.712179,52.579124,On or near FORSYTHIA ROAD,E01026603,Great Yarmouth 009C,Investigation complete; no suspect identified
48a189c64454aef82a1325d71349c1be56658edf7a643fd2e1013fa2d9650888,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.278175,52.911135,On or near B1436,E01026766,North Norfolk 005B,Investigation complete; no suspect identified
cf40ed7d30c604f72e4da58b910b217fed3da3cea0fd741701ac61e6b253186e,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.182497,52.664231,On or near LINNET ROAD,E01033538,South Norfolk 001G,Investigation complete; no suspect identified
9e6ef049d4654711fb673408d0a9a268f1642730d742f45caeaa62510faf6b01,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.416042,52.761120,On or near Parking Area,E01026690,King's Lynn and West Norfolk 007D,Investigation complete; no suspect identified
df6e0a522ec57382a79acb1744b486d8c5003e2c6ed7a9b9e6455ca7f98dd2ea,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.251330,52.636828,On or near WHISTLEFISH COURT,E01026865,Norwich 006C,Investigation complete; no suspect identified
9e5513f7df2e3fffd9ae8f293d5308fe3b06f2bb0ac7b4196e1a2ce197bca589,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.942560,52.679366,On or near WRIGHT'S WALK,E01026426,Breckland 005B,Investigation complete; no suspect identified
91b9638e5f96e3f044fbe719dddb891dda7a03b8ed8b602f895d3e70b5076e82,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.426324,52.682222,On or near MILL HILL,E01026579,Broadland 008D,Investigation complete; no suspect identified
02fe038dcee752e0ec70981a9fbde4aa94264e4edcf8eabe8a70a80d2d9b1833,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.295731,52.911350,On or near ROUGHTON ROAD,E01026766,North Norfolk 005B,Investigation complete; no suspect identified
83293bf247dcfed9d5545c693a5d84af570426fffca22363f38c50130b36cc64,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.656879,52.514355,On or near MALSTERS CLOSE,E01026424,Breckland 012A,Investigation complete; no suspect identified
72c570187daee1b27289cb12ec34382f85f6601ca65e258630e2ff04ab7768b4,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.048446,52.524866,On or near SILVER STREET,E01026448,Breckland 013C,Investigation complete; no suspect identified
c69fd85b376348cf43d43dd8685f40d901448ea1a54da91375e5a13c3500260c,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.293172,52.637290,On or near ROSE YARD,E01026826,Norwich 007E,Investigation complete; no suspect identified
59892f0e7b4c7924eb11dbe7b85a8c8ea64750510e82f8e83da671737598d5c1,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.403004,52.485909,On or near RECTORY LANE,E01026892,South Norfolk 012A,Investigation complete; no suspect identified
db4416fca1bea2a52d1e06ce85db249486ff4b53df86d68431e4826ba2c48006,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.403004,52.485909,On or near RECTORY LANE,E01026892,South Norfolk 012A,Investigation complete; no suspect identified
dbd301396971382344825ed6fbe24bbb28afd0fd3e708efa5319c45105114109,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.446400,52.753485,On or near BARRETT CLOSE,E01026664,King's Lynn and West Norfolk 010C,Investigation complete; no suspect identified
93d5a10ef6cf9f0daf095c6944e3dbb82ba70c66f2491651cbe637baa2d198e6,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.417516,52.735824,On or near A47,E01026724,King's Lynn and West Norfolk 014E,Investigation complete; no suspect identified
62d8348a8ce20890b09c13a8c2fb0611274399ba8db0e32d6dd6475c85f3cb61,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.276882,52.644227,On or near OLD FARM LANE,E01026828,Norwich 002A,Investigation complete; no suspect identified
650f3ea84eacf50c6a0c9e5bf37e34759edddf207640c79114dd8fc69ff4a947,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.302678,52.640632,On or near SILVER ROAD,E01026841,Norwich 003A,Investigation complete; no suspect identified
58eefe4176a7d25a4e2c3090a14dc1c84a8c35cfb6c2a24f863e1f535beab71c,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.989000,52.770406,On or near CUBITTS CLOSE,E01033042,Breckland 001F,Investigation complete; no suspect identified
31fa8a501d2c32f285515dea994f5b1a899a78a2a2ee57aab92232319fdd9831,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.727558,52.616760,On or near NURSERY TERRACE,E01026599,Great Yarmouth 004A,Investigation complete; no suspect identified
55ad2c2abd0d154550d2502893e7542dc394a67aa5b6717764b535adfc2d61bb,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.295646,52.618695,On or near SOUTHWELL ROAD,E01026853,Norwich 011B,Investigation complete; no suspect identified
23ec182f6c6956ecd2510ddb7025d22a468358aa32bbf29b4e8b2516a1370286,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.073023,52.454712,On or near B1077,E01026435,Breckland 013B,Investigation complete; no suspect identified
d1471e12ebd5ed05e9ce4d9060e6d43618868a1223f1bc3220e2372edc4b4fa2,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.300151,52.722050,On or near THE OLD COACH HOUSE GARDENS,E01026533,Broadland 004A,Investigation complete; no suspect identified
fda35fe1f5813f3c2faf46dedb0580d5c6c411facac7f6138eb62de4a171c474,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.376340,52.494202,On or near CHAPEL HILL,E01026904,South Norfolk 012E,Investigation complete; no suspect identified
c6335a7f0c582d907856de2f677954637c8646b72d74a4e4d5b0d4cb4092d3c9,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.950429,52.470579,On or near Parking Area,E01026435,Breckland 013B,Investigation complete; no suspect identified
fc78a16bf404c28955db77d07a119000f9a3ee334dc38a6832a9ee2012a7445e,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.717288,52.581392,On or near CHERRY ROAD,E01026602,Great Yarmouth 009B,Investigation complete; no suspect identified
045a2c5132ae9d420224947f8295229bc5feec2f8c067eb0317f4f3895744ffc,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.237253,52.708172,On or near OLIVE CRESCENT,E01026535,Broadland 004C,Investigation complete; no suspect identified
c13dc5b9d19a327ceb87b7e94e70ad4accaa45a62126e0e1e6ca90c77b4b702c,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.727981,52.580903,On or near Shopping Area,E01026632,Great Yarmouth 009E,Investigation complete; no suspect identified
7adda2db5e57691ccb62575c04e109909636bbbdacca77ba04b4289e09db5fed,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.398622,52.819816,On or near SADLERS WAY,E01026753,North Norfolk 010A,Investigation complete; no suspect identified
985e5e1404602048cc245f920aea681ff2f17d527888beb3bec68039402bbb11,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.341940,52.759641,On or near FILBY ROAD,E01026514,Broadland 003A,Investigation complete; no suspect identified
9b759655f895cd8bb76dc42d64e3eee367fbe8b404a21c711afd437668574713,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.396215,52.604770,On or near LOWRY WAY,E01033036,King's Lynn and West Norfolk 017E,Investigation complete; no suspect identified
3f021d4bef4e081b65260262c4b87f0538445552737abbde7957530bee224d87,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.530212,52.825055,On or near CHURCH STREET,E01026740,North Norfolk 012A,Investigation complete; no suspect identified
846b6da3afc60f444e8297d6345017e4b1f01ceda4042dfa5802752ba71dc1e9,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.433361,52.748493,On or near LEAFIELD ROAD,E01026662,King's Lynn and West Norfolk 010A,Investigation complete; no suspect identified
12fc18970d8cdf5b657fbc9a65f6b789fc1ca4929719d74217604ec61b40b5fa,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.303539,52.612638,On or near NETHERWOOD GREEN,E01026817,Norwich 013B,Investigation complete; no suspect identified
0e3c34f2b9b208b383e499b925bb1096198f0e2a5b2019095fdb145e4005a0cc,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.299918,52.642067,On or near NORTHCOTE ROAD,E01026845,Norwich 003E,Investigation complete; no suspect identified
b59f1f3c6ed1126eb6444a6e00cfab92e76313e21de76fd083e37a5f73ab3587,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.395546,52.743364,On or near LANGHAM STREET,E01026706,King's Lynn and West Norfolk 011F,Investigation complete; no suspect identified
b165d2ab0716ec62c88e8a5ba6e8ca4023286c12b2f80fa30c09ec3cfc4ae773,2015-02,Norfolk Constabulary,Norfolk Constabulary,0.508963,52.735326,On or near GLOSTHORPE MANOR,E01026665,King's Lynn and West Norfolk 012A,Investigation complete; no suspect identified
20f2ab2c7e87c2ddda9a9fde1c596c12ff73403e1243e18328c354ac3e20cc7d,2015-02,Norfolk Constabulary,Norfolk Constabulary,1.373727,52.496255,On or near SUCKLING PLACE,E01026904,South Norfolk 012E,Investigation complete; no suspect identified
