Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
41d46b3835279b1b26c8e05b4cc4c562d9ef637f3b7ce14e42d8c143d39a911e,2015-02,Dorset Police,Dorset Police,,,No location,,,Suspect charged
a6ff3c9055825939dcb05d5958cf906274aef8c92af3a62153ad762c8f483a90,2015-02,Dorset Police,Dorset Police,-1.788690,50.746349,On or near EMILY CLOSE,E01020352,Christchurch 002B,Investigation complete; no suspect identified
e18bcc28298e32546984a8de9fbf9314f67cd89092b0ed159bfc9234fb32628d,2015-02,Dorset Police,Dorset Police,-1.984141,50.799209,On or near Sports/Recreation Area,E01020428,East Dorset 010C,Investigation complete; no suspect identified
70f2b44a749ea2bc4c57043c87cd962150063329f0c4f54cbe25a092717e4c3e,2015-02,Dorset Police,Dorset Police,-2.454367,50.623074,On or near FERNHILL AVENUE,E01020556,Weymouth and Portland 004D,Investigation complete; no suspect identified
4df1b8e3110a3c4657140ba40ca3eeced21d5867899388f968a6073e17aef420,2015-02,Dorset Police,Dorset Police,-2.441070,50.709635,On or near MAUMBURY ROAD,E01032645,West Dorset 009I,Investigation complete; no suspect identified
9f550a7855ce770c0d3ef0f57c4abd9d3c7926922cc5df090263922baa136e35,2015-02,Dorset Police,Dorset Police,-2.221157,51.037514,On or near ELM CLOSE,E01033158,North Dorset 002F,Investigation complete; no suspect identified
3fe4b7014a24618daf921045b341d5f05cc5dbf74369758bb12c8142b0fbf4de,2015-02,Dorset Police,Dorset Police,-1.793383,50.742815,On or near JUMPERS ROAD,E01020360,Christchurch 006A,Investigation complete; no suspect identified
1726a386bcfc774cf0d05f46433dfbf6640701595746145efd1eb1f47b57d5df,2015-02,Dorset Police,Dorset Police,-1.772850,50.750996,On or near STONY LANE,E01020345,Christchurch 001C,Investigation complete; no suspect identified
c733b3fef06ac32a95fa312dab4cb5cc9f811583014b3c74b890cb1326d90181,2015-02,Dorset Police,Dorset Police,-2.214429,50.741478,On or near HOLLOW OAK,E01020465,Purbeck 001A,Investigation complete; no suspect identified
3979cde7736eecb76e3ed23e7466f346886e623f524e4f97e3ef7115c092bbfd,2015-02,Dorset Police,Dorset Police,-2.023939,50.735909,On or near FACTORY ROAD,E01020473,Purbeck 002C,Investigation complete; no suspect identified
b71e49acdcc7ceaaebe9a1f6ce169703dc807bd5b62fa398d730cae19f8cfd46,2015-02,Dorset Police,Dorset Police,-1.785946,50.738907,On or near CLARENDON ROAD,E01020360,Christchurch 006A,Investigation complete; no suspect identified
b7d71a639d8fc7878f0a33e8eb5b4f9e5412bf62d41dceaece1d0c7250f60d89,2015-02,Dorset Police,Dorset Police,-1.865189,50.843654,On or near CRANE WAY,E01020412,East Dorset 003B,Investigation complete; no suspect identified
8ae1b8aa73010932484d2d5dd0c11b4acec86c10f434f0db58f40bcbb0d3b6c5,2015-02,Dorset Police,Dorset Police,-2.445854,50.727270,On or near BURN VIEW,E01020509,West Dorset 004A,Investigation complete; no suspect identified
4471573a1c98136ceec9cd6e319610929e253b34b732f747a861524993266447,2015-02,Dorset Police,Dorset Police,-2.214429,50.741478,On or near HOLLOW OAK,E01020465,Purbeck 001A,Investigation complete; no suspect identified
7fbde4fca3a41fe5b1726501fbb9231a8ba28e87a321f3fdddd39eb3ae6559df,2015-02,Dorset Police,Dorset Police,-2.449973,50.541839,On or near WOOLCOMBE ROAD,E01020564,Weymouth and Portland 009B,Investigation complete; no suspect identified
d9fc933be9ebbdb7767a483e12675708e05e80b2f7a3736bfa804eff8018f645,2015-02,Dorset Police,Dorset Police,-2.741930,50.742056,On or near SHOE LANE,E01020501,West Dorset 006D,Investigation complete; no suspect identified
89d75e9e7ebb871e588e0b736eb671f571f45a7e96db7c1d7a08ce1df3207c25,2015-02,Dorset Police,Dorset Police,-2.365094,50.872502,On or near DRUM LANE,E01020448,North Dorset 008E,Investigation complete; no suspect identified
0bc2cd34d36b53e9fff3f4763feb5922b734e5e807071792b3470e7f06b16118,2015-02,Dorset Police,Dorset Police,-2.020213,50.771727,On or near BLYTHE ROAD,E01020382,East Dorset 012A,Investigation complete; no suspect identified
