Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f424159cbcf6695b3007c4d3bb3ec2e2f5ce7d85f4979d8d28780371ca144356,2014-09,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Investigation complete; no suspect identified
eead3f155c0f2e29a02c332fe36e2e882a70fa108da16de30f16ac6409957de8,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.228985,52.487931,On or near MANOR ROAD,E01026940,South Norfolk 011F,Investigation complete; no suspect identified
0c90b81457549d09fc8a3807a9457ea29d0509d3aa39decde8d72c1da4598d15,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.651587,52.783549,On or near CHURCH LANE,E01026718,King's Lynn and West Norfolk 004D,Investigation complete; no suspect identified
1e03bd4d2e742b9a21616c16066ec531e44e158b3ade870efee1993531d44482,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.732592,52.403289,On or near OAK CLOSE,E01026478,Breckland 017E,Investigation complete; no suspect identified
b2cfd112eef91a0fad3413324364d6b5787b2aa32a9b3db548e6f890fe1b1bc0,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.111193,52.569179,On or near CHANDLER'S HILL,E01026870,South Norfolk 005A,Investigation complete; no suspect identified
afb8512f459e9363db05418f7ffffda6a08647b4dc51dd9adbf745692d766284,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.396994,52.744099,On or near DIAMOND STREET,E01026706,King's Lynn and West Norfolk 011F,Investigation complete; no suspect identified
c5a6acbbed04c80dd76a1da63fd426fecebcb1d8fa2f04b093d3acaaa2f9bd36,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.641574,52.748562,On or near Sports/Recreation Area,E01026786,North Norfolk 013D,Investigation complete; no suspect identified
d97d80b026c54bb9e4cdce5d550165492e246576b93e67a53b442e841cf2f40f,2014-09,Norfolk Constabulary,Norfolk Constabulary,0.392837,52.754497,On or near TRENOWATHS PLACE,E01026698,King's Lynn and West Norfolk 011A,Investigation complete; no suspect identified
fe4267ea1bc3f3b30172662682e8386a9a5ddc031e503d8f4497f357e8376ae0,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.653528,52.567728,On or near SHARMANS LOKE,E01026616,Great Yarmouth 012D,Investigation complete; no suspect identified
2aed0c8e9cf6595554604b171207349425687cfd34d0e1595ca37d387de29932,2014-09,Norfolk Constabulary,Norfolk Constabulary,1.229352,52.645704,On or near GURNEY ROAD,E01026916,South Norfolk 001A,Investigation complete; no suspect identified
