Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
98b5feb81565191d49e2c7985019a556d0a992590aaf618be6683732050542da,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.077119,51.719197,On or near ROGERS CLOSE,E01023315,Broxbourne 007D,Investigation complete; no suspect identified
dc136ae4b298afeb78b2dbfd8c47448596c9de3bb30fbfa1beaf79f2a2225af7,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
8c4c887b52268e943ec2ed62531746c88a28d6a9af749b09df22bfc40db2eec9,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.018609,51.684889,On or near QUEEN'S DRIVE,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
6b4815bf51c1a7e9ce6411bfc18334cc73597c924cc3655e0094c811d95c9c52,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033873,51.685191,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
a59cc772748bdbbb818c307f74e4406506332dd13e4c17d2486eeb0a00764fd1,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037020,51.708426,On or near HIGH STREET,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
5b923cc77aa05ddf127fd8824ac626412b1bf755fd79fb8d4a6c928b7cf2e826,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049057,51.701136,On or near PENGELLY CLOSE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
4fbcb4d93ebe4521aa0ef1000a656cf2dd6723f596b6818512c4980874cc9750,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049057,51.701136,On or near PENGELLY CLOSE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
5e794abafc42a839c2d00350de618f378f675dc351e381c2034bac9d7a26f6f4,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032104,51.723640,On or near VANCOUVER ROAD,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
2df9d613b792e09bee0c43b5b22d19ca9bfc719fe052d85f2ddad4bc68fe9f67,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034575,51.692370,On or near THEOBALD'S GROVE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
b1037bf61b9b51ca0758397fa982afd5bdd48e7105385571c66f29665548dcfe,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034601,51.695104,On or near CROSSBROOK STREET,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
749e3febf002fa8603bdf8165e52e1fa5e6e56c3c7cc16bbb25ca4f757b7f98f,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045264,51.709580,On or near SHAW CLOSE,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
5833a98f8ed8bfbb46f8b7a7fb9e73653eedf2a2dc58cbcf6dae36125dffa133,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.092062,51.713658,On or near BEEHIVE ROAD,E01023313,Broxbourne 007C,Investigation complete; no suspect identified
3917d948b8152a2bfd6baa15bd89d2166e77cc5354a36f2e51e299f9f32bd4cd,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032236,51.686234,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
8196fbe2d425adeaff34208a99bd841c71c635b94bb62062b7670bdea8d28997,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032211,51.686494,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
8e4a5bec42df328890172fcc912d35d637b8e99f46e2a3c3fbbb8db789ac598d,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033398,51.690480,On or near Supermarket,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
8f1e1f7ed14618b19e163d05b38660c8d121ba34297e3d862daea66e2979dc7f,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.092062,51.713658,On or near BEEHIVE ROAD,E01023313,Broxbourne 007C,Investigation complete; no suspect identified
d1a221831bbbad17a791de4e7994c51c6b5111697587620ca73344371d491ec5,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029512,51.710315,On or near MORLAND WAY,E01023302,Broxbourne 008A,Investigation complete; no suspect identified
2451d9b7224a72d6524afcfc5eca92919b1755853cb4e6d2797ba04451ffd84f,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.075294,51.706964,On or near GOFF'S LANE,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
3a6381b017e119f50707c989ad6e2e96553ea5391a54ccaa521699999a6132e4,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.088170,51.725617,On or near NIGHTINGALE ROAD,E01023307,Broxbourne 006A,Investigation complete; no suspect identified
a34994992dacf2d5559758621e80c24a3cdc924f58d43517b0647846e8311d77,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.054747,51.707489,On or near Park/Open Space,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
8d356e414691d5ac7ab8dd4257ced3f94c05d8e76a856386e4174f21b175c3c9,2014-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.057034,51.697365,On or near BURY GREEN ROAD,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
