Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9896127177549659286e9069cb9e3183a0d4d79feae80a6a82a95834fd055294,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.492850,53.722326,On or near CLAYTON WAY,E01012598,Blackburn with Darwen 013C,Investigation complete; no suspect identified
f30cd262c5bd872869a1c825f238e1a156c71ca2b93ed87a26acabaade88011f,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.488392,53.722083,On or near FORRESTSIDE,E01012598,Blackburn with Darwen 013C,Investigation complete; no suspect identified
30d368e4b53418e73c8aa519243aa75954af3cf0f78ef75f3d5677b3a2ec0dec,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.486685,53.721308,On or near MEADOWFIELDS,E01012598,Blackburn with Darwen 013C,Investigation complete; no suspect identified
83bcf123721adf0954e17f6cb767621c9aef5849611ebad778259356dfe48711,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.488156,53.720053,On or near RYE GARDENS,E01012598,Blackburn with Darwen 013C,Investigation complete; no suspect identified
05e1c3de368f5f7ccab8a2082853440f9e3de855a40d20875ac0632b0b506f63,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.478183,53.721208,On or near CROSS STREET,E01012599,Blackburn with Darwen 013D,Investigation complete; no suspect identified
ce014cb684e5b4fa0bf633d29886dab744d7ed13c7e68e4b711d4b50f27fdc9a,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.481722,53.731242,On or near MONA ROAD,E01012600,Blackburn with Darwen 011A,Investigation complete; no suspect identified
290449bc68fda235717c60eb1ead8f0e048626f35dc00f7027b70d2ba9b19809,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.482808,53.729449,On or near CROSBY ROAD,E01012600,Blackburn with Darwen 011A,Investigation complete; no suspect identified
623d33569ce965a80c609c1fea9a5545e2eafa318e54cbeed7421e83e83f4f9c,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.474704,53.735243,On or near MOWBRAY AVENUE,E01012600,Blackburn with Darwen 011A,Investigation complete; no suspect identified
367a136287f55bf2bc3c4a84a68673704d1f53220c10424eac9e962c7a12ea98,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.482808,53.729449,On or near CROSBY ROAD,E01012600,Blackburn with Darwen 011A,Suspect charged
37b93759fd0e0fc7c21d2f5e95422eb321d3e7181ad6d951f32b05e88898bfb3,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.482808,53.729449,On or near CROSBY ROAD,E01012600,Blackburn with Darwen 011A,Suspect charged
37b93759fd0e0fc7c21d2f5e95422eb321d3e7181ad6d951f32b05e88898bfb3,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.482808,53.729449,On or near CROSBY ROAD,E01012600,Blackburn with Darwen 011A,Suspect charged
