Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
889c421fc240d895e18f61598aafba6e2078b7f2cbf09b3d6b22363f522e965d,2013-02,Thames Valley Police,Thames Valley Police,-0.983848,51.454474,On or near GOLDSMID ROAD,E01016353,Reading 011B,Investigation complete; no suspect identified
e97b870b73751f91f59b538a6e53344fff6fe813f5443bf79e9a79e585fe7424,2013-02,Thames Valley Police,Thames Valley Police,-1.005987,51.454960,On or near WESTBOURNE TERRACE,E01016400,Reading 008F,Investigation complete; no suspect identified
1c633f07198f41116f4916169f26e906966cc30a8568fea4b4f2327e40eac6b6,2013-02,Thames Valley Police,Thames Valley Police,-0.962490,51.423993,On or near DENBURY GARDENS,E01016438,Reading 017D,Investigation complete; no suspect identified
e4f284da3721c8296ced291668542bc1c50fa5771da0aa93a728455cfa535afe,2013-02,Thames Valley Police,Thames Valley Police,-0.754523,52.075224,On or near WILLOW WREN,E01016762,Milton Keynes 005A,Investigation complete; no suspect identified
0a1b901af206207658e5d8990ed2ffe1b740fec2b0d3c66deb3acc05fcd45c20,2013-02,Thames Valley Police,Thames Valley Police,-0.712781,52.155713,On or near ANDING CLOSE,E01016798,Milton Keynes 001C,Investigation complete; no suspect identified
6c0fe0f9ed10587273836c1c5737667c336bd7104ba40e70877ebe3bd8690cf3,2013-02,Thames Valley Police,Thames Valley Police,-0.787209,52.024558,On or near BURCHARD CRESCENT,E01016781,Milton Keynes 019C,Investigation complete; no suspect identified
baebc11928a9eb2e26a321cbf1c43bba2176e40ec228f183a8b5aa7201dd6cbe,2013-02,Thames Valley Police,Thames Valley Police,-0.781161,52.014336,On or near Supermarket,E01016752,Milton Keynes 025B,Investigation complete; no suspect identified
043c0af098e8dd3126f237ec0e8260b7440c7d6a6d6e63d78aa54552d7bef5fc,2013-02,Thames Valley Police,Thames Valley Police,-0.788518,52.025732,On or near BENBOW COURT,E01016778,Milton Keynes 020D,Investigation complete; no suspect identified
d151a12eb1794799a0a1524d763d56a18fda54e10455c8d4d9b123a6989e20c4,2013-02,Thames Valley Police,Thames Valley Police,-0.731732,51.994834,On or near Supermarket,E01016714,Milton Keynes 030B,Investigation complete; no suspect identified
bbfedb67730456f78992c617de0d3ba6520172ee2c67f2a8d860fc252f4a9145,2013-02,Thames Valley Police,Thames Valley Police,-0.747413,52.011734,On or near DREW COURT,E01016739,Milton Keynes 027C,Investigation complete; no suspect identified
482a1051f4304b6c2ca3364c9f6d129c5b3530775c61e264426b2f0632a2303d,2013-02,Thames Valley Police,Thames Valley Police,-0.641572,51.529851,On or near MARESCROFT ROAD,E01016453,Slough 001D,Investigation complete; no suspect identified
0d1916875db29d4c38fec6fe8297ae43c59c760641a1b80e51869c0c13f72457,2013-02,Thames Valley Police,Thames Valley Police,-0.657084,51.520561,On or near EATON AVENUE,E01016493,Slough 003A,Investigation complete; no suspect identified
2689011e215bcb104f6baa002fdffbf41e593d217945115584569324fc7c7448,2013-02,Thames Valley Police,Thames Valley Police,-0.622001,51.530108,On or near FAIRCROFT,E01016484,Slough 002B,Investigation complete; no suspect identified
b36e7b1936dcc272907e4bc486852828d527ca3d4bd7f7122715ba81028402a3,2013-02,Thames Valley Police,Thames Valley Police,-0.602892,51.509614,On or near EVERARD AVENUE,E01016464,Slough 009C,Investigation complete; no suspect identified
db279358484853d08353f42da790ffa493b85adfce3edde8f82843157a757e3f,2013-02,Thames Valley Police,Thames Valley Police,-0.631492,51.514087,On or near BENTLEY ROAD,E01016470,Slough 006D,Investigation complete; no suspect identified
80b87f5e0b25d943c4098059d76d2882f4b14da50f00f22ca03c6d64f5af6f22,2013-02,Thames Valley Police,Thames Valley Police,-0.635562,51.510043,On or near BANTRY ROAD,E01016473,Slough 008A,Investigation complete; no suspect identified
d71af18f242ebd7db7fe7f24236c432188ff4e4e8b952d7aa5162af18a43e8b2,2013-02,Thames Valley Police,Thames Valley Police,-0.743744,52.075613,On or near MIDBROOK COURT,E01016767,Milton Keynes 005D,Investigation complete; no suspect identified
2dac0a566b8a96b3534ae5f01524d53da9a43e1f5b20d36d14a4736555a25e63,2013-02,Thames Valley Police,Thames Valley Police,-0.807491,52.063139,On or near Parking Area,E01016841,Milton Keynes 008D,Investigation complete; no suspect identified
07e95d4122ab616309e73f7ce168a0aad7bf0643662be000d3f602d507bcd347,2013-02,Thames Valley Police,Thames Valley Police,-0.785717,52.062423,On or near ASHWOOD,E01016806,Milton Keynes 006A,Investigation complete; no suspect identified
e523140aee085c159dd3b89ba21b5e9d4ca8f3d355b2f8b8e1c6a5a8dcc69167,2013-02,Thames Valley Police,Thames Valley Police,-0.781665,52.048355,On or near HONEYPOT CLOSE,E01016722,Milton Keynes 011B,Investigation complete; no suspect identified
4e8f26de2f5a4a99802d766c134c7e6c50f60ff2f48d4ed70c339a3f5f9a409c,2013-02,Thames Valley Police,Thames Valley Police,-0.524199,51.484596,On or near VICARAGE WAY,E01016481,Slough 014C,Investigation complete; no suspect identified
64e334048ee740dad75fb7ab5de56c65d474a9ebcdc8f946bbffb5eb26190f38,2013-02,Thames Valley Police,Thames Valley Police,-0.562335,51.501589,On or near BROAD PLATTS,E01016501,Slough 012B,Investigation complete; no suspect identified
2d8c5e12a9aec5ac68458a2b70a6cb6d4aae7032e339ed4071f875e35c9c5f13,2013-02,Thames Valley Police,Thames Valley Police,-0.537568,51.506543,On or near MEAD WALK,E01016506,Slough 010A,Investigation complete; no suspect identified
8b5666e8e41a4bb2b5f43790c6f8e65b64101e8cdf16a73b6d8f8ca8f65c72cf,2013-02,Thames Valley Police,Thames Valley Police,-0.560997,51.498785,On or near DRAKE AVENUE,E01016513,Slough 011C,Investigation complete; no suspect identified
e315558b96331bebe3be58a599867dc7f78827ff2d627fcdc9b351dc8557515a,2013-02,Thames Valley Police,Thames Valley Police,-0.551458,51.500196,On or near PAGET ROAD,E01016500,Slough 012A,Investigation complete; no suspect identified
80b295a78f71262cbea1c18acb2e30f3590973a536c5ff9f5082317044fdfa91,2013-02,Thames Valley Police,Thames Valley Police,-0.567210,51.501414,On or near Supermarket,E01016513,Slough 011C,Investigation complete; no suspect identified
800b5fed328302d4905771d7a0116d989c5091bb59f14926986f6b6c97734478,2013-02,Thames Valley Police,Thames Valley Police,-1.267029,51.765721,On or near FARNDON ROAD,E01028565,Oxford 003A,Investigation complete; no suspect identified
