Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c7968c2fe56792ca1e01bff6d06fb38ff2c1a54b43ac20da723ba407a24bcbf1,2015-03,Lincolnshire Police,Lincolnshire Police,-0.597758,53.217889,On or near BITTERN WAY,E01026159,Lincoln 009C,Investigation complete; no suspect identified
a68a53051c987799c9e00202838ecad3570a6e9c63943d0fa8aec153a563f9b5,2015-03,Lincolnshire Police,Lincolnshire Police,-0.507907,53.233906,On or near TOWER GARDENS,E01026123,Lincoln 004B,Investigation complete; no suspect identified
e923e857ac26ec657226b17193cc611a3460fbc28fe54d9ea9ac87d082c79467,2015-03,Lincolnshire Police,Lincolnshire Police,-0.648568,52.922030,On or near Sports/Recreation Area,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
a01c55ace6faecc992dc6f05fa210e0ea9573d00a4c1ee1de0d27d3281f051a8,2015-03,Lincolnshire Police,Lincolnshire Police,-0.552764,53.190859,On or near SPERRIN CLOSE,E01026140,Lincoln 011D,Investigation complete; no suspect identified
00ba217840c3f6ba2ea50db8762a5040109869e0d7cac08a75ab2f7d9201b9a0,2015-03,Lincolnshire Police,Lincolnshire Police,-0.574502,53.195229,On or near Sports/Recreation Area,E01026139,Lincoln 011C,Investigation complete; no suspect identified
41f8d671cba4232c9ca12beb712b30842aac0137c523e568ffc37ae384a44bd8,2015-03,Lincolnshire Police,Lincolnshire Police,-0.597758,53.217889,On or near BITTERN WAY,E01026159,Lincoln 009C,Investigation complete; no suspect identified
754bf26de8e128c0868f4465e59b2dddcb6ac86ac526c4ba15e91d2d66284679,2015-03,Lincolnshire Police,Lincolnshire Police,-0.532804,53.242359,On or near BROADWAY,E01026164,Lincoln 003F,Investigation complete; no suspect identified
d4eb43041dfbfc291e793a071b5eb6a30b73af3f6d05057de6ca5f5d57e38d45,2015-03,Lincolnshire Police,Lincolnshire Police,0.001347,52.966435,On or near PILGRIM GARDENS,E01026014,Boston 008B,Investigation complete; no suspect identified
0f863de2ab3e2ef7af62cb577c2c87444b53f438636652de60931406a61dcb83,2015-03,Lincolnshire Police,Lincolnshire Police,-0.638344,52.926471,On or near REDCLIFFE ROAD,E01026352,South Kesteven 003E,Investigation complete; no suspect identified
7ab45dbee759697bede8c8ccac04a409eda7c9e002f337f3c64c1a718e14be1c,2015-03,Lincolnshire Police,Lincolnshire Police,-0.658585,52.900640,On or near HARBY CLOSE,E01026308,South Kesteven 005A,Investigation complete; no suspect identified
5f62561d343e474a96b351c2ac647563ac346026ef51b7adb1697b4a3a4bbf3e,2015-03,Lincolnshire Police,Lincolnshire Police,-0.773122,53.388660,On or near WINTERN COURT,E01026382,West Lindsey 004D,Investigation complete; no suspect identified
5796ff40587e2b88a730cfaa080e961cbdd4e83e44cbee38874e74c841309ade,2015-03,Lincolnshire Police,Lincolnshire Police,-0.580728,53.195726,On or near WAVERLEY AVENUE,E01026215,North Kesteven 014B,Investigation complete; no suspect identified
5796ff40587e2b88a730cfaa080e961cbdd4e83e44cbee38874e74c841309ade,2015-03,Lincolnshire Police,Lincolnshire Police,-0.580728,53.195726,On or near WAVERLEY AVENUE,E01026215,North Kesteven 014B,Investigation complete; no suspect identified
4f18e1ad29bce875bdfba83ce20a9a6df8cb318ad7261002bb193a883cc2aebe,2015-03,Lincolnshire Police,Lincolnshire Police,-0.538756,53.228660,On or near Shopping Area,E01026122,Lincoln 004A,Investigation complete; no suspect identified
125cda39d35efd1bc104f9c5cec8b73414f87a00d74ed11e90c7d90774afffc7,2015-03,Lincolnshire Police,Lincolnshire Police,-0.038429,52.979236,On or near BARTOL CRESCENT,E01026032,Boston 002D,Investigation complete; no suspect identified
70a59b7ca7320634993b770b540913cac85ac059d99169ffa85b79b17e5259bf,2015-03,Lincolnshire Police,Lincolnshire Police,-0.591863,53.213145,On or near BAKER CRESCENT,E01026158,Lincoln 009B,Investigation complete; no suspect identified
781b2fe9079737e64aac90ec381ab238ff3525c2bae5e3ae370774e0e29b4122,2015-03,Lincolnshire Police,Lincolnshire Police,-0.385906,53.062298,On or near DIXON AVENUE,E01026180,North Kesteven 007A,Investigation complete; no suspect identified
a5fcb88eea98882fbab2312bc6ba3374fac8ac701e481089e9b81d62a06ca6e1,2015-03,Lincolnshire Police,Lincolnshire Police,-0.684367,53.397190,On or near CHURCH LANE,E01026385,West Lindsey 005A,Investigation complete; no suspect identified
a7a9f78aa8bd5443d5a7775874ebbe62601971f622a79b41315ddb8c4b1128e2,2015-03,Lincolnshire Police,Lincolnshire Police,-0.019010,53.361717,On or near LITTLE CROWTREE LANE,E01026089,East Lindsey 004C,Investigation complete; no suspect identified
feef885c259879a4e9cd3d635a609b407af87cdb7a3accabb967ebb5ecfbf79d,2015-03,Lincolnshire Police,Lincolnshire Police,-0.771748,53.395631,On or near FLORENCE TERRACE,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
ab6d963966ebeaad6126c17e8796adc77e4f37a65a7209d01614e1358858883c,2015-03,Lincolnshire Police,Lincolnshire Police,-0.771748,53.395631,On or near FLORENCE TERRACE,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
7ac2e972ee8a180342138f073225d6a8a1f6e0d9d483c47ebf62a716418e250f,2015-03,Lincolnshire Police,Lincolnshire Police,-0.771748,53.395631,On or near FLORENCE TERRACE,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
4e494d4a45985682f6179eaf1286eb6c774509e5af567bf0bfd72eeeca8fa2da,2015-03,Lincolnshire Police,Lincolnshire Police,0.032300,52.807419,On or near BALMORAL WAY,E01026253,South Holland 003D,Investigation complete; no suspect identified
44b3c23ee025be6cf2d53939076a0cbf001cffb9a22e353168d49b77009678af,2015-03,Lincolnshire Police,Lincolnshire Police,-0.499501,53.242916,On or near BYLAND CLOSE,E01026155,Lincoln 002B,Investigation complete; no suspect identified
373c53a1fe2c3de94a9e2fe57fd2bd74b6208fc6cec10361ac0d7790e363da4f,2015-03,Lincolnshire Police,Lincolnshire Police,-0.551608,53.232242,On or near Parking Area,E01026146,Lincoln 005D,Investigation complete; no suspect identified
aba190e7d92c07031a670ace7097176ff6b7e28106ca87891d11650739693e1f,2015-03,Lincolnshire Police,Lincolnshire Police,-0.626529,52.918586,On or near SHARPE ROAD,E01026326,South Kesteven 003B,Investigation complete; no suspect identified
aba190e7d92c07031a670ace7097176ff6b7e28106ca87891d11650739693e1f,2015-03,Lincolnshire Police,Lincolnshire Police,-0.626529,52.918586,On or near SHARPE ROAD,E01026326,South Kesteven 003B,Investigation complete; no suspect identified
8e03374e672e66d40fee4c9138904dea57be073c606fc25158c79311a38b0d05,2015-03,Lincolnshire Police,Lincolnshire Police,-0.515773,53.240845,On or near WRAGBY ROAD,E01026154,Lincoln 004F,Investigation complete; no suspect identified
5b304c55c595c2a916da2e8666d99d16f6bbf8d427b7ef0d6af539795805182a,2015-03,Lincolnshire Police,Lincolnshire Police,-0.645593,52.914409,On or near UNION STREET,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
7d4fae02691152954fd1a315798a6b48cb8d21495c8a2288163217ff22063183,2015-03,Lincolnshire Police,Lincolnshire Police,-0.775096,53.400546,On or near Parking Area,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
