Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cb339f1399eb0f8a006eb2d2154695c9b70042a6ed74d595763957ca5dc0f2b7,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.147983,52.110698,On or near WHISKINS,E01018303,South Cambridgeshire 017F,Investigation complete; no suspect identified
ae0275189f47bca9707fe7a80a46b0b077977b64a4f758943815442388185e7c,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.250454,52.252948,On or near Park/Open Space,E01018155,Huntingdonshire 018D,Investigation complete; no suspect identified
962e85634a0ef13b84ba50fde5f5ea862be199a96cdad395138aeeeffb8e6d9f,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.159745,52.103541,On or near DUXFORD ROAD,E01018239,South Cambridgeshire 017B,Investigation complete; no suspect identified
9dec94ef910ba98385b99657785fa578cafd1c1558705f017c67647b07688ef1,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.127358,52.251284,On or near ST ANDREWS WAY,E01018259,South Cambridgeshire 006C,Investigation complete; no suspect identified
517d7db5c9ea7f829aa5868ebd65a24be653f00020c651795c7c73976949babf,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.093540,52.180241,On or near VICARAGE DRIVE,E01018225,South Cambridgeshire 009B,Investigation complete; no suspect identified
3087185e0d9fb94d3d757206b912e17767a11639beecf66a5a080feed20a1e17,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.272930,52.398143,On or near CRESSWELLS LANE,E01018024,East Cambridgeshire 004A,Investigation complete; no suspect identified
3846f087dfe24196e5e36cab5cf3254648a4db9a312d6513a204d35547942873,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129337,52.203285,On or near PARKSIDE,E01032797,Cambridge 007G,Investigation complete; no suspect identified
4a9516f198bcc285829028e411862cc0c50dbea8c68bc7730b71dcd0d696e4ad,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129337,52.203285,On or near PARKSIDE,E01032797,Cambridge 007G,Investigation complete; no suspect identified
da8429f30e40af8fdf87aaa9ff2237ff42d3f89b65aed31fbf3ec41dc0d7117e,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129337,52.203285,On or near PARKSIDE,E01032797,Cambridge 007G,Investigation complete; no suspect identified
faefa4be542561cde79c4e2c45ce3385686ce1ab97e3e8ebf11f1dcc0f4ce7fd,2015-03,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129337,52.203285,On or near PARKSIDE,E01032797,Cambridge 007G,Investigation complete; no suspect identified
