Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8df4ff45c70b2b38ef69ba37ada6556f472ea5650f3651e3214d9d4acbcf8d10,2013-01,Thames Valley Police,Thames Valley Police,-0.746272,51.639709,On or near DUNWOOD RISE,E01017921,Wycombe 008B,Investigation complete; no suspect identified
33f5c896265745540b00d0152a6282da933d9b6b76b8a0f6eea3ba608ffd6fec,2013-01,Thames Valley Police,Thames Valley Police,-0.590551,51.510734,On or near Supermarket,E01016456,Slough 007A,Investigation complete; no suspect identified
94bddd867f99fd5331f8ef5f09e97c5c417d934157c1eb221560491381da00a9,2013-01,Thames Valley Police,Thames Valley Police,-0.717020,51.996392,On or near Petrol Station,E01033497,Milton Keynes 023E,Suspect charged
f5a50fe81c04a4fc06b964cb4db99984805fe89ab06dac467ee1144c6e9c210c,2013-01,Thames Valley Police,Thames Valley Police,-1.337445,52.068784,On or near MARLEY WAY,E01028438,Cherwell 004D,Offender given penalty notice
c37b68c64b716f5f3bf9e9c90cf24626a32d336a3ac919cbb2c38f42199c1f3e,2013-01,Thames Valley Police,Thames Valley Police,-0.586331,51.507428,On or near HIGH STREET,E01016511,Slough 011A,Investigation complete; no suspect identified
d5e1047d29c38238a1b22b8c1e3f3ba1c9b9ce566e1873f2c89e7ed04294d0d7,2013-01,Thames Valley Police,Thames Valley Police,-0.822904,51.799833,On or near BLACKWATER DRIVE,E01017724,Aylesbury Vale 020D,Investigation complete; no suspect identified
4ff9fe90be8db32d57eb3d1f97642574a9e1c1c8da5054da4c329653ff69e877,2013-01,Thames Valley Police,Thames Valley Police,-0.513203,51.479503,On or near DICKENS PLACE,E01016482,Slough 014D,Investigation complete; no suspect identified
93465ed5dfadcad78ad3fcf9fc9e9fefdc30e7f0b415693fed9ea24097c5ddfb,2013-01,Thames Valley Police,Thames Valley Police,-1.256963,51.752189,On or near Nightclub,E01028521,Oxford 008A,Investigation complete; no suspect identified
1f60a52476f41a341fa9ec4fa1582b9656b4422ddc8299b31a0d073e79cbc47f,2013-01,Thames Valley Police,Thames Valley Police,-1.192877,51.722769,On or near ERICA CLOSE,E01028518,Oxford 017B,Investigation complete; no suspect identified
1d84faf2f6c6179d32ce6c6e52d56d341cdad7e417ab18ca5a96a9775c8b4b9d,2013-01,Thames Valley Police,Thames Valley Police,-0.757612,52.042808,On or near CENTRAL MILTON KEYNES SHOPPING CENTRE,E01033499,Milton Keynes 014E,Investigation complete; no suspect identified
5fce079166da65f3264e9d24d93abd29c8893654c7ea4221a6e67305a2bd700b,2013-01,Thames Valley Police,Thames Valley Police,-1.336679,51.595884,On or near HIGH STREET,E01028730,Vale of White Horse 015E,Investigation complete; no suspect identified
8a7b1c304d12b893aafb25a19f331c5a8e5810cde5596e2fa4cdb4d97373e3e2,2013-01,Thames Valley Police,Thames Valley Police,-1.141006,51.598068,On or near HITHERCROFT ROAD,E01028617,South Oxfordshire 012B,Investigation complete; no suspect identified
4e2219fcd47fc7894f1a7dfaaaa258513d01a0f6e18b23c2c33395d168dd1f16,2013-01,Thames Valley Police,Thames Valley Police,-0.869301,51.377443,On or near WIMBUSHES,E01016641,Wokingham 018C,Investigation complete; no suspect identified
90242bef60d36ff4923d3220f10c270d7559d96537a10e9315a4af6e48964065,2013-01,Thames Valley Police,Thames Valley Police,-0.805083,52.003036,On or near STOKESAY COURT,E01033514,Milton Keynes 025E,Investigation complete; no suspect identified
019b2fcc0ae28e8e8f453aaada40f9891ca650162488eccc263354044bdd47b8,2013-01,Thames Valley Police,Thames Valley Police,-1.187904,51.763565,On or near GREEN RIDGES,E01028515,Oxford 007A,Investigation complete; no suspect identified
4933cc8cd4e4e4afdea57ce9bc867174dd821e76ed0fd8450ecdd855f073dee3,2013-01,Thames Valley Police,Thames Valley Police,-1.336664,52.053513,On or near Hospital,E01028427,Cherwell 007B,Investigation complete; no suspect identified
ea2131346b4ba9984f225c6f140cf0255b18db051f4feb50b6233e07bc964353,2013-01,Thames Valley Police,Thames Valley Police,-1.266706,51.752601,On or near Further/Higher Educational Building,E01028521,Oxford 008A,Offender given a caution
5a80cf6901b71bba6d3ad2330a7279ca268e16d9598430c7e3421dd88da69d09,2013-01,Thames Valley Police,Thames Valley Police,-0.606694,51.510181,On or near MONTEM LANE,E01032729,Slough 009F,Investigation complete; no suspect identified
c647f68b6e722d8a9d4ab47fd2a075a4c13a48d90f12404d17107ccf2b8c8ba3,2013-01,Thames Valley Police,Thames Valley Police,-0.919824,51.440117,On or near WOKINGHAM ROAD,E01016668,Wokingham 006E,Investigation complete; no suspect identified
0fec00079105cce16ad159bf29c1cecdb88caf3ef9564c4dcdb6bd90c0619bac,2013-01,Thames Valley Police,Thames Valley Police,-1.258836,51.751023,On or near Shopping Area,E01028521,Oxford 008A,Investigation complete; no suspect identified
ed9fe81b6dbdf4caad31fd2000e03745c20eca7a37fae8d9c71c8f9ae66350ee,2013-01,Thames Valley Police,Thames Valley Police,-0.610815,51.480313,On or near Nightclub,E01016545,Windsor and Maidenhead 012A,Investigation complete; no suspect identified
45792ccd8ed09cb408cec80ccd1b468047ab9852f4caca2652cda189a3cc94ba,2013-01,Thames Valley Police,Thames Valley Police,-1.319032,51.400908,On or near Police Station,E01016348,West Berkshire 019D,Suspect charged
466697744134e715fd82508e081de6465560539b6457c0f9075c366e70356b0d,2013-01,Thames Valley Police,Thames Valley Police,-1.263399,51.677970,On or near RAMSONS WAY,E01028689,Vale of White Horse 005B,Investigation complete; no suspect identified
2b218140eae682f290bd07f1af47b84a3a80bbaec710cbc7625f0d0edc1f4003,2013-01,Thames Valley Police,Thames Valley Police,-0.904852,51.789826,On or near A418,E01017676,Aylesbury Vale 022B,Investigation complete; no suspect identified
