Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
37d0f919e4afda6da0b1965bad00b4307e66615a146312d39f89640ce368bb4a,2013-03,Dorset Police,Dorset Police,-2.134291,50.703792,On or near Parking Area,E01020477,Purbeck 003B,Investigation complete; no suspect identified
714696ffd40d38c1c552a1eae6bcb232a02d28f3e35038d862651e54fc93c807,2013-03,Dorset Police,Dorset Police,-2.598861,50.666692,On or near BACK STREET,E01020512,West Dorset 012A,Investigation complete; no suspect identified
7c352f591744d5ec4e7a0ee914f97ada28a22d87e7eb2c5fabf45c4e4bdc510f,2013-03,Dorset Police,Dorset Police,-2.463281,50.632472,On or near Petrol Station,E01020579,Weymouth and Portland 003D,Investigation complete; no suspect identified
c8062a5f23f707650f1217034a2dacd9e6f1a7f87307daea9c952c984de0e000,2013-03,Dorset Police,Dorset Police,-2.658548,50.860730,On or near CURRY HOLE LANE,E01020530,West Dorset 003E,Investigation complete; no suspect identified
2e61b0d8f1dee7d57a7b7914f8b9f904c0bc00ea6eb06e3934d5a358a1853761,2013-03,Dorset Police,Dorset Police,-2.021302,50.765216,On or near Supermarket,E01020383,East Dorset 012B,Investigation complete; no suspect identified
0f3b5f98a2995ec5ffea2023c51c2b04381d9b760d0f853708f0a718c6519612,2013-03,Dorset Police,Dorset Police,-1.989844,50.802456,On or near SCHOOL LANE,E01020428,East Dorset 010C,Investigation complete; no suspect identified
61321be7431a3d9a7e12f943d337aed453ac8c8b10f70b32fabc00e83784bc40,2013-03,Dorset Police,Dorset Police,-2.340265,51.026329,On or near SHEPHERD'S HILL,E01020440,North Dorset 002A,Investigation complete; no suspect identified
fae861c75ba33b18b0e311be576a8de1771c923ddaba6930bdce39da58e2399b,2013-03,Dorset Police,Dorset Police,-2.198698,50.941696,On or near CHURCH LANE,E01020460,North Dorset 005D,Investigation complete; no suspect identified
a51cfd4c01a4be26b8a7affbf55e123810c07beaab519e6644b830c21de64f54,2013-03,Dorset Police,Dorset Police,-2.734686,50.807983,On or near EAST STREET,E01020496,West Dorset 003C,Investigation complete; no suspect identified
b2fa88d7d80228259c3f21a22519fcb2428dca750b5d560fb86698ece9fc0696,2013-03,Dorset Police,Dorset Police,-2.476224,50.590998,On or near MARLBOROUGH AVENUE,E01020586,Weymouth and Portland 007A,Investigation complete; no suspect identified
f62c0ad0c2fc5d00b7f90d19260d658d2c308394109b565d5d1c44ea8cc56bff,2013-03,Dorset Police,Dorset Police,-2.454666,50.713981,On or near WESSEX WAY,E01020528,West Dorset 009E,Investigation complete; no suspect identified
2535dd0eb4ad9bee748ff7bea26e0c4ffdf9f78efca80d0eb0dbad828d857ae7,2013-03,Dorset Police,Dorset Police,-1.940546,50.802729,On or near CANFORD BOTTOM,E01020408,East Dorset 009E,Investigation complete; no suspect identified
b9b60eeb90e7febef3fc36072ab51d4d0226fc5d9372011b14da9642b638da23,2013-03,Dorset Police,Dorset Police,-2.305283,50.925694,On or near MARKET CROSS,E01020459,North Dorset 004E,Investigation complete; no suspect identified
9715c0a4f67e84620cb8cb5820e459237d692e71b4612a773cd10c1bef29ca67,2013-03,Dorset Police,Dorset Police,-2.110525,50.695733,On or near DRAX AVENUE,E01020488,Purbeck 003F,Investigation complete; no suspect identified
54103bc564d425bd131c0e65caf0907fd625f46be83a46235c33334cd9542366,2013-03,Dorset Police,Dorset Police,-2.804569,50.731038,On or near WEST ROAD,E01020517,West Dorset 007B,Investigation complete; no suspect identified
2ddcc400547641b6a0456aace72546e89b35b5d811c0a7bb1fc6af7dd26837f8,2013-03,Dorset Police,Dorset Police,-2.466045,50.641715,On or near Sports/Recreation Area,E01020579,Weymouth and Portland 003D,Investigation complete; no suspect identified
9aea141a4d9ff62d3adebf723866e0cad1e9621c9eb29052b75184db5a805749,2013-03,Dorset Police,Dorset Police,-1.838026,50.829277,On or near Motorway Service Area,E01020406,East Dorset 004D,Investigation complete; no suspect identified
dfeb2e412c7596d40dd25488649cbf6357f8d3c79b34fcf4cf3fc754aa6ab889,2013-03,Dorset Police,Dorset Police,-2.184146,51.004972,On or near MAMPITTS ROAD,E01020455,North Dorset 003B,Investigation complete; no suspect identified
4de18fef715ba9120f685e292e071f518e9c677256d13cdd5b9b221acda4abe9,2013-03,Dorset Police,Dorset Police,-2.031251,50.610350,On or near B3069,E01020468,Purbeck 005C,Investigation complete; no suspect identified
642c048da98d270e27eafc310bbf8a4658e206dc42439b58e90d7111cdf82f36,2013-03,Dorset Police,Dorset Police,-2.081113,50.758193,On or near VINEYARD CLOSE,E01020469,Purbeck 001B,Investigation complete; no suspect identified
fcad7160aac86b8aa755326179f5e7e9f23af533eb0cee8110faab1e8c9941c3,2013-03,Dorset Police,Dorset Police,-2.379316,50.686238,On or near GLEBE WAY,E01020505,West Dorset 011A,Investigation complete; no suspect identified
d2a4575a61d222bb0193016729b72425ca7272bfdb2bb71457cee213bd5e629d,2013-03,Dorset Police,Dorset Police,-2.452767,50.615436,On or near MUSGRAVE PLACE,E01020555,Weymouth and Portland 004C,Investigation complete; no suspect identified
c89b1f2cea6b8cb271bab11017f0f48393c57495edf1f87781357f6179cae1ec,2013-03,Dorset Police,Dorset Police,-2.459662,50.626695,On or near Police Station,E01020561,Weymouth and Portland 002E,Investigation complete; no suspect identified
811960ba7700ba5b956347814109a29923521a9f55e48651a5963a736e723a79,2013-03,Dorset Police,Dorset Police,-2.465211,50.610234,On or near SEDGEFIELD CLOSE,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
4f61f26872d1eb0f116d386f18d6e50aa87e5e560c64b6a523cdc0fe69d86a9c,2013-03,Dorset Police,Dorset Police,-1.895694,50.794326,On or near GLENMOOR ROAD,E01020401,East Dorset 011D,Investigation complete; no suspect identified
b5ced2bde5ad90abfe4af55a67341a4baa8437d3f1fc13219602dcd8627f189e,2013-03,Dorset Police,Dorset Police,-1.863591,50.870531,On or near BURN CLOSE,E01020419,East Dorset 002D,Investigation complete; no suspect identified
a15cb2be69c60ac98f75e5f0819b86c9f4c93f84bc75622e3c637cad4ba741f2,2013-03,Dorset Police,Dorset Police,-2.155115,50.868663,On or near CASTLEMAN SMITH CLOSE,E01020436,North Dorset 007B,Investigation complete; no suspect identified
d0623c38d5b92e4503e390010d9dd3d3b475c4fc203333cafa30d6899c3183be,2013-03,Dorset Police,Dorset Police,-2.028547,50.741717,On or near TURBARY COURT,E01020472,Purbeck 002B,Investigation complete; no suspect identified
8535213baf79d059fb508f751d1a50d23d3e2fb7b9ed212dbd5c1c856fee180f,2013-03,Dorset Police,Dorset Police,-2.739364,50.813888,On or near NEWTOWN,E01020495,West Dorset 003B,Investigation complete; no suspect identified
6d61b169ff184903fadb742eba07032fbbd08d759c4ce615c1c1ba969bed03a6,2013-03,Dorset Police,Dorset Police,-2.454853,50.647011,On or near ROCKHAMPTON CLOSE,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
