Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4ff91a352056bfa73479ab3f08e26b3d129f4de702dc1bb67621d6b0b4fd94fd,2013-03,South Yorkshire Police,South Yorkshire Police,-1.336339,53.430179,On or near NEWTON STREET,E01007765,Rotherham 014B,Investigation complete; no suspect identified
337daf26af3eb2b3d6c69e3a66a1f90b3f6fbb7b8ab870d3c47da1e1a2f86157,2013-03,South Yorkshire Police,South Yorkshire Police,-1.355291,53.332395,On or near MEADOWCROFT GLADE,E01008020,Sheffield 065B,Investigation complete; no suspect identified
5815de33439e5527e4ea8238b1c6e000857065a72f7943108fdb01b4c83ba807,2013-03,South Yorkshire Police,South Yorkshire Police,-1.471182,53.564403,On or near CAWLEY PLACE,E01032550,Barnsley 010G,Investigation complete; no suspect identified
ace814fb1b9e1a83b5e44bddaebed683543b95f43e5284a2535b10fd2cab1d32,2013-03,South Yorkshire Police,South Yorkshire Police,-1.063628,53.506411,On or near STONECROSS GARDENS,E01007604,Doncaster 024D,Investigation complete; no suspect identified
ba7c0a2fe698d53e329fba623cdfc4132fc9217a62da237253a20422f3bff206,2013-03,South Yorkshire Police,South Yorkshire Police,-1.374363,53.506697,On or near BRAMPTON ROAD,E01007695,Rotherham 001C,Investigation complete; no suspect identified
c67de60608a538844f73cbb85ce91a73e16246da90e5e23dac5455d27d80c66c,2013-03,South Yorkshire Police,South Yorkshire Police,-1.186274,53.418078,On or near MORTIMER ROAD,E01007764,Rotherham 020F,Investigation complete; no suspect identified
5d99155944ad3701dc2182fe50abc10c1eee0b91daaa07b9f78e21170191dff2,2013-03,South Yorkshire Police,South Yorkshire Police,-1.489661,53.347058,On or near Shopping Area,E01007829,Sheffield 059B,Investigation complete; no suspect identified
8b7a1bde77b41da7afe7cfbd6094841777f2a2649575f54fdc177c50e7a2d174,2013-03,South Yorkshire Police,South Yorkshire Police,-1.405068,53.400563,On or near EUROPA DRIVE,E01007904,Sheffield 018B,Investigation complete; no suspect identified
ef36f1f216ef9c2c902a32e1bcf81872f5ace0ee5e00bd035144d9bb60261f07,2013-03,South Yorkshire Police,South Yorkshire Police,-1.444786,53.352198,On or near SPOTSWOOD DRIVE,E01007979,Sheffield 051D,Investigation complete; no suspect identified
1bdf7f925075c67c9b56f70b176b8785ad07ae33eb9d2cbfdd2047b57fe6d012,2013-03,South Yorkshire Police,South Yorkshire Police,-1.410668,53.584021,On or near GEORGE STREET,E01007342,Barnsley 003C,Investigation complete; no suspect identified
95d8734a4ec053dab11897a11164b9a783448884454a6557ea69b9f3fc422992,2013-03,South Yorkshire Police,South Yorkshire Police,-1.505844,53.555643,On or near WADE STREET,E01007446,Barnsley 012G,Investigation complete; no suspect identified
df5b3dc3135227d4e0c6f80c284d02586fabadf254d5d4b22cb7063f4fb423ba,2013-03,South Yorkshire Police,South Yorkshire Police,-1.509638,53.336688,On or near ABBEYDALE ROAD SOUTH,E01007932,Sheffield 055E,Investigation complete; no suspect identified
25b541bfc935fec9adf9e55ccb2e2e6ff3488262396b22c2ded92fb8f466bdc6,2013-03,South Yorkshire Police,South Yorkshire Police,-1.373994,53.533769,On or near Supermarket,E01007353,Barnsley 020F,Investigation complete; no suspect identified
e75bb25dfb9fd4c2b44b6c4e5cc4deb88e07b45db25f347143d9803329d150a2,2013-03,South Yorkshire Police,South Yorkshire Police,-1.460517,53.495962,On or near CROSS STREET,E01007396,Barnsley 028A,Investigation complete; no suspect identified
e3a57d3ee9451a46145a8406f4c101ae669a772b1396504aaaf3244c58ace1ae,2013-03,South Yorkshire Police,South Yorkshire Police,-1.110701,53.523750,On or near BRAEMAR ROAD,E01007644,Doncaster 019A,Investigation complete; no suspect identified
637e49579bd41ad74e050afc6246f9007eb5f2d780a2e9baf92ac05e7d97a5bf,2013-03,South Yorkshire Police,South Yorkshire Police,-1.502101,53.379120,On or near HOOLE ROAD,E01007867,Sheffield 030B,Investigation complete; no suspect identified
85c9ea0e332e622a66e315259c5ecada9cdf7dcf90786f6e65762d6fbb757c31,2013-03,South Yorkshire Police,South Yorkshire Police,-1.459595,53.394099,On or near BRESSINGHAM ROAD,E01007874,Sheffield 022A,Investigation complete; no suspect identified
42e4d9d2b38e8672a81457760ae3ce9fe52327fc56a864b09cef7da668524370,2013-03,South Yorkshire Police,South Yorkshire Police,-1.548712,53.362496,On or near WHITFIELD ROAD,E01007959,Sheffield 041E,Investigation complete; no suspect identified
599a47ef785e9688a56135e456242147845324bfc0fdfae7f17447ec8adfa28a,2013-03,South Yorkshire Police,South Yorkshire Police,-1.414695,53.523188,On or near SOUTH PLACE,E01007447,Barnsley 023A,Investigation complete; no suspect identified
8296386fbac7188b3c90301a151b1bde89daba7cde7c01fd39268a38a3dc17c6,2013-03,South Yorkshire Police,South Yorkshire Police,-1.479483,53.424272,On or near ADLINGTON ROAD,E01008122,Sheffield 012E,Investigation complete; no suspect identified
851010c9c7746330bb7b7b266a5f0e1b209c3b3a07d3b7f5563b2a243282ff1f,2013-03,South Yorkshire Police,South Yorkshire Police,-1.485848,53.557752,On or near WESTWOOD COURT,E01007336,Barnsley 013A,Investigation complete; no suspect identified
0e3fceed9341cbdd178525a5947971ea971a47977964228e90270b5fc155e1f7,2013-03,South Yorkshire Police,South Yorkshire Police,-1.147674,53.518348,On or near DENISON ROAD,E01007531,Doncaster 022C,Investigation complete; no suspect identified
e7d963e70d30ca40ce40fb7189c2b2f4ec4dc4775bbe07c6a3a7a6db2a8f6463,2013-03,South Yorkshire Police,South Yorkshire Police,-1.099213,53.541201,On or near GUILDFORD ROAD,E01007652,Doncaster 015D,Investigation complete; no suspect identified
