Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
69912f60c5c8b2a820dfcf26662c58d7b21a7d830776fcaf132bd0376fa2d336,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.742169,52.247033,On or near ORTTEWELL ROAD,E01030128,St Edmundsbury 005C,Investigation complete; no suspect identified
e9a3db377bdf57b5ef3404fb7d8579420a677f7b30713621d96561b64be61371,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.401304,52.256171,On or near WESTON WAY,E01029955,Forest Heath 006D,Investigation complete; no suspect identified
7f368c26150f3c8faedf81edc71f353a2943fcd6d0104c3fe5857ee56ca8faaf,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.183279,52.048009,On or near Supermarket,E01029995,Ipswich 014C,Investigation complete; no suspect identified
1281b505c91c454ed829953cf34c71350dc4a0401edb17af833fbd9a46c26879,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.191845,52.072177,On or near AYR ROAD,E01029998,Ipswich 004B,Investigation complete; no suspect identified
90cdf9f8585aa27b56ebf10e63ce23c71faebec6dbe72592384d9ed7072e0eff,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.135008,52.060681,On or near YARMOUTH ROAD,E01030023,Ipswich 006B,Investigation complete; no suspect identified
0013758a6249880337a36cb7df0d98fc899da8d1c87e5c4f144b62c12df491f6,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.712709,52.246132,On or near Parking Area,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
db2f77d813576316897dc48d6b1f07d458be65b2275b9169d7698b1532af0463,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.871190,52.389588,On or near Park/Open Space,E01030097,St Edmundsbury 001C,Investigation complete; no suspect identified
3725c5628d985b60e75ca8d1f7b9f28eb53ccd04f0fe1df208d78e18d6161dd8,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.744538,52.251232,On or near LAMBOURNE CLOSE,E01030128,St Edmundsbury 005C,Investigation complete; no suspect identified
ac6f71b920b55b791a5fcb32ee2cce5aaacececf9e6bbe0f53274fd1df617059,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.331277,51.965762,On or near HOLBROOK CRESCENT,E01030168,Suffolk Coastal 014C,Investigation complete; no suspect identified
796d2b6a43e241abcdf6b490df220eb6d2d6a6bcf77720501bd93fe44fbe258f,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.756072,52.485496,On or near HIGH STREET,E01030247,Waveney 007A,Investigation complete; no suspect identified
