Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
30263db538cb0e6d95f297ff033eb50626be95d7e20f6464c88056df52cd6d48,2012-06,Warwickshire Police,Warwickshire Police,-1.511798,52.523376,On or near SPINNEY LANE,E01031081,Nuneaton and Bedworth 004A,Investigation complete; no suspect identified
38b222f3e4cebc5a23efcaadd778acbbf826f01f5f05dfad6d2f593c9d31e31c,2012-06,Warwickshire Police,Warwickshire Police,-1.294982,52.365315,On or near GRENVILLE CLOSE,E01031127,Rugby 007C,Investigation complete; no suspect identified
0705ea3594e9d3d021115b9971cfe5b3ee1a024bbbc82554c12df556e9218bd6,2012-06,Warwickshire Police,Warwickshire Police,-1.247898,52.385199,On or near HOWKINS ROAD,E01031141,Rugby 002E,Investigation complete; no suspect identified
6495906d10a197cc09d5850c4dac9b8387e769a79e7c91096023607ed2ffe8d7,2012-06,Warwickshire Police,Warwickshire Police,-1.287066,52.339744,On or near WARING WAY,E01031148,Rugby 012B,Investigation complete; no suspect identified
57623a0f885419b7fcb2cdb85fa9db763b8ca701e1186b64bb8bf7a07fd247ca,2012-06,Warwickshire Police,Warwickshire Police,-1.286030,52.374035,On or near A4071,E01031168,Rugby 006B,Investigation complete; no suspect identified
a80d9c27afc9c8860450a35cefbdec1375080ef9ff28e1f43d72dc9181074c86,2012-06,Warwickshire Police,Warwickshire Police,-1.273524,52.374373,On or near BOND STREET,E01031170,Rugby 006D,Investigation complete; no suspect identified
4bc7507db857a290ac310a22833581f86736a92c15ffb730aece68fb9e49fa97,2012-06,Warwickshire Police,Warwickshire Police,-1.268528,52.375349,On or near ROUNDS GARDENS,E01031173,Rugby 003C,Investigation complete; no suspect identified
4e69695d88c43b26ad5a1ae5633647ffa055e0f958d3ae1db45ae1f4884038e9,2012-06,Warwickshire Police,Warwickshire Police,-1.242545,52.356270,On or near PERCIVAL ROAD,E01031179,Rugby 010D,Investigation complete; no suspect identified
02b399bd95a41835e9dc6588e01af9dfcee27be44bcd00eefc4284aed602b751,2012-06,Warwickshire Police,Warwickshire Police,-1.432883,52.363162,On or near CEDAR AVENUE,E01031181,Rugby 004E,Investigation complete; no suspect identified
203ea752b3c8478503be3e744e9414807ede116ce0f84425d1eeb81c4afe8f5d,2012-06,Warwickshire Police,Warwickshire Police,-1.579110,52.319379,On or near QUARRY CLOSE,E01031284,Warwick 004D,Investigation complete; no suspect identified
535997426d67bc586f7420833b70ae07dbe918e8288562293675b711e0407939,2012-06,Warwickshire Police,Warwickshire Police,-1.542177,52.576978,On or near NORTH STREET,E01031010,North Warwickshire 003B,Investigation complete; no suspect identified
83ab412110d49651911e9ce84c6b00f0ae97b8f4b54a56c6241a4b650d8da288,2012-06,Warwickshire Police,Warwickshire Police,-1.465132,52.523579,On or near BOND GATE,E01031043,Nuneaton and Bedworth 005A,Investigation complete; no suspect identified
ad2d5662d0ee1f45761b7f7b52deaa07d46fd8532d64653e6bb6ec85b748c432,2012-06,Warwickshire Police,Warwickshire Police,-1.498567,52.516542,On or near CAMBRIDGE DRIVE,E01031061,Nuneaton and Bedworth 006E,Investigation complete; no suspect identified
a7810b426d301cca0e4356f44f252103e93d2d711ed5c55b6df8bf7e4d8e56d1,2012-06,Warwickshire Police,Warwickshire Police,-1.506896,52.532076,On or near HORNBEAM CLOSE,E01031074,Nuneaton and Bedworth 002D,Investigation complete; no suspect identified
3c4a6455a076ab838d338c3c023928a303db18dc850f87fd2797b4ad580057db,2012-06,Warwickshire Police,Warwickshire Police,-1.485012,52.468378,On or near HAYES LANE,E01031080,Nuneaton and Bedworth 018D,Investigation complete; no suspect identified
4ff641af2e70896947c5eddc77c7d57a2ce48f02fa7ab703ec570e2f5c04fe0f,2012-06,Warwickshire Police,Warwickshire Police,-1.471659,52.507822,On or near GILFIL ROAD,E01031116,Nuneaton and Bedworth 009B,Investigation complete; no suspect identified
27d95be7eb53df2f65ce0eb9fe3a76fda3434f514bcd2589b49e1f95c8b261eb,2012-06,Warwickshire Police,Warwickshire Police,-1.298119,52.331395,On or near TOFT HILL,E01031148,Rugby 012B,Investigation complete; no suspect identified
f280d7a182e6d36f087d3d448260187194301aa8378ac27aeb818f7f9e0e0a0c,2012-06,Warwickshire Police,Warwickshire Police,-1.236442,52.302234,On or near MAGDALEN ROAD,E01031166,Rugby 012E,Investigation complete; no suspect identified
822a06de4e34296f69e883072c665bf6c05097752858860cb3938a36c15517cb,2012-06,Warwickshire Police,Warwickshire Police,-1.520224,52.296031,On or near MARSTON CLOSE,E01031276,Warwick 006D,Investigation complete; no suspect identified
d9f9a590abaf97ab4ecbcc8028325a1fe28adf724631f3b43eaed7946cfa1d01,2012-06,Warwickshire Police,Warwickshire Police,-1.554740,52.291725,On or near WINSLOW CLOSE,E01031293,Warwick 009D,Investigation complete; no suspect identified
18c69b99b87c8bab7e9ad97a632133852d51be87d0de6ca15efe76d27449b3b8,2012-06,Warwickshire Police,Warwickshire Police,-1.600930,52.291117,On or near HARRIS ROAD,E01031312,Warwick 008D,Investigation complete; no suspect identified
95030ca7433ba3e869aa5ffb01d3d282f81a972d76779e44ee1558f14358354c,2012-06,Warwickshire Police,Warwickshire Police,-1.590799,52.278370,On or near CASTLE CLOSE,E01031317,Warwick 012C,Investigation complete; no suspect identified
3e20bc6562ff2f6ee325c0c07a394abe4356e2533f93c4b619ee85244b2b1b93,2012-06,Warwickshire Police,Warwickshire Police,-1.616786,52.600742,On or near BROWN'S LANE,E01031026,North Warwickshire 002C,Investigation complete; no suspect identified
5eb0d6ae7b2dca6e15262d57c3c2e90f1e664a8eb246c917098ce7d027021a02,2012-06,Warwickshire Police,Warwickshire Police,-1.460282,52.520123,On or near ANKER STREET,E01031043,Nuneaton and Bedworth 005A,Investigation complete; no suspect identified
0fb95889e2155e0db3c09935e54e9f033c36bffbaa908c8b6ae7a5e6e21ef959,2012-06,Warwickshire Police,Warwickshire Police,-1.458578,52.519665,On or near CAERNARFON DRIVE,E01031052,Nuneaton and Bedworth 010A,Investigation complete; no suspect identified
e2c54ce4b5639201eb348713517b3b6c78528f7ae4ea5a27428d929c086b12c1,2012-06,Warwickshire Police,Warwickshire Police,-1.483070,52.517266,On or near Sports/Recreation Area,E01031059,Nuneaton and Bedworth 006C,Investigation complete; no suspect identified
ae1b53714b36631dacc1ada6b4ecb5b3d142853239f0878887fc7199bdbb8377,2012-06,Warwickshire Police,Warwickshire Police,-1.263187,52.373194,On or near Shopping Area,E01031173,Rugby 003C,Investigation complete; no suspect identified
f3d11dd0505fd994045b131b644d786b5c269139f7e85aa01a51a0a8808d1392,2012-06,Warwickshire Police,Warwickshire Police,-1.433442,52.131868,On or near CAMP LANE,E01031194,Stratford-on-Avon 013A,Investigation complete; no suspect identified
5b241a4ac09df415ea75e69cef2c088c6aadc19a2bb522f3acafed1f7577af3d,2012-06,Warwickshire Police,Warwickshire Police,-1.711198,52.189703,On or near CHESTNUT WALK,E01031234,Stratford-on-Avon 011C,Investigation complete; no suspect identified
6e24d9e73c478f8d9dc372c3bac51c759dae0d96dbf7e915f7a6eae2ce8da037,2012-06,Warwickshire Police,Warwickshire Police,-1.612930,52.190995,On or near Airport/Airfield,E01031250,Stratford-on-Avon 008D,Investigation complete; no suspect identified
aeeb3be30929933a65556e055e24d1bc6df230eb99eaaa15b7c47920d423f7de,2012-06,Warwickshire Police,Warwickshire Police,-1.539339,52.249951,On or near SAVAGES CLOSE,E01031259,Warwick 014A,Investigation complete; no suspect identified
669a12a4591777b6d4aebefe264416b33cc1148552abe122561db6ec5a7338be,2012-06,Warwickshire Police,Warwickshire Police,-1.553140,52.287557,On or near EDMONDSCOTE ROAD,E01031293,Warwick 009D,Investigation complete; no suspect identified
b0204683794bcb9730cb1434b4652aa7616a2464cbdf7a206bce3f3c369199b7,2012-06,Warwickshire Police,Warwickshire Police,-1.576630,52.337872,On or near MOORLANDS AVENUE,E01031306,Warwick 003D,Investigation complete; no suspect identified
e952f3037f5d6229a712cc6fe57f2fc64b2a9b33a9d308ef3ecffc73a14e36bc,2012-06,Warwickshire Police,Warwickshire Police,-1.596680,52.287713,On or near ST CHRISTOPHER'S CLOSE,E01031322,Warwick 011B,Investigation complete; no suspect identified
3f6c31c1e8efaf7e0900ac1d553433c38aabacfb56e67c3cfa8728210112ae19,2012-06,Warwickshire Police,Warwickshire Police,-1.597831,52.579490,On or near NEWLANDS ROAD,E01031018,North Warwickshire 005D,Investigation complete; no suspect identified
