Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f0d109e2305cf938e614dd20cdb441c2ed14de9d29497f6fb90a99860bf7edff,2012-06,Sussex Police,Sussex Police,-0.216578,51.106188,On or near MOWBRAY DRIVE,E01031551,Crawley 012B,Investigation complete; no suspect identified
6a0d9f7b520349771f819b1dfa94cd2d6a84e503adb4728ef13c0687e53288dc,2012-06,Sussex Police,Sussex Police,-0.195024,51.124113,On or near HERON CLOSE,E01031573,Crawley 001A,Investigation complete; no suspect identified
86f711cd2c87ac4fa24cca10cdb14fd7e131b3c95da746db4d7e712b7b6dbbeb,2012-06,Sussex Police,Sussex Police,-0.192193,51.113530,On or near Supermarket,E01031608,Crawley 007E,Investigation complete; no suspect identified
b25aa78410522c6ea12ad42985dc6f095e0fee03b26988d4315fe4e29ec8d391,2012-06,Sussex Police,Sussex Police,-0.209940,51.103497,On or near ADMIRAL ROAD,E01031546,Crawley 012A,Investigation complete; no suspect identified
f6a41015699669e062a3224ec63b65aa4b06c3a1914ff9b3ba0b557b0ea50577,2012-06,Sussex Police,Sussex Police,-0.222467,51.105361,On or near COLWYN CLOSE,E01031548,Crawley 010B,Investigation complete; no suspect identified
88650233db70b5960575038f9fcc50048be716931429e8c9f5fa3dfa65e1f925,2012-06,Sussex Police,Sussex Police,-0.213106,51.102142,On or near GUNNING CLOSE,E01031549,Crawley 010C,Investigation complete; no suspect identified
70ec5a9f6aae435ca682c5f7d278556b0ded5666a3e41d76845ffa69c38198fd,2012-06,Sussex Police,Sussex Police,-0.215419,51.105865,On or near TUSSOCK CLOSE,E01031551,Crawley 012B,Investigation complete; no suspect identified
b6072e353f29b6682e1c8424abc94e767e8b6d72e8ffea54ae98a176cc9f2bb4,2012-06,Sussex Police,Sussex Police,-0.210224,51.104265,On or near BEWBUSH DRIVE,E01031566,Crawley 006C,Investigation complete; no suspect identified
c6e314af311a90837049481f79c11a9f2905502173649eb63aeb07726afc859a,2012-06,Sussex Police,Sussex Police,-0.198538,51.105057,On or near Supermarket,E01031596,Crawley 007A,Investigation complete; no suspect identified
e89751bf38bec25ccbae45a5021f5e16c39eb0cfd1ed5f064b863a295da3ef1c,2012-06,Sussex Police,Sussex Police,-0.202598,51.109382,On or near OLD HORSHAM ROAD,E01031598,Crawley 007C,Investigation complete; no suspect identified
