Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a19ceb2712964ffe9229a3cdb5a0624d754012e5bc9071da62a5911046db1c14,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.593900,52.320136,On or near CHURCH LANE,E01030219,Suffolk Coastal 001B,Investigation complete; no suspect identified
352d87b7fa870bb40ce96b7329d7eb0263fb15fce6d69fd67be94adb604c3ae3,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.730227,52.040633,On or near NORTH STREET,E01029920,Babergh 007H,Investigation complete; no suspect identified
47ece0e93893c9eb4a14178e4f136846db56346f90065ebd88847e1838774140,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.737683,52.239143,On or near Supermarket,E01030129,St Edmundsbury 005D,Investigation complete; no suspect identified
a048af62fca4c339a17c23ae9580c4cbb417ea9e6ca8e8d6f7e23c1b2a487565,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.704010,52.457204,On or near Supermarket,E01030238,Waveney 009D,Investigation complete; no suspect identified
727240be31c490278358adfa6facaec99f71040d1fe0b54de4b147a544246306,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.963286,52.041465,On or near STATION ROAD,E01029896,Babergh 004E,Investigation complete; no suspect identified
0d45a07533a93ebe3ada1e3e83aa6be148595ca50ec33bdaea6109191b8cf06b,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.432215,52.084466,On or near CROWLAND ROAD,E01030110,St Edmundsbury 012B,Investigation complete; no suspect identified
4006797c69fc59fa80b0820f35c6fbfb2cbc9d45e3d298a5ed7d4bea217630cf,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.084909,52.329034,On or near BROWNS ACRE,E01030055,Mid Suffolk 002C,Investigation complete; no suspect identified
1973fb2d79e597c74e3f7210dd8bfba55350d7de49f44e4db7ed59f218a1f7fc,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.435424,52.084696,On or near Parking Area,E01030110,St Edmundsbury 012B,Investigation complete; no suspect identified
71329502080b9cf0ab7248e9eccb719e3060863f76b438693cc55fc639705c64,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.145714,52.060620,On or near Supermarket,E01030024,Ipswich 006C,Investigation complete; no suspect identified
f02dfe1d8c6db3e6d29422867ba08f4cb7f805af7337832f09475270119030a1,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.408158,52.241760,On or near PARK LANE,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
77bfb66affa241670a2eca2fdf79872e43160c4e64b8614d7bdb34dc92d79ef1,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.097968,52.191297,On or near STOWMARKET ROAD,E01030083,Mid Suffolk 007C,Investigation complete; no suspect identified
b4e3dc85a15d5064f0b73061a3d0ef865d93a35c6e99ffd7b56bf97781f756f6,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.175925,52.057840,On or near SPRING ROAD,E01029958,Ipswich 007A,Investigation complete; no suspect identified
4ab9473d5172f55632e8ee267a2c71569b2808907ff499da96f741178b6cd6a8,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.138414,52.083849,On or near LIMECROFT CLOSE,E01030036,Ipswich 001E,Investigation complete; no suspect identified
628ee90e97020ae8a8d75a6945eccdab776c725e66dc2076cb9252764627e5c7,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.708992,52.263510,On or near Supermarket,E01030130,St Edmundsbury 003A,Investigation complete; no suspect identified
afa40c30429b10a0dc6f19bdcc9eb7a27c8caf8c28a89d837ff234041d04d853,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.491337,52.214346,On or near BELL CLOSE,E01030209,Suffolk Coastal 003C,Investigation complete; no suspect identified
2543b138b1c35beb6a3eb641391adf1e813ab8b5095969d6a74c82705be6738d,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.149318,52.035332,On or near BOSTOCK ROAD,E01029969,Ipswich 012B,Investigation complete; no suspect identified
0072b7e18fe2d8890f8d062a5e3577b0830ae215d036cce5e4300b6bd069ec21,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.359275,52.300579,On or near HOME MEADOW,E01030082,Mid Suffolk 003B,Investigation complete; no suspect identified
ff60fc272ab31edc19288d245a0ff2ca6d0d968b64eba14a00775d457317bdd6,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.143667,52.053705,On or near RUSSELL ROAD,E01029985,Ipswich 010B,Investigation complete; no suspect identified
27fdc51ae5bbd85ba8b0e3b4ccf2522f81547bba7f228b9ce8b50cab9ca50f80,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.192847,52.070280,On or near FIFE ROAD,E01029998,Ipswich 004B,Investigation complete; no suspect identified
57d9a21022c32623620b6c30e0fed161f36627fcd212bdd7121e11d74ddf8256,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.583820,52.423722,On or near Parking Area,E01029930,Forest Heath 001E,Investigation complete; no suspect identified
93e66f59fbd6224e38b7451a940cf30d59ca12d8dfa6444e2d5f5e305b1ab856,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.170199,52.056303,On or near GRANGE ROAD,E01029960,Ipswich 007C,Investigation complete; no suspect identified
4aef6b90c242b1e4d48f909bcd521104baad023c0e702a68863911f511982a44,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.916821,52.211440,On or near THE OAKS,E01030089,Mid Suffolk 006E,Investigation complete; no suspect identified
19d4515c63e33a953b6c44020c2289e048905ffe46dc70759eeb32a24ffb3afb,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.151735,52.039836,On or near WHERSTEAD ROAD,E01029969,Ipswich 012B,Investigation complete; no suspect identified
f3e5b1265abfb4bb721cb3fe96f3674766e237f59dc57ff990e0aea1eed51fb4,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.618494,52.444639,On or near Petrol Station,E01029929,Forest Heath 001D,Investigation complete; no suspect identified
e25ae71541b8b7765acea63d2741704e60372ec9833cc36f829b017592019294,2013-08,Suffolk Constabulary,Suffolk Constabulary,0.997674,52.187468,On or near FOX COURT,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
832d805d3626c8bc37fb4d3ab518d4df8a09fe2d563798320924207eb4fa9c69,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.342891,52.178688,On or near SCHOOL LANE,E01030154,Suffolk Coastal 002A,Investigation complete; no suspect identified
59ebf290d67b07962109ede8cb5cc118f827581d87b91252d45acaae803d30ea,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.737185,52.491950,On or near CASTLETON CLOSE,E01030279,Waveney 002D,Investigation complete; no suspect identified
beaae995271954166781ca8a4516786ad9505b8f655e315f17471ed1fcfe0278,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.142921,52.065732,On or near GRAHAM ROAD,E01030009,Ipswich 005C,Investigation complete; no suspect identified
8bc1adc5e8f7f4962d12b76760f6961890c16db43ef90d2528991606d292adf6,2013-08,Suffolk Constabulary,Suffolk Constabulary,1.121291,52.076137,On or near Sports/Recreation Area,E01030029,Ipswich 003C,Investigation complete; no suspect identified
