Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1c2188bf61628df25b9295a05f3f71ba05ba16e94d55bb533d3eaf362d479b59,2013-08,Northamptonshire Police,Northamptonshire Police,-0.894658,52.239904,On or near Pedestrian Subway,E01027153,Northampton 021C,Investigation complete; no suspect identified
7ac4191432e97352fcc3bd0990557d9220aa61b1fe3aa64b1a2f1aa9a51977d1,2013-08,Northamptonshire Police,Northamptonshire Police,-0.722463,52.402806,On or near CLUB STREET,E01027105,Kettering 006A,Investigation complete; no suspect identified
12f60ec24a59effacaa65fd80a619c726e52cf628924c88f8c5df2dd192e06a6,2013-08,Northamptonshire Police,Northamptonshire Police,-1.010829,52.209324,On or near ACE LANE,E01027283,South Northamptonshire 001B,Investigation complete; no suspect identified
a36486900e5e00a9b636009ecb576dad30b099a52c3081cb89713aaadbf9d7b2,2013-08,Northamptonshire Police,Northamptonshire Police,-0.989762,52.130881,On or near RICHMOND ROAD,E01027303,South Northamptonshire 004E,Investigation complete; no suspect identified
8ad305c2058b554e9e6b1614e23077f494951526d89c153fcaf2fb743467710e,2013-08,Northamptonshire Police,Northamptonshire Police,-0.893644,52.232388,On or near AUCTIONEERS COURT,E01027223,Northampton 025A,Investigation complete; no suspect identified
d697a9f879f80f89b7f696284cb099bfdfa0ae65ecd9576bea9f35c448bfc96d,2013-08,Northamptonshire Police,Northamptonshire Police,-1.216513,52.198227,On or near CHURCH STREET,E01027004,Daventry 010B,Investigation complete; no suspect identified
c6f5d4c06b2ea68e22ddc897ea3ccb668af79237c81a4a8abc3537f72d02476f,2013-08,Northamptonshire Police,Northamptonshire Police,-1.082427,52.228333,On or near WEST STREET,E01027024,Daventry 009C,Investigation complete; no suspect identified
e99095969b4610b05683b13da91bba2006ea23fcd70d275ae6e37d493ef53f8e,2013-08,Northamptonshire Police,Northamptonshire Police,-0.610803,52.326123,On or near CHURCH STREET,E01027041,East Northamptonshire 006D,Investigation complete; no suspect identified
9882021174a2786468d35a4154bb2953746c3e80d2747f3a0fe6b901e5b46458,2013-08,Northamptonshire Police,Northamptonshire Police,-1.075497,52.227856,On or near CHURCH STREET,E01027025,Daventry 009D,Investigation complete; no suspect identified
d1d98d8b43db445597b9adca5192bf53df0a166abbbf05367394781d16414090,2013-08,Northamptonshire Police,Northamptonshire Police,-1.081325,52.232775,On or near REGENCY CLOSE,E01027025,Daventry 009D,Investigation complete; no suspect identified
760af46496dbf1f69373eef335ba21b6e13ac911e4b194bcb95361b12a344d09,2013-08,Northamptonshire Police,Northamptonshire Police,-0.964507,52.252208,On or near AQUITAINE CLOSE,E01027212,Northampton 014D,Investigation complete; no suspect identified
64ef30d1c746b91eb882839dfa52b8075447d1cced5ee57ee7931f097ecc2104,2013-08,Northamptonshire Police,Northamptonshire Police,-0.719178,52.384249,On or near EDWARD CLOSE,E01027130,Kettering 009C,Investigation complete; no suspect identified
bae7f4a6eef01c261a8a1e39a3bcd8e351e352bd72d6a1e92068efc37ab8b1c0,2013-08,Northamptonshire Police,Northamptonshire Police,-0.913369,52.215560,On or near Petrol Station,E01027162,Northampton 030A,Investigation complete; no suspect identified
ed949b9cb4424dfc01b06502c87873087e82fac607bcf5cbd457c853a8b82bc1,2013-08,Northamptonshire Police,Northamptonshire Police,-0.884300,52.233621,On or near BROWN'S WAY,E01027224,Northampton 025B,Investigation complete; no suspect identified
1beec038be25e0575bb10aed41ce56f6e0a2e0d29d9491f4e5f331658e65e921,2013-08,Northamptonshire Police,Northamptonshire Police,-0.727856,52.401317,On or near Shopping Area,E01027110,Kettering 007B,Investigation complete; no suspect identified
5d49ccf235a67437049503c2056d32718325a86d6d9d3d87a57bbe571753dfd5,2013-08,Northamptonshire Police,Northamptonshire Police,-0.946339,52.245538,On or near PEVERIL ROAD,E01027217,Northampton 019D,Investigation complete; no suspect identified
