Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
aba65052928b930b25f5c48d7653743959947c8a4cd9a6905e1c8e65927ab6ea,2013-08,Lincolnshire Police,Lincolnshire Police,-0.578764,53.213898,On or near Supermarket,E01026161,Lincoln 010A,Investigation complete; no suspect identified
44513379ca0e8b7ea8664931d7701969ee7898b57d6b38c12553d790f01802b3,2013-08,Lincolnshire Police,Lincolnshire Police,-0.578764,53.213898,On or near Supermarket,E01026161,Lincoln 010A,Investigation complete; no suspect identified
a4e8d8ac6682853094609987969c32481ea4d4a89bcba8d3d730a69053da53ce,2013-08,Lincolnshire Police,Lincolnshire Police,-0.534843,53.232235,On or near TEMPLE GARDENS,E01026167,Lincoln 003G,Investigation complete; no suspect identified
4e98fd53536da52b10f3261cefe90304b73c2cea220dfab960c7b22d6591c2d8,2013-08,Lincolnshire Police,Lincolnshire Police,0.340638,53.142263,On or near Supermarket,E01026097,East Lindsey 015D,Investigation complete; no suspect identified
158c59d20b166591777bb52eb2b033e4f3c7b3ce6762997b2467ab5f99762fd0,2013-08,Lincolnshire Police,Lincolnshire Police,-0.546827,53.215922,On or near Supermarket,E01026134,Lincoln 006A,Investigation complete; no suspect identified
120d64a198694d8e799a0eb09bf8ed05982fe823c7b5447d454fa0d822169804,2013-08,Lincolnshire Police,Lincolnshire Police,-0.514561,53.240785,On or near Parking Area,E01026123,Lincoln 004B,Investigation complete; no suspect identified
0ada57a06a33a7b5bb1877f3960b60af2a0e19541a9661ed2aedba3a38d88158,2013-08,Lincolnshire Police,Lincolnshire Police,-0.546394,53.223414,On or near RIVERSIDE DRIVE,E01026132,Lincoln 005A,Investigation complete; no suspect identified
b4bfb4c55a4247fcb234a22ea95667c6b6b3ebf85048a34e25a55381a98dec54,2013-08,Lincolnshire Police,Lincolnshire Police,-0.554432,53.220923,On or near ST MATHEWS CLOSE,E01026133,Lincoln 008A,Investigation complete; no suspect identified
931b5972f2b46f57442ea41a4370dff631fddb09895bd2045ce02fb766e60a44,2013-08,Lincolnshire Police,Lincolnshire Police,-0.537043,53.227489,On or near Bus/Coach Station,E01026176,Lincoln 006B,Investigation complete; no suspect identified
17428a5f1209a8312208902e8b9b90495b1a17ce9de1133b8736a184ab96834b,2013-08,Lincolnshire Police,Lincolnshire Police,-0.412315,53.001135,On or near Supermarket,E01026235,North Kesteven 010E,Investigation complete; no suspect identified
93289921538d4cdd1cf86aae76fa998c14a04e4a10abb5b6645d09def07e2b94,2013-08,Lincolnshire Police,Lincolnshire Police,0.012100,52.801479,On or near STUKELEY ROAD,E01026250,South Holland 003A,Investigation complete; no suspect identified
afdaec55a147197a5a72a823add2148e7c36229132a888110e48e75052b74005,2013-08,Lincolnshire Police,Lincolnshire Police,-0.548566,53.247775,On or near BREEDON DRIVE,E01026149,Lincoln 001A,Investigation complete; no suspect identified
