Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a3acf200e267e58801fa60f449abe70beac986f5d737d810aef113e9bf4526a8,2012-11,Thames Valley Police,Thames Valley Police,-0.707616,51.497201,On or near BYLAND DRIVE,E01016541,Windsor and Maidenhead 009C,Investigation complete; no suspect identified
e3ce1678df06ac8e47e4357bd7134cc5fa1d5f4605f83c9740db434e15260521,2012-11,Thames Valley Police,Thames Valley Police,-0.705387,51.536210,On or near ASHLEY PARK,E01016586,Windsor and Maidenhead 004C,Investigation complete; no suspect identified
6d721cf484fa9432bec876aa9c127aa5df8d4a67f0fce06e59171041a093c494,2012-11,Thames Valley Police,Thames Valley Police,-0.739622,51.524507,On or near ALL SAINTS AVENUE,E01016526,Windsor and Maidenhead 006A,Investigation complete; no suspect identified
60144c9b1e135cd3b00843828c5de444d8d0b870ff0480ade4150d11bb6279f2,2012-11,Thames Valley Police,Thames Valley Police,-0.732396,51.553203,On or near LESTERS ROAD,E01016530,Windsor and Maidenhead 002A,Investigation complete; no suspect identified
65373f01982db68e6b1607bfb4bcee12938922ba1fb45eb8d6ac13fdddbf1dc0,2012-11,Thames Valley Police,Thames Valley Police,-0.736734,51.532487,On or near CAMDEN ROAD,E01016571,Windsor and Maidenhead 003A,Investigation complete; no suspect identified
1b80544c9014f7f81b8e0ee9774ca031b24533d63edf4f039390bbeb730b9d68,2012-11,Thames Valley Police,Thames Valley Police,-0.725702,51.518664,On or near BROCKTON COURT,E01016536,Windsor and Maidenhead 005D,Investigation complete; no suspect identified
0913ce68274dcc433a1a56e30a0cadde66f23460b2c4194555752499c07c259d,2012-11,Thames Valley Police,Thames Valley Police,-1.545467,51.835234,On or near CHAPEL CLOSE,E01028793,West Oxfordshire 007C,Investigation complete; no suspect identified
5d96b49a5b4df99a283457e2c8b18a01b22a0d4d31c27e3963776408905277bc,2012-11,Thames Valley Police,Thames Valley Police,-0.741557,51.521749,On or near PENYSTON ROAD,E01016527,Windsor and Maidenhead 006B,Investigation complete; no suspect identified
5a90bfcca4ed61a5d345ae6418db8ed6ffa183f1e5752638f02a8b585a98a3da,2012-11,Thames Valley Police,Thames Valley Police,-0.703329,51.526926,On or near LOCKBRIDGE COURT,E01016585,Windsor and Maidenhead 004B,Investigation complete; no suspect identified
9ce2efa83a364b1b7c6aa1bacfb0815345e774d82316b57d33d452a7b1473788,2012-11,Thames Valley Police,Thames Valley Police,-1.603301,51.757491,On or near EDGEWORTH DRIVE,E01028771,West Oxfordshire 014A,Investigation complete; no suspect identified
4bf803b3a70ef8845adb85b416f58502a9bfd5e86c4d9d1b967988d24676387c,2012-11,Thames Valley Police,Thames Valley Police,-0.676489,51.405935,On or near Pedestrian Subway,E01016609,Windsor and Maidenhead 017D,Investigation complete; no suspect identified
