Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a255a94f4723db5cc9fc355c54d6cf01fab0eeed456a96d5ffcfb48bbf3abe25,2012-11,Lincolnshire Police,Lincolnshire Police,0.119905,52.785593,On or near BULL LANE,E01026255,South Holland 008B,Investigation complete; no suspect identified
f1ff189bcb81d5b9c02fd99d873843ba15bc654e60b8c45028cd61cece3d67cf,2012-11,Lincolnshire Police,Lincolnshire Police,0.179722,52.769449,On or near LONGDON CLOSE,E01026279,South Holland 008F,Investigation complete; no suspect identified
9a4e74129cadcef30322016ac95dba7d09408f9640bee8a4381c220e38f21fe7,2012-11,Lincolnshire Police,Lincolnshire Police,-0.663901,52.902803,On or near Further/Higher Educational Building,E01026308,South Kesteven 005A,Investigation complete; no suspect identified
a14a921e5f4d42e191941f6bf0b05ac2eb8b5cde52a9084bc5b10bc7ed1f38a8,2012-11,Lincolnshire Police,Lincolnshire Police,-0.481007,52.651096,On or near CASTLE DYKE,E01026351,South Kesteven 016C,Investigation complete; no suspect identified
f309b773687f764e61a787f179a9b0ac798aa886411999029680755c046e8112,2012-11,Lincolnshire Police,Lincolnshire Police,-0.338280,53.385899,On or near Parking Area,E01026390,West Lindsey 003B,Investigation complete; no suspect identified
e9b3ca7db048f2caab10fc11219d1acd7bc57a3664aa36efdc31305c060c8dd2,2012-11,Lincolnshire Police,Lincolnshire Police,0.332505,53.212337,On or near CHERRY TREES,E01026048,East Lindsey 010A,Investigation complete; no suspect identified
9ee62dc76ba80a39addf4b6768ec101c4248d2b56506287475a45ca57e7b4f52,2012-11,Lincolnshire Police,Lincolnshire Police,-0.515024,53.245591,On or near COWPER DRIVE,E01026152,Lincoln 004E,Investigation complete; no suspect identified
adaca33f2a56fc40880e445833e2c0c509cf3eceadd3a16e2e4b4ea81ce58f0c,2012-11,Lincolnshire Police,Lincolnshire Police,-0.563865,53.201754,On or near CHANCERY CLOSE,E01026170,Lincoln 010B,Investigation complete; no suspect identified
f2d7f79bb4310238a5c487d276c4e4f7021ca55e423159acee2f7993b3bf088c,2012-11,Lincolnshire Police,Lincolnshire Police,-0.569292,53.208741,On or near ROMNEY CLOSE,E01026172,Lincoln 010C,Investigation complete; no suspect identified
f54d46e2f5ff5ca8d85b94a250a20101f6ec8d851b2931a3c82a0137f7f3bb86,2012-11,Lincolnshire Police,Lincolnshire Police,-0.539346,53.223642,On or near PORTLAND STREET,E01026176,Lincoln 006B,Investigation complete; no suspect identified
9d468c717527fc6ca60cc33917086bb8ced8ce9dbc285190fbae059399e95d25,2012-11,Lincolnshire Police,Lincolnshire Police,-0.730628,53.191745,On or near HIGH STREET,E01026199,North Kesteven 003D,Investigation complete; no suspect identified
ff9b62ec29d73504b97826c86eb20c2616dec5f3f768c2eb8b6e3b107c82f2dc,2012-11,Lincolnshire Police,Lincolnshire Police,-0.155829,52.779744,On or near WELLAND CLOSE,E01026266,South Holland 006B,Investigation complete; no suspect identified
2eeded5d828c75538b3c3590451a6cc007e2e94809bba9f4ecfb1605652a6355,2012-11,Lincolnshire Police,Lincolnshire Police,-0.122464,52.771902,On or near FULNEY DROVE,E01026268,South Holland 007A,Investigation complete; no suspect identified
9f8369a231900f5c102a9e4179f6bdc4820ecba51f8eb6bd7ad0cfa466416de4,2012-11,Lincolnshire Police,Lincolnshire Police,-0.642301,52.912196,On or near HIGH STREET,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
ddff84af32fdb9cb99cbbd9570ea751572f8f1298ac14d42524cdc21bdae26b1,2012-11,Lincolnshire Police,Lincolnshire Police,-0.632687,52.920914,On or near HARROWBY CLOSE,E01026327,South Kesteven 003C,Investigation complete; no suspect identified
cb7a1a57519275f328477af2d6ccf175878967ed2ce0281586835f2c8e376b8d,2012-11,Lincolnshire Police,Lincolnshire Police,-0.471988,52.652841,On or near BACK LANE,E01026351,South Kesteven 016C,Investigation complete; no suspect identified
fd60ddb7ad59c14641336e81472c364dc2fd93bdafe8dc14318b98ecbc15f6ff,2012-11,Lincolnshire Police,Lincolnshire Police,-0.749991,52.988370,On or near WOODS CLOSE,E01026355,South Kesteven 002C,Investigation complete; no suspect identified
9469caf124c6abea623be1bfd1e92e00942dc0e4d226bb0790870bd9c16d5921,2012-11,Lincolnshire Police,Lincolnshire Police,-0.610080,53.373318,On or near KEXBY ROAD,E01026399,West Lindsey 005C,Investigation complete; no suspect identified
08073ca2858bdf45214673cd78ed5798ab7067f1af916bb71dd0f5a95d0b27ae,2012-11,Lincolnshire Police,Lincolnshire Police,-0.034411,52.989653,On or near TUDOR DRIVE,E01026038,Boston 008D,Investigation complete; no suspect identified
3ec8343573259512a0a1401e9228a2878356e9208ff1dd7ce12605ac61c0a754,2012-11,Lincolnshire Police,Lincolnshire Police,-0.175035,53.162450,On or near OAKLANDS PARK,E01026082,East Lindsey 007B,Investigation complete; no suspect identified
e2bde4af1e6b5220eda0397f090026692998295b24d77377fc38dcff498c3893,2012-11,Lincolnshire Police,Lincolnshire Police,0.015957,53.368278,On or near HARRINGTON,E01026108,East Lindsey 003G,Investigation complete; no suspect identified
17d954542ca3f03778829ee363b0c597c5d17ecb6a25831a50aa6018f559c8b7,2012-11,Lincolnshire Police,Lincolnshire Police,-0.538756,53.228660,On or near Shopping Area,E01026122,Lincoln 004A,Investigation complete; no suspect identified
40811c534042d2c8015b6b682edc53eb0fc2869dc5fb68bb6051e92591ee3a94,2012-11,Lincolnshire Police,Lincolnshire Police,-0.551471,53.195922,On or near BROUGHTON GARDENS,E01026137,Lincoln 011A,Investigation complete; no suspect identified
851a58db606d96039edfad76f75abf8cfb09f2acb231a67425dd0fd5c11e5372,2012-11,Lincolnshire Police,Lincolnshire Police,-0.551067,53.249163,On or near HONINGTON CRESCENT,E01026149,Lincoln 001A,Investigation complete; no suspect identified
7e85471cb3b122b4d2b3f4d2c13c0b02a0cba6898eb2fa286fb99c55a083d337,2012-11,Lincolnshire Police,Lincolnshire Police,-0.537950,53.250990,On or near SCOPWICK PLACE,E01026166,Lincoln 001C,Investigation complete; no suspect identified
eb0e076c1e1ef3e5e1c04387a2817af6e70d1e933835765dddee6f9eb3030da6,2012-11,Lincolnshire Police,Lincolnshire Police,-0.542933,53.215497,On or near SOUTH PARK,E01026174,Lincoln 008D,Investigation complete; no suspect identified
8ca1d436d9539e92f7a009a4e1c73e5039dee726bcf0d3ba11f2681af658e73d,2012-11,Lincolnshire Police,Lincolnshire Police,-0.581468,53.191896,On or near BEVERLEY GROVE,E01026215,North Kesteven 014B,Investigation complete; no suspect identified
81d4462be2c98bf8156f2dd2cfeed3bf161c393333fb45f132df93391f087c3e,2012-11,Lincolnshire Police,Lincolnshire Police,-0.422318,53.000611,On or near WELBY CLOSE,E01026236,North Kesteven 011E,Investigation complete; no suspect identified
fa27738a917bcd3a0a55f9c4e25545588fddc4c8adad079094c0e889f22ef5cd,2012-11,Lincolnshire Police,Lincolnshire Police,-0.307017,52.680017,On or near PRIMROSES,E01026305,South Kesteven 014C,Investigation complete; no suspect identified
c3a00f698729d18e92dd4c8c674b53ae759eb9644a5e16d309c2005b970ddbb1,2012-11,Lincolnshire Police,Lincolnshire Police,-0.600448,53.024849,On or near Police Station,E01026329,South Kesteven 001C,Investigation complete; no suspect identified
78f69f885a2d02b461bd5be365767281df862d50582317d7ea61d6ed27ed3c8a,2012-11,Lincolnshire Police,Lincolnshire Police,-0.471732,52.654663,On or near ST PAUL'S STREET,E01026347,South Kesteven 015E,Investigation complete; no suspect identified
8620c74e339642c27526b1810d2028c31a9e2595b1106e325f7a67e75ca158e1,2012-11,Lincolnshire Police,Lincolnshire Police,0.090283,53.171179,On or near ANCASTER AVENUE,E01026101,East Lindsey 013F,Investigation complete; no suspect identified
6db49c70eac52081d6d488f955289c2d34f53d05f8f68e2a922a5edde56d70c8,2012-11,Lincolnshire Police,Lincolnshire Police,-0.548367,53.217765,On or near BELL STREET,E01026134,Lincoln 006A,Investigation complete; no suspect identified
bae227391b27735a66b683a98c23d0a3475cb459da8e219710219c15a3846758,2012-11,Lincolnshire Police,Lincolnshire Police,-0.519492,53.245098,On or near MACAULAY DRIVE,E01026152,Lincoln 004E,Investigation complete; no suspect identified
8059dc5c27aa5c2ab4460cf157814dde8d02b8638e1d9b20af7a11a8c36d215f,2012-11,Lincolnshire Police,Lincolnshire Police,-0.466810,53.194872,On or near CHARTRIDGE,E01026191,North Kesteven 005A,Investigation complete; no suspect identified
9dc437e40ef3a7ab89495e3935d599f2676da42f2dabadca6bf13c0d9ac59b7a,2012-11,Lincolnshire Police,Lincolnshire Police,-0.586210,53.184707,On or near GREEN LANE,E01026218,North Kesteven 014C,Investigation complete; no suspect identified
c7b0d7e1579d0da3df8a6966a29ec188ca6221c1a74c95816add45345bc24f98,2012-11,Lincolnshire Police,Lincolnshire Police,-0.035232,52.701852,On or near BARR'S LANE,E01026249,South Holland 010B,Investigation complete; no suspect identified
fd51021320af7a42229a265a753e51cfca0b71665190e19a4c37e4a1a567a9c7,2012-11,Lincolnshire Police,Lincolnshire Police,-0.146741,52.788089,On or near HIGH STREET,E01026272,South Holland 007E,Investigation complete; no suspect identified
