Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9953ffb0c1b87a31531b75895b9ce7995e113fe88fcb6062c83f620c7e71b0a8,2014-02,Lincolnshire Police,Lincolnshire Police,-0.430678,53.502367,On or near WEST STREET,E01026387,West Lindsey 001C,Investigation complete; no suspect identified
4526671b707fa1781dc703894906873dce0b214d121e65dd4df46f2de498661f,2014-02,Lincolnshire Police,Lincolnshire Police,-0.133715,52.795150,On or near ACKLAM AVENUE,E01026270,South Holland 007C,Investigation complete; no suspect identified
d2a5d6b882da94a936fe04a7457008ac6aab38228d2a4c85d5a858ca3c5ea2a6,2014-02,Lincolnshire Police,Lincolnshire Police,-0.157334,52.777816,On or near GROSVENOR COURT,E01026267,South Holland 009E,Investigation complete; no suspect identified
b657fcdc2f3c06270159a3025cababe7ebffc31f480054d482bd5ca4221bf9d7,2014-02,Lincolnshire Police,Lincolnshire Police,-0.541350,53.221518,On or near NELTHORPE STREET,E01026177,Lincoln 006C,Investigation complete; no suspect identified
01f7d07c2a36ea8672426ac9fa8c08ef15ef78a31a9015a7887ba509b3c0d1c6,2014-02,Lincolnshire Police,Lincolnshire Police,-0.515378,53.249236,On or near LUPIN ROAD,E01026157,Lincoln 002C,Investigation complete; no suspect identified
547d6a1bc39dc95b650f47ff9a9363c64ce1b86b2eb4d02ad1d59700eee3bcf8,2014-02,Lincolnshire Police,Lincolnshire Police,-0.736425,53.360941,On or near HEYNINGS CLOSE,E01026388,West Lindsey 007A,Investigation complete; no suspect identified
e669195f8fbcba3d399047d39c1961c28aaf963ccf75fe6f77670ddfeb3dac0c,2014-02,Lincolnshire Police,Lincolnshire Police,-0.645763,52.910401,On or near DYSART ROAD,E01026323,South Kesteven 004D,Investigation complete; no suspect identified
be15ec133ecb1e43247945fc843b0113a11bddc50798dc217917fa0bfca58c49,2014-02,Lincolnshire Police,Lincolnshire Police,-0.522335,53.230022,On or near OAKFIELD STREET,E01026124,Lincoln 004C,Investigation complete; no suspect identified
1f60648e704d62944ebaf473562779f584a7e369ff9fc50d5587ccdc1b23580d,2014-02,Lincolnshire Police,Lincolnshire Police,-0.514874,53.230028,On or near KENT STREET,E01026124,Lincoln 004C,Investigation complete; no suspect identified
4aec2530f9c184b633663aa6ef8c95feaba06530c924ea403afe336f3792dfa5,2014-02,Lincolnshire Police,Lincolnshire Police,-0.011611,52.955019,On or near SLIPPERY GOWT LANE,E01026040,Boston 008E,Investigation complete; no suspect identified
6da55e17a605a6971a3f9fa022db24ecc31f91fc0c681fb6460e3f89c99044a7,2014-02,Lincolnshire Police,Lincolnshire Police,-0.157137,52.784925,On or near HENRIETTA STREET,E01026266,South Holland 006B,Investigation complete; no suspect identified
8eea02ad70c7eaf52d6f7042c9547262bceec19fb3203a7d16166db8a16d25f0,2014-02,Lincolnshire Police,Lincolnshire Police,-0.552721,53.226341,On or near GREEN LANE,E01026133,Lincoln 008A,Investigation complete; no suspect identified
b28823cd40dd5d0e70863dcb4fc791c37be565824255c1230008c1b87451b817,2014-02,Lincolnshire Police,Lincolnshire Police,-0.541689,53.230512,On or near PARK STREET,E01026143,Lincoln 005B,Investigation complete; no suspect identified
d1c60c9fad9a35b7ca7e41a1ddb69cef762cef77f7b511b41f9803f520ce24e8,2014-02,Lincolnshire Police,Lincolnshire Police,0.017809,52.976505,On or near LEVERS CLOSE,E01026014,Boston 008B,Investigation complete; no suspect identified
ced1887088b9e203e4d13fd13af6fc0f6433b9006ff714acf70e7dfd4fe00b23,2014-02,Lincolnshire Police,Lincolnshire Police,-0.770313,53.390618,On or near STANLEY STREET,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
3f4bf226c584ccd60eb64eb1aa8a77d1bd8926240083d89337cdfbe063f1c4e5,2014-02,Lincolnshire Police,Lincolnshire Police,0.271851,53.332052,On or near Park/Open Space,E01026109,East Lindsey 006C,Investigation complete; no suspect identified
2058e8735747cee1497a2b0290ec0544fbd7fd3f43cd24fb18e1794c7b6cc09d,2014-02,Lincolnshire Police,Lincolnshire Police,-0.531028,53.233393,On or near UPPER LINDUM STREET,E01026122,Lincoln 004A,Investigation complete; no suspect identified
