Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e7c21a4f6dba41750dec9b92060f012d7b01f4c97f23b908ae73cdc17981b163,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.457679,54.553408,On or near PHEASANTS RISE,E01019256,Copeland 004A,Investigation complete; no suspect identified
d22b93f6b8e1eec62d1ee8b79684134067bcb6479caa652282c911d91770f27f,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.356185,54.332320,On or near FELL LANE,E01019259,Copeland 008A,Investigation complete; no suspect identified
ee2a2ca1fdcafe21e72248e1bbeb0e92a658dfaf907a381ea5a35860d1356113,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.588945,54.541553,On or near BACK GINNS,E01019292,Copeland 005B,Investigation complete; no suspect identified
472eea9f5057fa6e253906b24b9f57055296aa0c1bfb57fff506462699f21ee7,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.564714,54.531236,On or near CAMBRIDGE ROAD,E01019285,Copeland 003D,Investigation complete; no suspect identified
7a3228900dd69a217f9cc59aa30ead579515449dda4b374d054988bff0f2841b,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.557477,54.470652,On or near B5345,E01019275,Copeland 006E,Investigation complete; no suspect identified
868d4f1b14ef83fb51793dc4a462df2aec569e06844af0ed437b3a4336be44fa,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.580846,54.566744,On or near PARTON BROW,E01019270,Copeland 001C,Investigation complete; no suspect identified
291aed417d8b52339e24db3d4f8109725362942a0e4d383ea5bec0e82be56588,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.583840,54.550617,On or near HIGH STREET,E01019280,Copeland 002B,Investigation complete; no suspect identified
1618f38ce643828f86fd539f69fb40181218b3d545e8ddbc33502ce37226f091,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.497424,54.541741,On or near MILL STREET,E01019278,Copeland 004I,Investigation complete; no suspect identified
9eb0d13472a134bf7bf0e98d45e4c992479f1029133d94228e2123105d0bbde6,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.529150,54.487731,On or near STATION CLOSE,E01019274,Copeland 006D,Investigation complete; no suspect identified
ca8e78509cb1da4cc2e7f90c879b3ea956f09c0a79f8a1592f9f7937c7fee802,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.541128,54.598418,On or near Sports/Recreation Area,E01019269,Copeland 001B,Investigation complete; no suspect identified
3a13b9c4bff1f60a4ed9a6b74b13fe80323cd75107cacc09c69b08fab4389380,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.261524,54.252330,On or near RACE GROVE,E01019293,Copeland 008E,Investigation complete; no suspect identified
1eeaaaf11e1457cebea3295224d864907a3920fdf5bba24ef6f69fa2cf34efc2,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.506344,54.520374,On or near EHEN ROAD,E01019263,Copeland 004B,Investigation complete; no suspect identified
0754b3fe0ef7fa411c11d705d7d2fff468706c5838a2e5570c7ffe099671bce7,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.493301,54.532975,On or near A5086,E01019278,Copeland 004I,Investigation complete; no suspect identified
956dd889ff54fa3900d8bda3c0ab4fa67328cd2f55104d2b19d89f25bb1b3445,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.472794,54.402048,On or near LINGMELL WOOD,E01019303,Copeland 007E,Investigation complete; no suspect identified
36435f2450541a76fb57c202227858b05787f2aaa3ba8182e438ef5037be73d9,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.587025,54.551420,On or near BRANSTY ROW,E01019260,Copeland 002A,Investigation complete; no suspect identified
704a62c0adbcc8f12712e4cea4ce32d816ae0348695d900e285de074510ffbdc,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.572054,54.463650,On or near SEA LANE,E01019257,Copeland 007A,Investigation complete; no suspect identified
14f18aa064cdd7f623e67b6ba9ac21801d96b8a4bb902ec368f462a7d75019a7,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.527308,54.485552,On or near Petrol Station,E01019274,Copeland 006D,Investigation complete; no suspect identified
48b4a067d30a970fe4c391eb0e584e8c45a2e2a888753a497c38cff1bd3998d3,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.259100,54.207514,On or near DEVONSHIRE ROAD,E01019299,Copeland 008G,Investigation complete; no suspect identified
850bfca0c3af057185c45f516749e1b27b0b57afa6d0cd23897f869ce620b716,2014-02,Cumbria Constabulary,Cumbria Constabulary,-3.525938,54.490612,On or near RIVERSIDE DRIVE,E01019274,Copeland 006D,Investigation complete; no suspect identified
