Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
de8aee5ac56bd87fca3be70b8e1852fcab27d3e905a054109b05e0cf9f0df9fb,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.306229,52.636558,On or near ST JAMES CLOSE,E01026848,Norwich 015A,Investigation complete; no suspect identified
8c4cae71c9a778c9d582922bd5d3e373198610e462a2cb29512e6178060c2e87,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.544489,52.800183,On or near Petrol Station,E01026718,King's Lynn and West Norfolk 004D,Investigation complete; no suspect identified
bca991f813b9c41d0dbc593194fb73ec969c48200797222f12425d9a773973e1,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.503234,52.879226,On or near HALL ROAD,E01026702,King's Lynn and West Norfolk 003E,Investigation complete; no suspect identified
f09ad9a866cd2ae97fadb77ee80f44f0ebfac593d6f15c99557a5d1a0e0848e4,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.284956,52.631817,On or near GRAPES HILL,E01026822,Norwich 007A,Investigation complete; no suspect identified
a447e50361cf1148ce2917ba2499303fae915821f6eb6e189225c55311f5791c,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.732679,52.663693,On or near SOUTHFIELD,E01026445,Breckland 002C,Investigation complete; no suspect identified
2237920790f723b7517497d9f3ac6c4b3e3684d7729a37b8a670fdc51479cb93,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.655825,52.570851,On or near PADDOCK CLOSE,E01026614,Great Yarmouth 012B,Investigation complete; no suspect identified
4a91a916e58265a56d1d427c2063942eae9ea310d9e9656d5dfb467f7998820b,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.429346,52.870573,On or near GORDON TERRACE,E01026750,North Norfolk 007B,Investigation complete; no suspect identified
3607223c3daab322c4f4abf22d72237867330f6c56dcc8ce24cd6b7e68504b66,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.274688,52.558075,On or near IPSWICH ROAD,E01026919,South Norfolk 009D,Investigation complete; no suspect identified
e773b9b5b74887d19728d2f2d608b8ec4d2365793209cdcff8cb808985082b8a,2014-02,Norfolk Constabulary,Norfolk Constabulary,1.299757,52.628356,On or near Petrol Station,E01033440,Norwich 014C,Investigation complete; no suspect identified
3ecbe4bc17316f011cb134edd6f372383ff402cdd5db6734eb22dee7bcdb45ba,2014-02,Norfolk Constabulary,Norfolk Constabulary,0.176206,52.644759,On or near MAIN ROAD,E01026660,King's Lynn and West Norfolk 016B,Investigation complete; no suspect identified
