Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
75f83654a2406e9fdea19af8f76ce76df52a927b16b9dbffcf674c402ea437cf,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.761981,53.366865,On or near FRANCIS CLOSE,E01012380,Halton 006C,Investigation complete; no suspect identified
58bf8ff795881d5c796935e87d2c60d42bac9e40312b7c5561af3964229e01cf,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.212461,53.349442,On or near DAVENHAM ROAD,E01018595,Cheshire East 004E,Investigation complete; no suspect identified
e1bca33e49d01427531adb4a654b402f0652f5eed4971d3e0c882d5ce388016f,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.724649,53.363232,On or near Shopping Area,E01012441,Halton 007D,Investigation complete; no suspect identified
7dddf27c8ff2811b28742381f4d37230c7f4c7ead3f01b72ef7ac104ee41a2e1,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.756384,53.369049,On or near GRANGE DRIVE,E01012379,Halton 006B,Investigation complete; no suspect identified
642f99edfc2a9c22c6a289887f3312eebe004d1338e9ebd11d58585cc43c03da,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.628622,53.389530,On or near HURLEY CLOSE,E01012498,Warrington 016D,Investigation complete; no suspect identified
870458c5de51cfaed9ad3dc303f0b67d1de0fee17e209306e01af3d1135be49a,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.765847,53.378786,On or near Pedestrian Subway,E01012419,Halton 004C,Investigation complete; no suspect identified
173e2ffad1831914158ed5d404f48f60c75d5d4df909caf2f4dcf809233bb360,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.917528,53.173683,On or near WILLOW ROAD,E01018351,Cheshire West and Chester 044A,Investigation complete; no suspect identified
d8e83bd52dabc31469989c340645173fc4bfb79ed41acdca26a9630c8f04044b,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.439411,53.088836,On or near LONGFORD STREET,E01018447,Cheshire East 045C,Investigation complete; no suspect identified
aa6e86dfe6d771d663609a26088909c4a7d3ced8744ae2d289e2e3d341291059,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.888289,53.272596,On or near RUSKIN DRIVE,E01018552,Cheshire West and Chester 011D,Investigation complete; no suspect identified
bd3b07541f8e028492e0912cfbc960b6ef0e6906911e2f2f698704bf2a761ef9,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.600795,53.418689,On or near CAMERON COURT,E01012539,Warrington 006E,Investigation complete; no suspect identified
92fe5657881705b95bc170813b432112443d36935a9625cb072ea134d0edb3bd,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.528566,53.413430,On or near Supermarket,E01012459,Warrington 005A,Investigation complete; no suspect identified
2c15b3f6285b0a5ce35224ea7680250c17fd8a82241a750c577070db23d67e2a,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.451866,53.106183,On or near MOUNT PLEASANT,E01018461,Cheshire East 036C,Investigation complete; no suspect identified
3e550ed7f5851bc724bc000699946746896ea1dcf669b230eb6786f58ba6bc78,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.449081,53.098337,On or near CASTLE STREET,E01018467,Cheshire East 036E,Investigation complete; no suspect identified
975535dafd1e924e3ca18025a47f5cad99e4777919ad8dcc9c19ee497e379899,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.729558,53.342735,On or near POOL LANE,E01012430,Halton 012E,Investigation complete; no suspect identified
0aff432ea20e255b6a28663b2c8ffb1e5c708d2f8570c4e4fee384cedd294547,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.897515,53.280653,On or near NEWTON ROAD,E01018520,Cheshire West and Chester 007B,Investigation complete; no suspect identified
8c9c9150a48e0bc859a317df3cc95a9e78932ab4e5175c143f1d476eafcc324c,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.674010,53.141304,On or near TOWNFIELD LANE,E01018372,Cheshire West and Chester 046D,Investigation complete; no suspect identified
e0e149d83159a3780c957d0ec736460093b4f69032b9a4122c2f598b2734d063,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.492695,53.252775,On or near MARLOWE ROAD,E01018719,Cheshire West and Chester 021E,Investigation complete; no suspect identified
cb50fc8a583a12c0598be91490e0c14391f1099c69ab57a359282f5b0583c367,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.759762,53.373890,On or near BUDWORTH AVENUE,E01012378,Halton 006A,Investigation complete; no suspect identified
d3a052abdc460d0ba6eaf7088b0ea3e69bfb03e82ebf0e5270f0a70a02b2b25a,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.656808,53.323625,On or near WEYMOUTH CLOSE,E01012433,Halton 014B,Investigation complete; no suspect identified
23d70b8c0d035254b2d3eb442508d455f2ed86e423010512eafcf3eb54167813,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.724476,53.371620,On or near ROUTLEDGE STREET,E01012370,Halton 007B,Investigation complete; no suspect identified
28c5265fe8a7ac6f04f8a06b8e7e887da190d5d3a41d0b0a138ab41da4c80b8a,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.950844,53.281085,On or near STARBECK DRIVE,E01018531,Cheshire West and Chester 009D,Investigation complete; no suspect identified
9367d7bf2b3904285071904aa3f377ae7a5387770fb77fd31eabbf6e0689b3b0,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.650936,53.430884,On or near ARUNDELL CLOSE,E01012467,Warrington 003A,Investigation complete; no suspect identified
4728d3a59a6b37510752125deb9c8b3632a738947cef7640b9e8867330e80810,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.741256,53.343436,On or near SUFFOLK STREET,E01012430,Halton 012E,Investigation complete; no suspect identified
123844a1f02d5a0be0bcaa617bcef497cd220e10757e4c0f4085a83f65bee995,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.569138,53.415392,On or near MORVEN CLOSE,E01012533,Warrington 008C,Investigation complete; no suspect identified
0b5a88f7f92a1d3821cc6bd9f95100b893d38d3a208a96878feeb685ab82812d,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.122964,53.246404,On or near LONDON ROAD TERRACE,E01018639,Cheshire East 021C,Investigation complete; no suspect identified
8cd683d305e8ed70b1a04a8586fda1bee44aa4b0d15c4234b5e7cc8a6c0d5e3d,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.439443,53.111020,On or near THE HAVEN,E01018479,Cheshire East 035E,Investigation complete; no suspect identified
18913f17b6442e6523311f5eb39ca07eb37d8f784ea3697a8ca1f228ed607c2b,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.573050,53.404200,On or near NEWCOMBE AVENUE,E01012546,Warrington 008F,Investigation complete; no suspect identified
6ffb2e605862464b03f7eaaa1417f166f022769883faa24b6d35280cfacd11c3,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.883743,53.271740,On or near LUDLOW DRIVE,E01018550,Cheshire West and Chester 011B,Investigation complete; no suspect identified
933609ffd932e6c1c1dd6cd8a0ee46a0cc6c45acc1ff6d447e9885cf4aa4c876,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.437963,53.090333,On or near HERDMAN STREET,E01018486,Cheshire East 043A,Investigation complete; no suspect identified
583dffa66338d04b13975728a50a3915e8446280be3b77264d8d903d04a05ddb,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.441696,53.101951,On or near Petrol Station,E01018463,Cheshire East 035A,Investigation complete; no suspect identified
49db3796e7dd3cc05be394cfa588e0d121a8d1ae3836af78e793676e35a043d4,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.933114,53.267903,On or near SPINNEY DRIVE,E01018556,Cheshire West and Chester 013A,Investigation complete; no suspect identified
0c35aa748bb7971d63ce865ff5c0494b4f28774561406bbc5b5747c77ddcc113,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.724299,53.375360,On or near LIME AVENUE,E01012368,Halton 003A,Investigation complete; no suspect identified
3eafab19cd5f71b4fa6d1f61166a23c2024607cf526b949522f417ad51159a65,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.715000,53.372109,On or near CHRISTIE STREET,E01012412,Halton 003C,Investigation complete; no suspect identified
b4390f282dad8e6f1f4c5d9fadfa1f52230ccef28dd9b74888314f0a05c8ae24,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.897167,53.276215,On or near MCGARVA WAY,E01018521,Cheshire West and Chester 011A,Investigation complete; no suspect identified
a468b40e9e0d1a9dc602ca703fc6fd5a24f8214d6da6d91dab39fe1caf9def99,2014-02,Cheshire Constabulary,Cheshire Constabulary,-2.914112,53.209351,On or near WORDSWORTH SQUARE,E01018310,Cheshire West and Chester 029B,Investigation complete; no suspect identified
