Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
13536ba0d1e1897be54421eaf332f69ea4325817b20db1d1a505e6b502ef54e3,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.467135,51.736343,On or near Petrol Station,E01033023,Dacorum 018H,Offender given suspended prison sentence
89799028bdee5f7af1fff946c0adb5db3a52bbd3b820fb14f3b968103b785377,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279212,51.946831,On or near Shopping Area,E01023616,North Hertfordshire 012F,Court case unable to proceed
6bfb716d0d8902e3e04235145ed6ad5f4f304bab9119660f4c65011a4f7ebe92,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.025548,51.729887,On or near OAKLANDS GROVE,E01023342,Broxbourne 005C,Offender given community sentence
15f1cef074a142ac8bf5c73028f64fee0f26d6f2c28559adeeb6f4a9ba29763e,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.205363,51.904294,On or near Petrol Station,E01023758,Stevenage 008D,Offender fined
97a1a992455df0332c8c5bd36bff84f4c4301827869f9c76317c6454cdb128d5,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.436788,51.692881,On or near Pedestrian Subway,E01023831,Three Rivers 003C,Offender fined
97960e21a0b8638cba170b24ae809cd59446cf8a3bb667007228dd4001e272ce,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.283128,51.718170,On or near TYNEDALE,E01023704,St Albans 018A,Offender given suspended prison sentence
237cd8d56515c723235964fadcfa861d3e547087783b44c48f3f3f8a5e33b619,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.400387,51.652187,On or near FEARNLEY STREET,E01023901,Watford 010C,Offender given community sentence
ea8dcf783e85199a55694e839dcd8f2cdcb9456e897a48cebdaed112d5e54154,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.232845,51.763221,On or near Parking Area,E01023921,Welwyn Hatfield 012B,Offender sent to prison
2e804f9dc1d053ecdf811c6a143d62a2517750b56ce92145cdcff1e05827cce7,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.382766,51.626975,On or near ATTENBOROUGH CLOSE,E01023809,Three Rivers 010B,Offender sent to prison
31ba5f6ab3f74b4eef5c3bef9ad2ea3f45566e49d012c693deedc0547d92861f,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.393599,51.680222,On or near Petrol Station,E01023896,Watford 005B,Offender fined
1364a656332affefee3bac4aa21cbaeafeb17fd9b4d2658f64ed224638a3e7e7,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.204608,51.899535,On or near Police Station,E01023758,Stevenage 008D,Court case unable to proceed
93c4ad476d7f497146d18900085bac6b474e551002f39b41a5a5cf815a4dc4c1,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.238777,51.774254,On or near CAMPION ROAD,E01033310,Welwyn Hatfield 002E,Offender sent to prison
d0139fa5235459ffee941a6a0edc381a6fb75feba77342f63562550742a8ac2c,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.288935,51.639466,On or near EDGWAREBURY LANE,E01023566,Hertsmere 010D,Offender given community sentence
f5427533b3548d021a594d5aef5c42be6d701a1ac2c6cb2b5767c16f73dc3587,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.504557,51.653830,On or near DOG KENNEL LANE,E01023817,Three Rivers 005C,Defendant found not guilty
6a4c970cf54d6c035ae183b9e9cae7609909e07f63a6e9e5adca4b4dc6d48542,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.399741,51.654930,On or near PERCY ROAD,E01023861,Watford 009C,Offender sent to prison
7bbf91f30fdc0abba28e04a9381349c7034d62359396a4c8528d989ae216c495,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.205107,51.902680,On or near SWINGATE,E01023758,Stevenage 008D,Offender sent to prison
3ce09540d886a5992b948ca95858822bb4c3e414e2ec669965765151c4ff3946,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.228835,51.763107,On or near Supermarket,E01023920,Welwyn Hatfield 012A,Offender fined
07512a78aca34f420315d3d22a8966ce867cfb69c06ee08aa3685b2430fe8296,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.399741,51.654930,On or near PERCY ROAD,E01023861,Watford 009C,Court case unable to proceed
358ca4023a8e8afd98d57082833f4fa864fc862a9d7989c6524930854c8f45ee,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.279212,51.946831,On or near Shopping Area,E01023616,North Hertfordshire 012F,Court case unable to proceed
77b7d68172e5527bad47bcd9ea5409624e573bb90abee68f587c2706150cf96b,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.399741,51.654930,On or near PERCY ROAD,E01023861,Watford 009C,Offender given suspended prison sentence
eeb6812395d04171376f0605a4980b1f92dd1f2610d5259bcf02d23759ac234a,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,0.009351,51.788933,On or near MILL RACE,E01023504,East Hertfordshire 018E,Offender fined
1168d1aadae3f9a6974ac89a217e8c920353d6ae23be7be0d07e6f1ce1e7d2de,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.449158,51.742401,On or near KIMPS WAY,E01023358,Dacorum 020B,Offender given community sentence
9a45ea9eded8a0595fcd987064792c8e5d1480334e8ed04959d94aecad9ee84a,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.192693,51.797941,On or near VERULAM CLOSE,E01023958,Welwyn Hatfield 007E,Defendant found not guilty
e805080daf83495d35fd72edef9f6448e8c0960aa764a7b00890ae8242e3068e,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.409552,51.648868,On or near KELMSCOTT CRESCENT,E01023863,Watford 011A,Offender fined
7b4635b11df393a2679fe9ff6c134b18f52597973d46b28327c933b3ffd0cbb8,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.384111,51.646452,On or near Parking Area,E01023884,Watford 012C,Defendant found not guilty
a8a0e1f0c30ab9ae4c78dbb83d1e47540dbc144f40171667daeac2aca9a96606,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.463740,51.734833,On or near Shopping Area,E01033023,Dacorum 018H,Offender fined
a45d09646e600e08d1edfb02daba5ba770e007647adf172371bec508e3979287,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.237817,51.765040,On or near GOLDSMITH WAY,E01033308,Welwyn Hatfield 010E,Offender given conditional discharge
f0a3a0b37aa268c0b36e81ca5b0b672a398feece7fafdf720a819772cfa64d1f,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.205363,51.904294,On or near Petrol Station,E01023758,Stevenage 008D,Offender given suspended prison sentence
8da67f8bef449dcebe5757fb7317b8957c3321c691a50e93c05bdf671488ff4d,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.188414,51.981175,On or near NIGHTINGALE WAY,E01023592,North Hertfordshire 004F,Offender given community sentence
304f7ea016ef5fe26f028347bef1b63e12ffffc29381d3978b6b6c79d943c213,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.007648,51.769088,On or near Supermarket,E01023329,Broxbourne 002C,Offender ordered to pay compensation
688d6cd034719665b37b59a66bf5e7959069f9fa3f6814bbec90c821317342bb,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.473757,51.760734,On or near Parking Area,E01023399,Dacorum 010C,Defendant found not guilty
9990f3c1d94537deb1359178e13704fcecc3a034ca2426a7c3007bbf5743ec91,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.180107,51.867731,On or near BELL CLOSE,E01023628,North Hertfordshire 015E,Offender given community sentence
32531a4ea8aecf109e256eaf8040a195e4536e92735e8721a9807c559eb10ebd,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.222134,51.772843,On or near WARREN GREEN,E01023929,Welwyn Hatfield 010A,Offender sent to prison
ab8bcd4e3a1d455e670a15282a17d34aa44632b4f99e789ddadf6a28f5e93307,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.213052,51.910534,On or near LARKINSON,E01023776,Stevenage 002A,Offender sent to prison
76a66afd79c3617ec37bdb565937a69ae1ae18bc902c161eebaae548c5d8631a,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.181495,51.882293,On or near BROADWATER CRESCENT,E01023783,Stevenage 011A,Offender sent to prison
96024c2aa73bffb9631ad88060dca502327597e347d44b39a3a508be534cbdfa,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.179316,51.918236,On or near Supermarket,E01023774,Stevenage 003D,Offender given conditional discharge
c01337107401ef03a15e71e9d58447f19f7d200bb2f1a00c4850c6dd4578250e,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.512314,51.662857,On or near CHENIES ROAD,E01023817,Three Rivers 005C,Offender given community sentence
d84d0a421ed7291a035de2e472c3dc1f3d49c12ec9e99e082269d88fdcef1116,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.013205,51.755415,On or near HIGH STREET,E01023321,Broxbourne 003B,Offender given suspended prison sentence
a1b323da879dd60dfa71b6c17822c375b2f2d2ba4366a3acec8f46a92ede625e,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.290133,51.668690,On or near ROSSINGTON AVENUE,E01023533,Hertsmere 007E,Offender given community sentence
b6e927835a8311eea3a7c7284e1aa745f23b5bd28850caf6b8605065833b1022,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033278,51.810956,On or near BURGAGE LANE,E01023514,East Hertfordshire 012C,Offender sent to prison
0fc3ea649412aee014f95a0239998cc2db26f25c62877cf57bdf4a9343151779,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.181598,51.692625,On or near MUTTON LANE,E01023573,Hertsmere 003C,Offender fined
0c4a0e20dc51680d53302428a775a074b576dd54fafaa1c4805f68a3a01bd571,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.233465,51.761064,On or near FEATHER DELL,E01023921,Welwyn Hatfield 012B,Offender sent to prison
16e4cd049e51ab6902227cdda51ab87ca1e0722e22d7431ac63d4ef806d7090d,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.010292,51.767632,On or near MIDDLEFIELD ROAD,E01023327,Broxbourne 002A,Offender given conditional discharge
8cb104992efb4de153dae3b0dd7daf9b91023a502bdd7ce29eeeb2c804aa4387,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.445075,51.749954,On or near Parking Area,E01023349,Dacorum 015A,Offender sent to prison
acc4fcede4b35abf0ea505a290819a5cee63464fa352a6c1e59d38ae6c85ccca,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.395158,51.655758,On or near Shopping Area,E01023860,Watford 009B,Offender sent to prison
635bd871b23534739c8723efac67ee4fb10fedfd7a91ae13faf88e4d1025ee09,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.398841,51.669377,On or near LOWESTOFT ROAD,E01023855,Watford 006A,Offender fined
e2043dd43e7598d0b9ff84e4b6c6bb2bee8d52973ac8ba0e3405c46b99f528bd,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.366641,51.645105,On or near COW LANE,E01023563,Hertsmere 012F,Offender given conditional discharge
4451eec04352af633910b63b9372847ed256b2aae88438f818287877d738a19b,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.208263,51.801029,On or near Supermarket,E01023918,Welwyn Hatfield 006C,Offender given community sentence
6ab10f567ab8ea8fea870bc54f0bf5367a37b0771ae24daa8f280a341e5aa73b,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.210672,51.793297,On or near Petrol Station,E01023917,Welwyn Hatfield 006B,Offender sent to prison
34eec51299d3feabfc4035da9878550129ea6610a882e186e8cd6f3e68fe7655,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.195190,51.791712,On or near Supermarket,E01023957,Welwyn Hatfield 007D,Offender fined
3d053aec46c6c284414bce39312f051dec2dbd2b25b9ff17ae1454d9255f43fb,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.175413,51.926268,On or near Pedestrian Subway,E01023801,Stevenage 002F,Offender given conditional discharge
390ac0675514f47f03e39a2490e1728f3db106bc14ff8997153aed21a8567ec5,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.530650,51.646669,On or near BULLSLAND GARDENS,E01023815,Three Rivers 005A,Defendant found not guilty
40214e0ebbf6aff5ef5c2f6d5b9d05b19fdd62826ac5fa6826851f187d7e2976,2014-02,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.179316,51.918236,On or near Supermarket,E01023774,Stevenage 003D,Offender sent to prison
