Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f9638e392ed78bd3a89bf45c93e80ad743e0d3b6ece420016ae8be793b962e96,2014-02,Kent Police,Kent Police,,,No location,,,Suspect charged
4b3999919ed24e2d70a9a640b6f53f38ba1c109939d085a611fee5bae6127d25,2014-02,Kent Police,Kent Police,1.419075,51.341550,On or near DUMPTON PARK ROAD,E01024668,Thanet 015C,Investigation complete; no suspect identified
51d6cb2218d5f05dae130fcbcdfbd9fb59f3c73e3a5bd1cbef97d2f369d5c74d,2014-02,Kent Police,Kent Police,1.392879,51.345056,On or near WEYBURN DRIVE,E01024683,Thanet 013B,Investigation complete; no suspect identified
ed0f9311af49fdae4592fceaed06b197969ac860e27fd7bdc5baea112dc11cf3,2014-02,Kent Police,Kent Police,1.338540,51.277636,On or near Parking Area,E01024244,Dover 002D,Investigation complete; no suspect identified
45125073b261a7edcac188fb8a35342b321391a9c6d11f68f239b70d7077c277,2014-02,Kent Police,Kent Police,1.406519,51.335503,On or near DUNDONALD ROAD,E01024647,Thanet 015B,Investigation complete; no suspect identified
15b6b22e25d576db48b4ad5e8c9a27b3634fc2f5c30e7ecf8e6ee81d1f8193fe,2014-02,Kent Police,Kent Police,1.124640,51.370325,On or near HANOVER STREET,E01024078,Canterbury 001A,Investigation complete; no suspect identified
a263ab0b7984c6ba7caabbbdbbeef99fe095aef771a5b0ad284f4488b250d741,2014-02,Kent Police,Kent Police,1.412443,51.337147,On or near JARDINES CLOSE,E01024648,Thanet 016B,Investigation complete; no suspect identified
cf574cfd8e9bad71a5ebb9deb4a86ca833d9a873dc7614585b15fa794e484a8e,2014-02,Kent Police,Kent Police,1.096266,51.076053,On or near SENE PARK,E01024526,Shepway 008B,Investigation complete; no suspect identified
f4e7a8f7aec204c397a826927892b004e01e5a95d8c9a34ae5031851a67b72d4,2014-02,Kent Police,Kent Police,0.892804,51.133733,On or near SWALLOWFIELD,E01032824,Ashford 009J,Investigation complete; no suspect identified
2f1d47e200b4aaa7a1a88b93a5c670baaa2340cc7e8bfdd016a41f65dab09c72,2014-02,Kent Police,Kent Police,1.307754,51.245777,On or near HIGH STREET,E01024202,Dover 002A,Investigation complete; no suspect identified
4197bb91cff9fe43236ca85e0734a808f603a4f17ff69cb85178a4ac3c3b3ead,2014-02,Kent Police,Kent Police,0.870458,51.149377,On or near Shopping Area,E01024027,Ashford 005D,Investigation complete; no suspect identified
121646a3a75bf24df59f68463be1564fec418fcfd913a6b8fb425ba957031fb9,2014-02,Kent Police,Kent Police,0.877481,51.136765,On or near Parking Area,E01024001,Ashford 009A,Investigation complete; no suspect identified
0cc9f00803b4b9145b562286b80170f0db131e2d8200e61a378371cfe3f23023,2014-02,Kent Police,Kent Police,0.870458,51.149377,On or near Shopping Area,E01024027,Ashford 005D,Investigation complete; no suspect identified
8f0a58f563744dcfaecb5c2af597ae7649c86fe9590b37821fd708ecb9d7ff08,2014-02,Kent Police,Kent Police,1.306875,51.373972,On or near THE SQUARE,E01024639,Thanet 008D,Investigation complete; no suspect identified
834f6e4b98d0ad8f43c5f6e8ab1a21c02802b032d5f1d7c5e2814a7c460452dc,2014-02,Kent Police,Kent Police,1.318832,51.127708,On or near VICTORIA PARK,E01033209,Dover 012E,Investigation complete; no suspect identified
cef58d50ce0a4b6364d26474f448d2bc4d6227c16941ee7b33e32331d9ad3efb,2014-02,Kent Police,Kent Police,0.851003,51.132809,On or near LEAVELAND CLOSE,E01024020,Ashford 008C,Investigation complete; no suspect identified
a2ca2e5d364fba571e8e9b13c67b8b39ea7221fe692d60747ac0d9ac33a9084b,2014-02,Kent Police,Kent Police,1.400483,51.343774,On or near QUEENS AVENUE,E01024685,Thanet 013D,Investigation complete; no suspect identified
d4ee08537dfa2340e0427160e909e171707af68bd2045bc2a76855be76d0ecd5,2014-02,Kent Police,Kent Police,1.299567,51.137195,On or near SPRINGFIELD ROAD,E01024193,Dover 011A,Investigation complete; no suspect identified
8a59962cb997b7f7120f37448f3aae049601d2b8c1a94564bb31486b9b09c4bf,2014-02,Kent Police,Kent Police,1.142632,51.216655,On or near WHITELOCKS CLOSE,E01024043,Canterbury 018B,Investigation complete; no suspect identified
d597e0ab66f3f2773cc89153237f43de985ea95d2bb04845c62f6b937323ad69,2014-02,Kent Police,Kent Police,1.415225,51.383410,On or near WEST PARK AVENUE,E01024655,Thanet 002C,Investigation complete; no suspect identified
