Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cd6ffef76972b2e3a7155a6de5803a206ad766c7b90b41239d5b8f41cd566812,2014-02,Surrey Police,Surrey Police,-0.262201,51.326461,On or near DOWNS HILL ROAD,E01030381,Epsom and Ewell 008A,Investigation complete; no suspect identified
cc77c988118a731227e825e4f1d952b07ba073cd0ea7c8f30e26d22f953d2b91,2014-02,Surrey Police,Surrey Police,-0.261671,51.304421,On or near SPENCER CLOSE,E01030418,Epsom and Ewell 009E,Investigation complete; no suspect identified
461684ae756177cfcaa3501c78dee2dc749108d32415a167ed1db8dfd4b5252e,2014-02,Surrey Police,Surrey Police,-0.257697,51.332077,On or near ST MARTIN'S CLOSE,E01030412,Epsom and Ewell 008C,Investigation complete; no suspect identified
20715a4b2dd58996be883997e38d256b5cedce71098e333b00a6fc51a2d881c3,2014-02,Surrey Police,Surrey Police,-0.259488,51.331780,On or near GROVE ROAD,E01030412,Epsom and Ewell 008C,Investigation complete; no suspect identified
632dba275a56125b21721b5949bc7d5df8cef0b1ed2e9fe66f561be4a9c6cd30,2014-02,Surrey Police,Surrey Police,-0.257178,51.351818,On or near STATION AVENUE,E01030415,Epsom and Ewell 004C,Investigation complete; no suspect identified
4c74a0ab197c5395d07b094d211db4ed3340e2c1c8cca60986091153f1c81b48,2014-02,Surrey Police,Surrey Police,-0.259908,51.352533,On or near GREEN LANES,E01030413,Epsom and Ewell 004B,Investigation complete; no suspect identified
859f054bba50f43583be99852f0e0403778a865c22b489827e067cae1edc3d9f,2014-02,Surrey Police,Surrey Police,-0.267335,51.348290,On or near ORMONDE AVENUE,E01030383,Epsom and Ewell 005A,Investigation complete; no suspect identified
f727115e8d30954448378ae4b1f43c8c7a67045362d524fbb94801fa26d71183,2014-02,Surrey Police,Surrey Police,-0.264510,51.347430,On or near RUTLAND CLOSE,E01030383,Epsom and Ewell 005A,Investigation complete; no suspect identified
ccb4cd0f935deb7683c98353afa82cff821657922b9f0ad9487259d2368e0d84,2014-02,Surrey Police,Surrey Police,-0.252380,51.378265,On or near DENE CLOSE,E01030389,Epsom and Ewell 001D,Investigation complete; no suspect identified
1a82ea631d94284c46db21cba8c7359dddbdf55f94564497b63ebe287a643210,2014-02,Surrey Police,Surrey Police,-0.248957,51.363655,On or near STATION APPROACH,E01030378,Epsom and Ewell 003B,Investigation complete; no suspect identified
951474e0c44ded636ea590ba7de2cc52209431188f21d4de94714333530d5f2e,2014-02,Surrey Police,Surrey Police,-0.714688,51.252485,On or near ELM VIEW,E01030432,Guildford 010C,Investigation complete; no suspect identified
2a3cab43abbb3d989ee3e173e81e8d473ae9ff246d8ffd144726c7fe86511e1b,2014-02,Surrey Police,Surrey Police,-0.575894,51.234800,On or near Pedestrian Subway,E01030455,Guildford 013E,Investigation complete; no suspect identified
1c338bac39391ea372245c69360ce1fd0a1eacb54f147cde57c211761a15ad3b,2014-02,Surrey Police,Surrey Police,-0.577680,51.237268,On or near Nightclub,E01030452,Guildford 015A,Investigation complete; no suspect identified
dec7946e1af28b596123b8f552e222a3c5a5dc166e0c9237e5ea5b6e893264f6,2014-02,Surrey Police,Surrey Police,-0.535483,51.241648,On or near GROVE ROAD,E01030461,Guildford 011E,Investigation complete; no suspect identified
86b6e1cfe230b45a7b7c0a23656fdb8eb17ce3c0a9e9c5b67b5953d4e9cff1e3,2014-02,Surrey Police,Surrey Police,-0.723230,51.223425,On or near Sports/Recreation Area,E01030471,Guildford 017A,Investigation complete; no suspect identified
855b02f718aab058ca23350f04919650903d90f886d18bcc51e8cbfd94a42fe2,2014-02,Surrey Police,Surrey Police,-0.569740,51.239239,On or near Parking Area,E01030457,Guildford 013F,Investigation complete; no suspect identified
476437c56e7c24bcc4e3f45b6e151d48a4df0ea19c2e8ee11dc31934de6cf17b,2014-02,Surrey Police,Surrey Police,-0.559622,51.234790,On or near CLINE ROAD,E01030454,Guildford 016C,Investigation complete; no suspect identified
ea27f2c7ca8649a44d9682fbc2b9335af561c6781b62a03fec44d3007e823dbe,2014-02,Surrey Police,Surrey Police,-0.497468,51.220322,On or near ALBURY STREET,E01030490,Guildford 018A,Investigation complete; no suspect identified
964890eb27a97abc755d8fa1d19899bfeecd6970f9240d4ccf2e519445a993a0,2014-02,Surrey Police,Surrey Police,-0.581998,51.220280,On or near THE RIDGES,E01030478,Guildford 017C,Investigation complete; no suspect identified
d55d70c3b281a74030459c2a99e5fb343119f7b6646e1288d814adf7b6b0b2db,2014-02,Surrey Police,Surrey Police,-0.548011,51.213190,On or near HORNHATCH LANE,E01030479,Guildford 017D,Investigation complete; no suspect identified
9307f9e1184635ee58f502f8543e2bf647e1a78f487e4d4ec5e19c3bc230278a,2014-02,Surrey Police,Surrey Police,-0.541554,51.236769,On or near DOWNSIDE ROAD,E01030454,Guildford 016C,Investigation complete; no suspect identified
e4e81026b75e361eda398047fc17bead9d6e41749e8659b5f238e247adeeae8e,2014-02,Surrey Police,Surrey Police,-0.581805,51.207913,On or near JAMES ROAD,E01030478,Guildford 017C,Investigation complete; no suspect identified
420531753ec173311cae6222f3cfc4a1ec51e26578cbe6b0fa0cf0bfce07644a,2014-02,Surrey Police,Surrey Police,-0.447158,51.219602,On or near STATION ROAD,E01030491,Guildford 018B,Investigation complete; no suspect identified
