Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c439fe48c1814596f6564ebc85eea77a0c4b84cbc1036670b79adb4fba6feba1,2013-07,Dorset Police,Dorset Police,,,No location,,,Suspect charged
cb83656e3daf1f0349531bac3647a1189e70ad1d9f04b858e9311015089f1451,2013-07,Dorset Police,Dorset Police,-1.877929,50.876644,On or near MENDIP ROAD,E01020416,East Dorset 002A,Investigation complete; no suspect identified
1c3a9ba302525868e8851965f0c015bb8299a31d2940ecb4148b268e15faf875,2013-07,Dorset Police,Dorset Police,-2.379611,50.643836,On or near MILLS ROAD,E01020537,West Dorset 011B,Investigation complete; no suspect identified
e22d744da64779f39f01d7b5dfadeb36eb901b031237fd5fdbe7765d834a68c9,2013-07,Dorset Police,Dorset Police,-2.352992,50.632220,On or near FISHERS PLACE,E01020537,West Dorset 011B,Investigation complete; no suspect identified
aa7357e9a7b10b0e19778c7dbd9dd2aab62e4cb0a52851487c47d7bd9baa6710,2013-07,Dorset Police,Dorset Police,-2.121201,50.915131,On or near Sports/Recreation Area,E01020442,North Dorset 006A,Investigation complete; no suspect identified
48ae539e3e7c0773ac9d8176370fb56fb3288094684aa5e235897a5b787241a2,2013-07,Dorset Police,Dorset Police,-1.872055,50.878130,On or near HAINAULT DRIVE,E01020420,East Dorset 002E,Investigation complete; no suspect identified
39cf8dcada5b7c64cb68b071102ccdd72bdad3fc706b64c424df0c039218d85c,2013-07,Dorset Police,Dorset Police,-2.055142,50.735844,On or near ASHBROOK WALK,E01020474,Purbeck 002D,Investigation complete; no suspect identified
502979a6811466bb69ca81b28bf9abd54e13a02497f3c5cca222da101caa0870,2013-07,Dorset Police,Dorset Police,-1.872055,50.878130,On or near HAINAULT DRIVE,E01020420,East Dorset 002E,Investigation complete; no suspect identified
12a2dc22facbda34cdd82f20aad03cf83c57464ec1126651fa3c0bec4602143a,2013-07,Dorset Police,Dorset Police,-1.878539,50.877220,On or near CARTREF CLOSE,E01020416,East Dorset 002A,Investigation complete; no suspect identified
b24a318af3a23137dee64705d3f3fbd5052cebffce2b307f591180dd6f34f7cc,2013-07,Dorset Police,Dorset Police,-2.152650,50.775234,On or near Petrol Station,E01020432,North Dorset 008C,Investigation complete; no suspect identified
c4292f7eb654cb27237f2c7e15351541bc3941c3854784283ff89673af4579a1,2013-07,Dorset Police,Dorset Police,-2.152650,50.775234,On or near Petrol Station,E01020432,North Dorset 008C,Investigation complete; no suspect identified
5a294a433c9109b69147ca49cb94f0a467603cf290b015c20033af859327ac25,2013-07,Dorset Police,Dorset Police,-1.747232,50.733165,On or near DRAKE CLOSE,E01020354,Christchurch 007A,Investigation complete; no suspect identified
f0b9044bff12161df5362814c6cea836df9319267e823da301487afafbec3d39,2013-07,Dorset Police,Dorset Police,-1.950297,50.800683,On or near HAYES LANE,E01020407,East Dorset 009D,Investigation complete; no suspect identified
f5989bee028787ce31759c6f0e8f6630c03c059f89d5a523095ab7bcbb359048,2013-07,Dorset Police,Dorset Police,-2.454829,50.610859,On or near SCHOOL STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
da2967b1458839b91646fee5e9faebe78ba7835c44068801069605d8e85f1b7a,2013-07,Dorset Police,Dorset Police,-2.432608,50.715054,On or near SALISBURY STREET,E01032645,West Dorset 009I,Investigation complete; no suspect identified
ff08b370e7abc8bc63553f2c5159e2de75bf2005e804dc01bbb42871dc425680,2013-07,Dorset Police,Dorset Police,-1.872442,50.871809,On or near NEWTOWN LANE,E01020412,East Dorset 003B,Investigation complete; no suspect identified
6d2edfcf70b80e33a127ba333a21f5f414443201d473fdab6d932a0fed9aafa1,2013-07,Dorset Police,Dorset Police,-1.985815,50.799812,On or near Parking Area,E01020428,East Dorset 010C,Investigation complete; no suspect identified
23458f49f93ce23e8bc65c77a1a46094e895ffd8a1e67bb11af49b9a56774482,2013-07,Dorset Police,Dorset Police,-1.956744,50.609384,On or near Theatre/Concert Hall,E01020479,Purbeck 006B,Investigation complete; no suspect identified
a06452ca56399c5c5d1072695cd04ddd5db5e130ed07ec082fee863fa5ed25da,2013-07,Dorset Police,Dorset Police,-2.453458,50.604929,On or near Parking Area,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
6f7ee992b4a5bcfa0317afd52faa046d1f318061dd76c675bc75df76f92b4a5a,2013-07,Dorset Police,Dorset Police,-1.984153,50.805126,On or near RIVER CLOSE,E01020426,East Dorset 010A,Investigation complete; no suspect identified
