Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
54179b7fffe5e3dbd6b0bdc4e7bd2b92a6e7048ef8b865be07b274af1e87efaf,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.325371,53.704050,On or near NEW STREET,E01025397,Rossendale 002F,Investigation complete; no suspect identified
42889f6ebfaff7c48e13c4b543c4cc516c41b47909029b428477a45977c690d3,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.322570,53.710106,On or near HIGHER LANE,E01025396,Rossendale 002E,Investigation complete; no suspect identified
e43e098a33d728d9ed8ef7e518156f6f4eb823a6272c9ac83a5982fc8870971e,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.324466,53.704519,On or near DALE STREET,E01025397,Rossendale 002F,Investigation complete; no suspect identified
2400660a98bfe661acb73fed30279ab9eb184d114558e5e49bf5105a28afd195,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.324466,53.704519,On or near DALE STREET,E01025397,Rossendale 002F,Investigation complete; no suspect identified
73aa4a6825e1bc646608b5c76d7f0ee12ca172789f053e470c708799e93831af,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.325147,53.704437,On or near MANCHESTER ROAD,E01025397,Rossendale 002F,Investigation complete; no suspect identified
df1c3696a57cba82b6ba59e2d62fecd44f3120708fdf0d2dfdf496828c981870,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.325436,53.712453,On or near CROSS STREET NORTH,E01025396,Rossendale 002E,Investigation complete; no suspect identified
ed75a08d63fc4f271e5fb0dc9cac43522ccdc92e01a21433d1585992a53768e9,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.326231,53.705539,On or near Shopping Area,E01025397,Rossendale 002F,Investigation complete; no suspect identified
f21b8743241a879f7b4236551cd9e4f68653357b921652ff9383656887d1d224,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.321414,53.705552,On or near EAST GATE,E01025398,Rossendale 002G,Investigation complete; no suspect identified
65ef1a387a6d5f0d3bf635a10997b570fcf6fdecfe5d05d7ffbc6296e56f495a,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.329203,53.703976,On or near SOUTH SHORE STREET,E01025397,Rossendale 002F,Investigation complete; no suspect identified
aa541bc13645b2ea249d2996579b403fe73581b21e286be5e76b28b6738a37e4,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.318680,53.704598,On or near MAPLE AVENUE,E01025398,Rossendale 002G,Investigation complete; no suspect identified
dddea91f3e24b8e8eeb7d4b640dd4bbb1462d1f1a93385d68ef0fb4505e0f520,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.328998,53.726213,On or near ROUNDHILL VIEW,E01025395,Rossendale 002D,Investigation complete; no suspect identified
7b8ceda7bd2b1fadb931a664597409093c89db93d16e83cbf582f4160975db0e,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.328998,53.726213,On or near ROUNDHILL VIEW,E01025395,Rossendale 002D,Investigation complete; no suspect identified
bd75a8946959bb0a288320fcfb2d020af1bbc33889c97dae0417d0518d7e3c42,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.332509,53.725521,On or near WORSLEY STREET,E01025395,Rossendale 002D,Investigation complete; no suspect identified
9a0527b6c24e73b87b1b55da48dab8e031c6e5c9542fe083a9c7c0184eded9f3,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.330631,53.725751,On or near OAK AVENUE,E01025395,Rossendale 002D,Investigation complete; no suspect identified
483818cff3ed4fb8b6c41ce1f07e92a05f05256ed99adf50c3453858738a7c83,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.324681,53.720599,On or near SHAW STREET,E01025395,Rossendale 002D,Investigation complete; no suspect identified
a0f539113607143eb4fdd0d0f17b5ce8e1c9e4ec05a132718f67db533b3c8a7f,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.170885,53.661335,On or near ACRE STREET,E01025359,Rossendale 009A,Investigation complete; no suspect identified
f3b3ea0ef4a2485758f0710572307a946712e6188c82e900829093e9dd9da0c1,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.178889,53.660981,On or near HILLSIDE WAY,E01025359,Rossendale 009A,Investigation complete; no suspect identified
065552773bebf0f3addeb39d960ebbb13ef12ae80e4db6d00a2787324a20a23f,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.172822,53.661242,On or near THORNEYLEA,E01025376,Rossendale 009D,Investigation complete; no suspect identified
93fa34d1de766ada3aea81628e346f1990e173b3417e49a006f3f6ecf0cd65c0,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.170764,53.664984,On or near ETHEL STREET,E01025360,Rossendale 009B,Investigation complete; no suspect identified
47617aeac0bfd9a4b6f89c4aee2efacf4727219e0aa501990c2e6e026eb2a76b,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.166030,53.681017,On or near QUARRY STREET,E01025359,Rossendale 009A,Investigation complete; no suspect identified
d28d785703cd0370e9a316dbb607a385db11002fa2f9a3e2bb8bfa4c06b849ce,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.177416,53.663437,On or near TONG END,E01025360,Rossendale 009B,Investigation complete; no suspect identified
ad27ea7bb3eebe8a4b24c5ae0710f42594368da90c346dd14a6a0a73047d8ff9,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.176550,53.658936,On or near BAYTREE WALK,E01025376,Rossendale 009D,Investigation complete; no suspect identified
3a007e0cf33ec18efede73ee2d94324cbe104e3309461b9daf2147c76a6505f9,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.168156,53.667478,On or near GRANGE ROAD,E01025360,Rossendale 009B,Investigation complete; no suspect identified
