Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d5b1b4ab18c9621b266425f4391a229e52edc18c30ef5a2fe1512a30202457a1,2013-07,Essex Police,Essex Police,0.239557,52.022677,On or near GEORGE STREET,E01022076,Uttlesford 002B,Investigation complete; no suspect identified
ad469309433a665f7ee87d6e1263bdc4169cb19dc22fe1f4c7900f17cb5efe90,2013-07,Essex Police,Essex Police,0.553357,51.877908,On or near Conference/Exhibition Centre,E01033459,Braintree 009F,Investigation complete; no suspect identified
5b18fc39ac67d184f7b78523afde6739bc1680a2cc2ce7971e96cd1e0205ccdc,2013-07,Essex Police,Essex Police,0.520769,51.624304,On or near SWAN LANE,E01021593,Chelmsford 021A,Investigation complete; no suspect identified
7228ea0527f862125efae3d5d3a5fb963ead0b5315bd65549f43b87e0a320472,2013-07,Essex Police,Essex Police,0.105268,51.768352,On or near THE DOWNS,E01021849,Harlow 003A,Investigation complete; no suspect identified
6a893e3d99302f514c95a445a961a66a0de4a0df618b40686972216d343132a9,2013-07,Essex Police,Essex Police,0.453343,51.754163,On or near BOUNDERBY GROVE,E01021590,Chelmsford 002D,Investigation complete; no suspect identified
2df055bbab3dbc13b57b933c07647d36110f9602418e615ff8b1bb77bf5056f2,2013-07,Essex Police,Essex Police,0.865458,51.880655,On or near Supermarket,E01021693,Colchester 014E,Investigation complete; no suspect identified
c2cc1a862b90c74a07aee2ff39321e4a4097a4f47a6edc895ea1a3ab04be452c,2013-07,Essex Police,Essex Police,0.784211,51.538980,On or near THE DRAKES,E01015882,Southend-on-Sea 013G,Investigation complete; no suspect identified
d1d886c846de4b17fd23baff8e1a1a0724ec72100c7d16da8b400090c5a02125,2013-07,Essex Police,Essex Police,0.780212,51.530387,On or near WEST ROAD,E01015917,Southend-on-Sea 017D,Investigation complete; no suspect identified
cf2a39892e06fd304566ca3dc08b8b58a99750c1792883fb88c44df6b77aaada,2013-07,Essex Police,Essex Police,0.899875,51.890226,On or near Nightclub,E01021649,Colchester 007D,Investigation complete; no suspect identified
5e4ffed4d2d00c14220b1bb6b803f68fdfc927dcccfd4c23396cac8654b8d4e5,2013-07,Essex Police,Essex Police,0.725627,51.556329,On or near FOSSETTS WAY,E01015871,Southend-on-Sea 006C,Investigation complete; no suspect identified
08914eaee5cf9ddb64481cb1f6520ee671cf8a3cd191b881cbce44f2fa24344b,2013-07,Essex Police,Essex Police,0.371596,51.480817,On or near GIFFORDSIDE,E01015933,Thurrock 012A,Investigation complete; no suspect identified
0b6f07c3abc460b5bb992a85f357af97bf5a39309b4b5fd239ef18d600340699,2013-07,Essex Police,Essex Police,0.577155,51.871508,On or near KNIGHTS ROAD,E01021368,Braintree 011A,Investigation complete; no suspect identified
01b975ab7ff0a6f72bf0f0d460fa9e5bc9dbc4d24d87a97b5f6d612112ac0c05,2013-07,Essex Police,Essex Police,0.299539,51.705476,On or near Park/Open Space,E01021769,Epping Forest 003A,Investigation complete; no suspect identified
4d683341660148d650308ccd44010b3c958c2076c55f3ff03241ee1f51a2e3f2,2013-07,Essex Police,Essex Police,0.347290,51.598909,On or near Petrol Station,E01021445,Brentwood 009A,Investigation complete; no suspect identified
6b5317beb86eb5f042c1f6b6eb0e0748eb8eb7c5f5574f6d1b6b6a7c4242b6ba,2013-07,Essex Police,Essex Police,0.579937,51.518065,On or near BEVERLEY AVENUE,E01021502,Castle Point 011E,Investigation complete; no suspect identified
52a05a608260e555e6851021be0e14ff1be23059dbaf808df73eac83122bc996,2013-07,Essex Police,Essex Police,0.411168,51.603441,On or near BROOMHILLS CHASE,E01021254,Basildon 009A,Investigation complete; no suspect identified
b1c8bea405620f072c193aa5dfc1354c5fc4573b216f65f5f4d92c0a9ad83258,2013-07,Essex Police,Essex Police,0.722105,51.537227,On or near CROMER ROAD,E01015840,Southend-on-Sea 014B,Investigation complete; no suspect identified
4d9afd0ce608ed776338f011677c5e163f82bd22e4edfd415f25b115d23c7888,2013-07,Essex Police,Essex Police,0.708877,51.573805,On or near ROCHEFORT DRIVE,E01021956,Rochford 007E,Investigation complete; no suspect identified
