Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3569b92ecc02f30305119bd78b1ebbcaac5e38fbdac4d0b72eb98ec13ed3e28e,2013-07,Greater Manchester Police,Greater Manchester Police,-2.231125,53.442053,On or near MALLOWDALE AVENUE,E01005184,Manchester 032A,Investigation complete; no suspect identified
ff5696af346cb9163544340cd0acc0d9f049b04d1efd231176677f55f7e37d68,2013-07,Greater Manchester Police,Greater Manchester Police,-2.231611,53.415167,On or near Petrol Station,E01005176,Manchester 043E,Investigation complete; no suspect identified
b843f8fa0e8f492ba54bfcc74bb74c243d74ae649b55b2aec7a0c92317ba3d7c,2013-07,Greater Manchester Police,Greater Manchester Police,-2.223712,53.452404,On or near WHITECLIFF CLOSE,E01005288,Manchester 025E,Investigation complete; no suspect identified
2934dfd5507cca4ce3403fed7e0160ea6e4481e96c0ca40fa903f57ae727f82b,2013-07,Greater Manchester Police,Greater Manchester Police,-2.281643,53.443589,On or near VINCENT AVENUE,E01005150,Manchester 029A,Investigation complete; no suspect identified
8d8483403d3e696a643e7b89902fe58506cb9da42db2adc5fd3ef7626aead8fc,2013-07,Greater Manchester Police,Greater Manchester Police,-2.251494,53.467656,On or near THE SANCTUARY,E01005214,Manchester 019D,Investigation complete; no suspect identified
92039da28418c147b959cbad0ae5ba60869b0b49f4e7ba3e44abd8d79724ffd7,2013-07,Greater Manchester Police,Greater Manchester Police,-2.247888,53.461362,On or near Shopping Area,E01005208,Manchester 019A,Investigation complete; no suspect identified
fe3b0cd782f24038c09bc896a22b08dd0ec4de3d6243aef6718f6e0b0c0478c2,2013-07,Greater Manchester Police,Greater Manchester Police,-2.283812,53.389500,On or near WHITEHOUSE DRIVE,E01005074,Manchester 051C,Investigation complete; no suspect identified
007473060a74117b729c9d3d1d55cc116eb858af330b47e2a977168004b2d3c7,2013-07,Greater Manchester Police,Greater Manchester Police,-2.257226,53.463823,On or near BANKWELL STREET,E01005214,Manchester 019D,Investigation complete; no suspect identified
e8aff7a3f03ec4942f26aa95ec6a0987ef5a961660ba8ae33feb99b3687be9c5,2013-07,Greater Manchester Police,Greater Manchester Police,-2.273992,53.412713,On or near RAYMOND ROAD,E01005264,Manchester 044C,Investigation complete; no suspect identified
b8e5be4057ffd40b7fa4fcaf668ee5d69aae053e4bfe55f74a9f04baa70184a7,2013-07,Greater Manchester Police,Greater Manchester Police,-2.263853,53.390984,On or near BROADOAK DRIVE,E01005087,Manchester 050A,Investigation complete; no suspect identified
95d2a0be2850aec926b3f5773775c86ad073e833df7b39a4f116109f94775da8,2013-07,Greater Manchester Police,Greater Manchester Police,-2.260337,53.467610,On or near CITY ROAD,E01005213,Manchester 059A,Investigation complete; no suspect identified
9d6deb312ca362fd01b482d3d443872f7e95ead143bdf99865df55afb076c10f,2013-07,Greater Manchester Police,Greater Manchester Police,-2.265998,53.380426,On or near Parking Area,E01005291,Manchester 050E,Investigation complete; no suspect identified
427c1a662308585bfe59432205d17cb39bcdb1bfb93fa57280b99770b93d2a6e,2013-07,Greater Manchester Police,Greater Manchester Police,-2.234119,53.425346,On or near ST ALDWYN'S ROAD,E01005277,Manchester 038D,Investigation complete; no suspect identified
62c089e2a2404991703096bcda596594029d50be70cbc4f3b81ce5c7b9ff0ef3,2013-07,Greater Manchester Police,Greater Manchester Police,-2.215308,53.428375,On or near FERNSIDE AVENUE,E01005123,Manchester 041D,Investigation complete; no suspect identified
dc49fcfce5dff4410371082c0dd3b75c64828def29f51a074bddf5712be49087,2013-07,Greater Manchester Police,Greater Manchester Police,-2.206941,53.468676,On or near ERCALL AVENUE,E01005061,Manchester 018A,Investigation complete; no suspect identified
8cf1fe4a000a87cff0c0293cce1d0c146d61f32477a26d454168bcb927f7b690,2013-07,Greater Manchester Police,Greater Manchester Police,-2.261255,53.379322,On or near Shopping Area,E01005291,Manchester 050E,Investigation complete; no suspect identified
d9d00bdd5c45b6d6929606743f0af74e13a61176ebaff9fc7767bd4e59fde9f9,2013-07,Greater Manchester Police,Greater Manchester Police,-2.223529,53.434768,On or near BURLINGTON ROAD,E01005304,Manchester 040B,Investigation complete; no suspect identified
88aa428d52fcebefcda3a232c8092ee5cdab3aa67b39dc24f5123fd35b4da1ca,2013-07,Greater Manchester Police,Greater Manchester Police,-2.272906,53.442710,On or near Petrol Station,E01005296,Manchester 029E,Investigation complete; no suspect identified
ad37898d7f427a04af2cbe15fe716b7ed58d4e9cc28311f005155027e801bf3c,2013-07,Greater Manchester Police,Greater Manchester Police,-2.268729,53.410730,On or near VERRILL AVENUE,E01005267,Manchester 046B,Investigation complete; no suspect identified
94ab9c0348ffa374d4e0741284acd4542671e1ebe31d361516d8a24148fc67d7,2013-07,Greater Manchester Police,Greater Manchester Police,-2.220581,53.440985,On or near WYNNSTAY GROVE,E01005271,Manchester 032C,Investigation complete; no suspect identified
b5e1d2f120bac96212250d5f6220fedf42432b5ec62dc9c7e22bb9ed9d5669ad,2013-07,Greater Manchester Police,Greater Manchester Police,-2.243242,53.444339,On or near BOWDON AVENUE,E01005183,Manchester 030F,Investigation complete; no suspect identified
