Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fdbfc9940b16166f691b42c18502bbf7a78f9170271ddf2407dca89489f61319,2013-07,Northamptonshire Police,Northamptonshire Police,-1.144732,52.028766,On or near DOVEHOUSE CLOSE,E01027264,South Northamptonshire 010A,Local resolution
e570ff203dceb47f09e84bbb1d108431cea6aecd5d14c559207c1498a8b9ca6a,2013-07,Northamptonshire Police,Northamptonshire Police,-0.891105,52.244376,On or near MILITARY COURT,E01027155,Northampton 023A,Investigation complete; no suspect identified
891f12585cda3cf40d028dd03f63c26951eb3d69f918e20267e8f4acc7c1bfa6,2013-07,Northamptonshire Police,Northamptonshire Police,-0.896942,52.235781,On or near Nightclub,E01027223,Northampton 025A,Investigation complete; no suspect identified
326cd1aed88f36f6ee2b8d8a116836082ff607103945839438dca4fa04f109ff,2013-07,Northamptonshire Police,Northamptonshire Police,-0.838156,52.241610,On or near FAIRGROUND WAY,E01027140,Northampton 011A,Investigation complete; no suspect identified
0ee0ce1a4c69bdfe52b8fe7ea1f8028153f3b75a40493ac94bbc0ac208cfcd92,2013-07,Northamptonshire Police,Northamptonshire Police,-0.680551,52.304328,On or near MELTON ROAD,E01027315,Wellingborough 004C,Investigation complete; no suspect identified
b854beb2c38ab3657ec98dd14870d939b4cf89e39ec70e5ba5cc81355b185c59,2013-07,Northamptonshire Police,Northamptonshire Police,-0.724441,52.407107,On or near WILSON TERRACE,E01027106,Kettering 006B,Investigation complete; no suspect identified
ff9b09738d367cb70069b4292bc1a0e5e77ef22a74f6434e540d19c2d24a3a23,2013-07,Northamptonshire Police,Northamptonshire Police,-0.691588,52.301061,On or near Shopping Area,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
bf9155077baf490d69a558b00085376c2ee21d2f0526a43434502bac05bfaffa,2013-07,Northamptonshire Police,Northamptonshire Police,-0.694028,52.396031,On or near SAINT DAVID'S CLOSE,E01027122,Kettering 008E,Investigation complete; no suspect identified
57feccfa1561ffee3de4bfe59642abfa908823cdd43e44a18a22e246c09e1bec,2013-07,Northamptonshire Police,Northamptonshire Police,-0.599034,52.292187,On or near WEST STREET,E01027065,East Northamptonshire 009D,Investigation complete; no suspect identified
e201dbd7c3211b643196bc007be864c6f9db5882ff36572f0d64d852451c312a,2013-07,Northamptonshire Police,Northamptonshire Police,-1.205567,52.322196,On or near SCHOOL CLOSE,E01032968,Daventry 003F,Investigation complete; no suspect identified
f0c0178c4638b2aaa608188f1895823c8be2a2511fa2efa9335f5dbcf288eebe,2013-07,Northamptonshire Police,Northamptonshire Police,-0.713455,52.402699,On or near ACRE STREET,E01027112,Kettering 006D,Investigation complete; no suspect identified
222417b68a8a286f0b04db4f6605ea0f83f73385ac364b8b16fd6befe62c72b7,2013-07,Northamptonshire Police,Northamptonshire Police,-0.677023,52.366577,On or near ST CRISPIN CLOSE,E01027091,Kettering 011A,Investigation complete; no suspect identified
9e51b60b5e14986675f3c5fd773999ad51c2427febd36d1d9e0fa8cedac23643,2013-07,Northamptonshire Police,Northamptonshire Police,-0.932317,52.187143,On or near NORTHAMPTON ROAD,E01032985,South Northamptonshire 003I,Investigation complete; no suspect identified
3c207a50ccd290dff84cc8df187b130b27982ee850a8b511c523648df063d4a9,2013-07,Northamptonshire Police,Northamptonshire Police,-1.162868,52.271015,On or near MAGNOLIA DRIVE,E01026989,Daventry 006B,Investigation complete; no suspect identified
8851581db9f93ffd4efc5204a616dda333afaa0ab8f2b99d155d21eb8890c00e,2013-07,Northamptonshire Police,Northamptonshire Police,-1.175219,52.264854,On or near MORNING STAR ROAD,E01026988,Daventry 007B,Investigation complete; no suspect identified
60e5ba9efabd0b36e3faee5d0b3fdb29e77966a31f947a382c8795fe4b27f865,2013-07,Northamptonshire Police,Northamptonshire Police,-0.896120,52.250033,On or near FREEHOLD STREET,E01027187,Northampton 015C,Investigation complete; no suspect identified
307e3355be4ba818105dc0ca5ecdc527c3a200d2870b503e76fa5622c4a74ae9,2013-07,Northamptonshire Police,Northamptonshire Police,-1.082822,52.226196,On or near NEW CROFT,E01027025,Daventry 009D,Investigation complete; no suspect identified
a9582e8549d38eea321dcc532a0cf02b569c5231cd6a0c021be4b80aeb794a0c,2013-07,Northamptonshire Police,Northamptonshire Police,-0.860387,52.268529,On or near BECKET WAY,E01027219,Northampton 002B,Investigation complete; no suspect identified
a4e91399627f6fd07429fdd9d33a9c1ce8900e8e8aef77c2cca44419ded887e5,2013-07,Northamptonshire Police,Northamptonshire Police,-0.902305,52.249335,On or near ESSEX STREET,E01027152,Northampton 021B,Investigation complete; no suspect identified
c59fbfc6e8f9bc27abb9b0896c677b8fee615ee525a5be5d534394a0e8083af4,2013-07,Northamptonshire Police,Northamptonshire Police,-0.902958,52.227008,On or near Petrol Station,E01032981,Northampton 028F,Investigation complete; no suspect identified
2c262508b3e43bdb33cb5515620283d0554f3c74f2543ef568732e7d662e5be5,2013-07,Northamptonshire Police,Northamptonshire Police,-0.820933,52.441409,On or near HIGH STREET,E01032971,Kettering 002I,Investigation complete; no suspect identified
436c8908d7e252abfef63321bb3b8b2c4e2168f969a45a2bedb72aca0eef688d,2013-07,Northamptonshire Police,Northamptonshire Police,-1.247705,52.326464,On or near Prison,E01032968,Daventry 003F,Investigation complete; no suspect identified
5f9467d406762058c93f323ca77a37e08f468c5edaf006cae11955a7dab89e0e,2013-07,Northamptonshire Police,Northamptonshire Police,-0.894302,52.237725,On or near DYCHURCH LANE,E01027223,Northampton 025A,Investigation complete; no suspect identified
237dcc57a860900922c723aa83b40c9f71ea634e9b1dd066acd0b525df1c314a,2013-07,Northamptonshire Police,Northamptonshire Police,-0.869784,52.275317,On or near MANSION CLOSE,E01027218,Northampton 002A,Investigation complete; no suspect identified
7cf4d487880e151867fffe570330b5ef840898b3acc9cc208710be58f08bd504,2013-07,Northamptonshire Police,Northamptonshire Police,-0.862569,52.266311,On or near MANDEVILLE CLOSE,E01027171,Northampton 006A,Investigation complete; no suspect identified
71b67be97b54b107b8ed4008931bc96d954ec7a43f46ffd74da2dbbeb20de583,2013-07,Northamptonshire Police,Northamptonshire Police,-0.895682,52.272407,On or near MIDDLETON CLOSE,E01027145,Northampton 001A,Investigation complete; no suspect identified
b80620632a4567da5a957edde51dda880434bcdbf0b79263571d556231d66532,2013-07,Northamptonshire Police,Northamptonshire Police,-0.920011,52.223542,On or near PICCADILLY CLOSE,E01027235,Northampton 026C,Investigation complete; no suspect identified
a8f8102dc5830f6a481b04149b510239f90bcad5b26ffb2846229b0fa8a52aa6,2013-07,Northamptonshire Police,Northamptonshire Police,-0.919639,52.224375,On or near DICKSON CLOSE,E01027235,Northampton 026C,Investigation complete; no suspect identified
7ad0b2a0961b1232b26155704673a7f0339ef23c4ef2facf2cbf42975e0b0e2e,2013-07,Northamptonshire Police,Northamptonshire Police,-0.893702,52.228297,On or near CLAUGHTON ROAD,E01032981,Northampton 028F,Investigation complete; no suspect identified
637664ae3135f33746080ff2d00c7243f20491ba6fad0713c56b404169a1ec27,2013-07,Northamptonshire Police,Northamptonshire Police,-0.717600,52.294631,On or near FIRST AVENUE,E01027309,Wellingborough 007A,Investigation complete; no suspect identified
aadec1228fbfd2b7acc8dd470b343b24079ef615fdb0de7926854cfc89348d7d,2013-07,Northamptonshire Police,Northamptonshire Police,-1.119832,52.313587,On or near EDEN COURT,E01027016,Daventry 004C,Investigation complete; no suspect identified
723e49557796c0266190859a5e911582801ab39a016e1ea8c470a63d575e8ad0,2013-07,Northamptonshire Police,Northamptonshire Police,-1.252358,52.174734,On or near WESTHORPE LANE,E01027004,Daventry 010B,Investigation complete; no suspect identified
1049404c076c07c99501162ac9ab33cb5bdbeb8aecfb17139fe6f203269175de,2013-07,Northamptonshire Police,Northamptonshire Police,-0.716956,52.501885,On or near STORNOWAY ROAD,E01026976,Corby 002D,Investigation complete; no suspect identified
ca1329a53ed67090a3f7806a690c06649b40fb0542e9e0ddf0a525eb22f1a9cf,2013-07,Northamptonshire Police,Northamptonshire Police,-1.159718,52.258532,On or near THOMAS WEBB CLOSE,E01026991,Daventry 007C,Investigation complete; no suspect identified
2fcbda79839e03cdc674d01e72e6e44c938f3d34294f1684a947a5381edaaf9c,2013-07,Northamptonshire Police,Northamptonshire Police,-0.728832,52.405733,On or near ALBION ROAD,E01027104,Kettering 007A,Investigation complete; no suspect identified
8de6682c1c15709a21b9d2775e2fd7caa97f19b6c58caff95b1281f4effddc71,2013-07,Northamptonshire Police,Northamptonshire Police,-0.729132,52.398868,On or near Shopping Area,E01027110,Kettering 007B,Investigation complete; no suspect identified
a781f2ce5b916494378f86dbb9778fa6d77b21778541b00b175d24ac9c903454,2013-07,Northamptonshire Police,Northamptonshire Police,-0.751735,52.265992,On or near Supermarket,E01027322,Wellingborough 009A,Investigation complete; no suspect identified
7271097ec87877dc21a0867487eacac798ed19eec6df4262049ba4f10d6bd680,2013-07,Northamptonshire Police,Northamptonshire Police,-0.880028,52.257910,On or near ROTHESAY TERRACE,E01027188,Northampton 013C,Investigation complete; no suspect identified
731cac4ddea508bf69afedc1a84c0fe3c73a14edea2e6d68a1f336330ed07ece,2013-07,Northamptonshire Police,Northamptonshire Police,-0.888314,52.263464,On or near BONDFIELD AVENUE,E01027231,Northampton 009D,Investigation complete; no suspect identified
84f9d4fda0e1e83d7e41d5ad010a806dd4807b27acf0411bbb02a54b8d29271c,2013-07,Northamptonshire Police,Northamptonshire Police,-0.713319,52.231324,On or near SHARPLANDS,E01027354,Wellingborough 010E,Investigation complete; no suspect identified
ebf48d425201f52b578b398f1db1ee228e11ab1a7e26d0a18367084fd1d40b15,2013-07,Northamptonshire Police,Northamptonshire Police,-0.902378,52.210748,On or near STANFORD WAY,E01027162,Northampton 030A,Investigation complete; no suspect identified
046c56f8ff539f8f37a33eae1d1cdc9af04ff76d1e30147504dab7edf1fd3e2a,2013-07,Northamptonshire Police,Northamptonshire Police,-0.737815,52.391759,On or near OVETT CLOSE,E01027116,Kettering 007E,Investigation complete; no suspect identified
89cb0093838069ef963452d0da16e8208729049aa295e82e22e5f7d9b7da946e,2013-07,Northamptonshire Police,Northamptonshire Police,-0.703221,52.322048,On or near THE GLADE,E01027333,Wellingborough 002D,Investigation complete; no suspect identified
ad7e82ce3b1afb6ff142d65292c4c53611675328972191b38632c3e5a90400b6,2013-07,Northamptonshire Police,Northamptonshire Police,-0.695795,52.303122,On or near QUEEN STREET,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
4c627e31516b0682bdc80a384f7678ab551a8fcd312177108266f50b967ef75d,2013-07,Northamptonshire Police,Northamptonshire Police,-0.613287,52.293128,On or near GLENFIELD CLOSE,E01027064,East Northamptonshire 008D,Investigation complete; no suspect identified
bab9b9dfe3f40c3106436f10638967e1bfc564f8737b4487071b858feceb34cc,2013-07,Northamptonshire Police,Northamptonshire Police,-0.898320,52.236918,On or near Nightclub,E01032979,Northampton 021F,Investigation complete; no suspect identified
8a2182c165c676a0dbfc7ae8ff0627beeab042789f28b51bab5cfb00f7f52066,2013-07,Northamptonshire Police,Northamptonshire Police,-0.980216,52.126033,On or near PARK VIEW ROAD,E01027302,South Northamptonshire 005E,Investigation complete; no suspect identified
d80a718675ff7d8d303536cb618e80a14ed52275d4554d1b760edda2ca967021,2013-07,Northamptonshire Police,Northamptonshire Police,-0.920011,52.223542,On or near PICCADILLY CLOSE,E01027235,Northampton 026C,Investigation complete; no suspect identified
10d9d8bdf1ff4db96774a8f7b4c061715604f7a258df90f8f95c9e71e1f60797,2013-07,Northamptonshire Police,Northamptonshire Police,-0.899056,52.236790,On or near GOLD STREET,E01032979,Northampton 021F,Investigation complete; no suspect identified
9e167f3b123f2c3af94f0734b0fb552e7e5c203433712de19151cdcc26d6edb5,2013-07,Northamptonshire Police,Northamptonshire Police,-0.697584,52.486866,On or near CONNELL COURT,E01026950,Corby 005B,Investigation complete; no suspect identified
e576b783386cede88dc0ee27487d17ecdc80788de503dc85db8dc1424f2351c3,2013-07,Northamptonshire Police,Northamptonshire Police,-0.898320,52.236918,On or near Nightclub,E01032979,Northampton 021F,Investigation complete; no suspect identified
48d991b3cfbec191cd44d7e9b934517a0613e3b1669c5583a95cd494fa8de35e,2013-07,Northamptonshire Police,Northamptonshire Police,-0.877927,52.252945,On or near Supermarket,E01027184,Northampton 015A,Investigation complete; no suspect identified
8d9975de35e68332051e89fc652a194b855a73b8d29d9973bb571349a98afc79,2013-07,Northamptonshire Police,Northamptonshire Police,-0.895133,52.233166,On or near Supermarket,E01027223,Northampton 025A,Investigation complete; no suspect identified
c6f4740f711ae1c02e7a53e5277fc84c2dd7574e3a2241e2c778b64d132fe24d,2013-07,Northamptonshire Police,Northamptonshire Police,-0.686171,52.313633,On or near NEST LANE,E01027330,Wellingborough 002A,Investigation complete; no suspect identified
