Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c78019b74577a45a5c9e15bd3bc000774d5a199df99b8fc7b9c62d62e18e88e5,2014-05,Dorset Police,Dorset Police,-1.881984,50.745078,On or near EDGEHILL ROAD,E01015374,Bournemouth 009C,Investigation complete; no suspect identified
9025e9fda8521cacefc36fa77d2e4f269b86471a42538134e47be71ca356bbd9,2014-05,Dorset Police,Dorset Police,-1.978049,50.717816,On or near Bus/Coach Station,E01032659,Poole 015F,Investigation complete; no suspect identified
e40d79b88b533444c806946075f02cb12efa8b2d2d3172fe3e8f56f7e5803e77,2014-05,Dorset Police,Dorset Police,-1.847368,50.733365,On or near JEFFERSON AVENUE,E01015292,Bournemouth 015A,Investigation complete; no suspect identified
f8679834e8be84e8525977cc6c210e6a2be89ca553d953d926065c6affa253cd,2014-05,Dorset Police,Dorset Police,-1.896182,50.740253,On or near MANSEL CLOSE,E01015388,Poole 009C,Investigation complete; no suspect identified
33caa6f0f8941e034ab7cf913d466d743f86c0869dceae43f9a71746a3bd228e,2014-05,Dorset Police,Dorset Police,-1.991152,50.713744,On or near BARBERS PILES,E01032661,Poole 015H,Investigation complete; no suspect identified
3dcd500d2f5bc57bea874aab34a735a7eb69ced2303743f6cbd296bb6fb95f42,2014-05,Dorset Police,Dorset Police,-1.874138,50.721824,On or near FIR VALE ROAD,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
250729b15ddc70503d5264fde5ae87cf8505dad03b48f881d91d87a59824bb6c,2014-05,Dorset Police,Dorset Police,-1.828362,50.730677,On or near HANNINGTON ROAD,E01015276,Bournemouth 016D,Investigation complete; no suspect identified
0f16a70bd8d95b77465a29d4b9bece4e791d8da29ef3743e114a7382f6c6ad05,2014-05,Dorset Police,Dorset Police,-1.875951,50.721844,On or near Supermarket,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
1a2d1f4283cc221602d38c97dac2170b16eae6a2a858203578f1b7cddde637c2,2014-05,Dorset Police,Dorset Police,-1.873461,50.736229,On or near DE LISLE ROAD,E01015345,Bournemouth 013C,Investigation complete; no suspect identified
ba8930cdc255402af56662ae1ac017b2b432f06990c426a385e0ac786413d8f0,2014-05,Dorset Police,Dorset Police,-1.947230,50.726187,On or near COURTENAY ROAD,E01015454,Poole 017C,Investigation complete; no suspect identified
cb71d5a2b0f6b6dd15ce94198f67c68a103a70df9115fd0174656708f34154d9,2014-05,Dorset Police,Dorset Police,-1.912920,50.716634,On or near ORMONDE ROAD,E01015405,Poole 018D,Investigation complete; no suspect identified
8aba277adf38268cf23c73221d9d372171c5b1d31ec1b64472bdd5e8249958a3,2014-05,Dorset Police,Dorset Police,-1.841784,50.725445,On or near ROUMELIA LANE,E01015282,Bournemouth 019E,Investigation complete; no suspect identified
b4d09875829db8c4a50efca6d0831a3fe0a800557e5167d4e1764abfb290b928,2014-05,Dorset Police,Dorset Police,-1.966948,50.751922,On or near Supermarket,E01015415,Poole 004D,Investigation complete; no suspect identified
a078554e50dc318c1f65ba9e6e7529e44f8c5805b2d3755d60015f49d17b46ab,2014-05,Dorset Police,Dorset Police,-1.848173,50.734248,On or near EGERTON GARDENS,E01015292,Bournemouth 015A,Investigation complete; no suspect identified
4dd556b97039bf9d133b2b9c47f5d5dfc8cfef8d79036fb68a7d3e4868d3d6a6,2014-05,Dorset Police,Dorset Police,-1.843861,50.726958,On or near GROSVENOR GARDENS,E01015282,Bournemouth 019E,Investigation complete; no suspect identified
