Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
64757c5f1da338a7c204a8c3e8c33d7bd2c1814d15d9745d5560ff09b0167379,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.718659,52.602271,On or near TAMWORTH LANE,E01026634,Great Yarmouth 007C,Suspect charged
c0be8225397b962ba2df8f37ea3378e6d63cf01a180ab8182b91534d097faa23,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.723968,52.584420,On or near FREDRICK ROAD,E01026601,Great Yarmouth 009A,Offender given a caution
30c44575a45150c2494055c1edaec825245e2de5c3f1287445a96ba9dd67c76d,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.495103,52.937690,On or near DOWNS CLOSE,E01026682,King's Lynn and West Norfolk 001C,Suspect charged
3560ee36aec29805a5d6c91f74777d95efd3f1f4e4a3ff2385d365fccad43255,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.724250,52.609831,On or near THE CONGE,E01026597,Great Yarmouth 005C,Suspect charged
b714241165ac892a4e303d172e594caa556610531d79a0666705e4423bdd8869,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.657979,52.579338,On or near BREYDON WATERS,E01026614,Great Yarmouth 012B,Local resolution
c47a963391cac2f8cfdde8a524bde8112244949aa7ede25b849db9df0b52e365,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.484279,52.697098,On or near CHURCH ROAD,E01026769,North Norfolk 014B,Suspect charged
eaea335e31c7e4482bd39b3d05591928ef6046bd273e8b154d842dcef028941e,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.305389,52.623073,On or near WHERRY ROAD,E01033441,Norwich 014D,Suspect charged
7fef36a6cd9a770e687505d20ea0dd405414e8e7001aea7529e4166a01e0529d,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.397484,52.738182,On or near KEENE ROAD,E01026706,King's Lynn and West Norfolk 011F,Suspect charged
f4d246edf5f133d7534a5703c44fd6e5e670879f9f3a9af659db3744bb550f85,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.397484,52.738182,On or near KEENE ROAD,E01026706,King's Lynn and West Norfolk 011F,Suspect charged
8d3b9fc1d9a280511a66b6bb5c999c70b715742c9b5c23959e5b27b2574facca,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.272287,52.665849,On or near LODORE AVENUE,E01026532,Broadland 011C,Offender given a caution
e0284137416c11249be6d8d61553d2d568c53504995d65a4a4e813777c219d60,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.335277,52.660044,On or near Supermarket,E01026561,Broadland 013E,Suspect charged
26861de664c3be47dcd709df528c5a02047b004889d53216b1276a9dd434f353,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.279835,52.639441,On or near RAYNHAM STREET,E01026827,Norwich 007F,Offender given a caution
1bce1f25141b7a3bb3587a5355d6f59e4a73c6149143b49c9b27c1e83f22c280,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.716610,52.599016,On or near THAMESFIELD WAY,E01026634,Great Yarmouth 007C,Suspect charged
24317b08279bf9a103989aa42024ad3d0f19acaadd102d1511713d14de9f6b2f,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.489706,52.939583,On or near HIGH STREET,E01026683,King's Lynn and West Norfolk 001D,Suspect charged
986bb7ed37a8e0700d1ed5c2855690214ba9e89fc713f92e9125fe462ff1c43d,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.304757,52.628217,On or near PRINCE OF WALES ROAD,E01033439,Norwich 014B,Suspect charged
a30aef5f0ef69ec72663ddeb44e4e0b7b025a872acb3c5037456451144b7b76f,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.732787,52.599550,On or near CLARENCE ROAD,E01026626,Great Yarmouth 006E,Suspect charged
453a8e864099a80deb6ebdb2a15e075b274fe177294d0acfa72215ba05c1be18,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.290694,52.654690,On or near BRIGHTWELL ROAD,E01026799,Norwich 001C,Suspect charged
57e3973147fa452b6defd33b12dfb3cb386df2c1cd650621fb5d75218e183059,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.290694,52.654690,On or near BRIGHTWELL ROAD,E01026799,Norwich 001C,Suspect charged
c1db17ebd4de72ed7518e411fcc03d9ec4a159686605db499e70e84105cf823e,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.209907,52.640432,On or near HEARNE COURT,E01026794,Norwich 005D,Offender given a caution
25d7dee7aa0da293008b3dff57f4209df03c3fc41d25aabcf78d6a3d0fe06e29,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.742458,52.411361,On or near NEWTOWN,E01026474,Breckland 017A,Suspect charged
39a5589467b9a321c257f3bd778155721f1b7672c79bcd2ba6750391422c7f82,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.733504,52.608325,On or near BERMONDSEY PLACE WEST,E01026598,Great Yarmouth 005D,Suspect charged
f8b1fcb3b906c67082ca4cda6da831cb00c79beff24f1eacf5658ae206393e0a,2014-05,Norfolk Constabulary,Norfolk Constabulary,0.435458,52.746768,On or near SEAMAN DRIVE,E01026662,King's Lynn and West Norfolk 010A,Suspect charged
8c32d34ac25d9ac209c88f6db8ea96067c512c275e239156989cb30c008d1ed6,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.312357,52.630990,On or near ST LEONARDS ROAD,E01026850,Norwich 015C,Offender given a caution
cad784524b9888711b30f74915741f4db4042a644144e3b1475707b1be943a1d,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.209907,52.640432,On or near HEARNE COURT,E01026794,Norwich 005D,Offender given a caution
98debfd9ff82945f619ba0f9060036638b8d67801a0aeb1120ce136cfba4badd,2014-05,Norfolk Constabulary,Norfolk Constabulary,1.335277,52.660044,On or near Supermarket,E01026561,Broadland 013E,Suspect charged
