Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f0fb84b5a3c6323298f643ff8b161084e99fe1801ec3a9f729b8ba3f62e0a7e8,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.169690,52.222757,On or near Sports/Recreation Area,E01030048,Mid Suffolk 007A,Investigation complete; no suspect identified
9516f4dcb713c2c5078c47b9e2ecc99c6cf0488d2f1aa184cd6d487fb08cc6d3,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.152097,52.053668,On or near GREYFRIARS ROAD,E01033124,Ipswich 007F,Investigation complete; no suspect identified
23e7c05a0d08457252cc2b2870af15952fd48fe71a357e32991324273e239188,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.003102,52.176178,On or near HINTLESHAM CLOSE,E01030078,Mid Suffolk 010E,Investigation complete; no suspect identified
ad4b2ae1abed27dfe5e951f552c6c46058d199d33a4c2f7e7820076401093945,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.798758,52.109252,On or near BOLTON STREET,E01029898,Babergh 001B,Investigation complete; no suspect identified
fd8895374261a646a988633ba48db4986d09dbfe18f088375587b209dde2965b,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.440432,52.081238,On or near HIGH STREET,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
b9dcedc93d26d8b99fdac885f71446a0bd1cf94413c6392381799d321ecbfe20,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.736365,52.477764,On or near ESSEX ROAD,E01030264,Waveney 004E,Investigation complete; no suspect identified
e9b254e3f1d8fa67ad0fe4828a57bcded6924e9938453bf951cc84a72c18e7e1,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.423625,52.078672,On or near Pedestrian Subway,E01030115,St Edmundsbury 013A,Investigation complete; no suspect identified
9670070b18e22106ce5c3d68c0814caf301dad4db2e86b44b83a481279c43bfe,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.726510,52.038741,On or near GREGORY STREET,E01029920,Babergh 007H,Investigation complete; no suspect identified
a83ff87abf1b93cb09d20c9549eead711758ffb5e92ab9de3904e6a9b9a3cffd,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.352286,51.966703,On or near Supermarket,E01030159,Suffolk Coastal 013D,Investigation complete; no suspect identified
d5ac4f7da3bec29016f4e13166f39573d7e5cf349a61e42cfaad843f0156f75a,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.692932,52.256549,On or near PARKINGTON WALK,E01030139,St Edmundsbury 003C,Investigation complete; no suspect identified
4b5462b13c997bf0ae532514bf48c359442d8c996b5e2376381caa416caa0f4d,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.182780,52.054327,On or near DERBY CLOSE,E01029958,Ipswich 007A,Investigation complete; no suspect identified
24732f4450aa69745a285226dcaedf36a1bf19da5b1c1f9a2fee7af3c7b38605,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.521559,52.422225,On or near MEADOW DRIVE,E01029944,Forest Heath 002E,Investigation complete; no suspect identified
f63c983ee321b121af64cf90ecc8b896f9b0292bc23e45d192a6a799a8a2ad03,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.408193,52.246463,On or near FRED ARCHER WAY,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
6b77768f65cd6a88aa39ff3b5adf87b72ddd7e0e2de8bb16b1e43b9d625d14f0,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.195606,52.060680,On or near WOODBRIDGE ROAD EAST,E01029964,Ipswich 009B,Investigation complete; no suspect identified
ce0530b4d6460f05328ba3721a68864633d9abf19a8c786d9923bc9566bc86e1,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.592170,52.440105,On or near BENACRE ROAD,E01030294,Waveney 011E,Investigation complete; no suspect identified
7d4f7fc5f71bae3a6eb78b3a01612d6116fb58881ff03747b48ebbac4a890f83,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.725852,52.091402,On or near HIGH STREET,E01029900,Babergh 003A,Investigation complete; no suspect identified
836bb8ff5cfe261c5093da15b9b740808b473023570d56e8287cb66e04d6a66a,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.159845,52.068355,On or near PARK NORTH,E01030008,Ipswich 005B,Investigation complete; no suspect identified
ddd87be79bcd9ef53810b6b633dde33b232f467acbb92f96d7b65879bb3947b3,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.738263,52.047084,On or near ACTON LANE,E01029916,Babergh 007E,Investigation complete; no suspect identified
3944db8c76dfe055c30522e27b5fd03ff372a058943ef3d45f06e022225aed75,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.749028,52.483408,On or near BURTON STREET,E01030246,Waveney 004A,Investigation complete; no suspect identified
a0596350d0c52d464fb280c71e1373266192e3079dfaa1973a5298528313c6ef,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.117283,52.066791,On or near TITAN COURT,E01030030,Ipswich 003D,Investigation complete; no suspect identified
a8af4f16a9f474e98a1f76821cf5d648f35ed78b91957cfe7870c184ca0be30a,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.447108,52.073339,On or near BUMPSTEAD ROAD,E01030106,St Edmundsbury 014B,Investigation complete; no suspect identified
8c04ec715eb3b00632ea81dad82d0222a44a5d64fb0140ebda75b2e5f3a5e60d,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.184668,52.056461,On or near Supermarket,E01030003,Ipswich 008B,Investigation complete; no suspect identified
cb20367071439881468fd5c30339359696075ac8bc7e2306498a6dec58aeb29b,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.092109,52.353946,On or near OLD BURY ROAD,E01030064,Mid Suffolk 001C,Investigation complete; no suspect identified
d67750be56ddf2d180211d693da4de128da93318d8bfa8b3fc35a441bfec108e,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.198502,52.036893,On or near UXBRIDGE CRESCENT,E01033131,Ipswich 014G,Investigation complete; no suspect identified
ecbe784908d61ae8a21504952364d78e355692e0f6fdcb4a2b9f2b6b29cffc64,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.564429,52.457981,On or near MARKET STREET,E01030225,Waveney 010C,Investigation complete; no suspect identified
209c708bed4eb9e5863fd147fb2d345c63889c21f130f32866a03224913a018c,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.618494,52.444639,On or near Petrol Station,E01029929,Forest Heath 001D,Investigation complete; no suspect identified
46c84a6fbac194d6cde4656f305ebbe1a4850651651b6909d1895b778bf4dd0d,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.694715,52.255510,On or near GOLDSMITH CLOSE,E01030140,St Edmundsbury 003D,Investigation complete; no suspect identified
b7615d890f6a4362c92fab94b70a5c246c8fc428ef5febaad138474483bdf50a,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.962509,52.027077,On or near BRETT GREEN,E01029902,Babergh 009C,Investigation complete; no suspect identified
81c8d26f4d2d86ed798eb739da7f6616d076db9a2c7c6960881602042322e953,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.414456,52.130468,On or near SYCAMORE DRIVE,E01033449,Suffolk Coastal 007J,Investigation complete; no suspect identified
1d872d24bb491563256cb0b5af2f27df0cfb70508f4ae1dfacd924725d9c44c2,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.153454,52.047048,On or near WEBB STREET,E01029968,Ipswich 012A,Investigation complete; no suspect identified
aa5ba580f6d30b3d4c9e7f5bd9e13a85ef56d1910e250bc26f348234e43d7354,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.732883,52.495612,On or near HENHAM ROAD,E01030281,Waveney 002E,Investigation complete; no suspect identified
2f19357620de94eab58b85e0c1dfbf34501c2aff21d00ee3463f5e4dea750ff3,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.155021,52.048167,On or near TURIN STREET,E01029968,Ipswich 012A,Investigation complete; no suspect identified
244cf89f45c71fdd52489fecacc0b927ac6cd18144e767af97a6b22503c9dfeb,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.711656,52.249276,On or near ALL SAINTS COURT,E01033046,St Edmundsbury 006F,Investigation complete; no suspect identified
949d3b55ff00bff68eb2689c1f5bc279c59cfc20324abb7cc8f607f16361d326,2014-05,Suffolk Constabulary,Suffolk Constabulary,0.682438,52.243892,On or near BOCKHILL ROAD,E01030125,St Edmundsbury 007D,Investigation complete; no suspect identified
153263f6b2fc7070e60c0d82cf933cbed097a9c964aa8d8e401a13453e240113,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.253719,51.970073,On or near ROSE COURT,E01029874,Babergh 011C,Investigation complete; no suspect identified
3b9f09ff56b9862899721e9a32cc24f7582eaabbc400cfe29f217178b62621e0,2014-05,Suffolk Constabulary,Suffolk Constabulary,1.699294,52.465762,On or near Parking Area,E01030234,Waveney 009A,Investigation complete; no suspect identified
