Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a2b7a6eb78f2943207867ff1d9405180af6084f7c2d05c7239f5d4483152d9f9,2014-03,Dorset Police,Dorset Police,-2.266927,50.943530,On or near B3091,E01020459,North Dorset 004E,Investigation complete; no suspect identified
a8ced4814a4951f9d8a77eb23d9393a61e6c53d9270575b4a9e5736f6ed519b4,2014-03,Dorset Police,Dorset Police,-2.442653,50.715286,On or near Parking Area,E01032644,West Dorset 009H,Investigation complete; no suspect identified
4edb8ec6f5a41a9620d791fbb45470d44a4cc8e212b6dac25fa0d94f7006296d,2014-03,Dorset Police,Dorset Police,-2.442180,50.562562,On or near VERNE COMMON ROAD,E01020569,Weymouth and Portland 008D,Investigation complete; no suspect identified
23a37358cd7c1ee0a25bd2e3f1fbca760b3b1a3eb2d0c5f86575210f7b78ea3a,2014-03,Dorset Police,Dorset Police,-2.519387,50.949891,On or near BACK LANE,E01032642,West Dorset 001H,Investigation complete; no suspect identified
bad8ad5bc9d111f7bef615ae89ae8a62fb2d2aa5b5320b961664bd7800c28f1a,2014-03,Dorset Police,Dorset Police,-2.450782,50.881807,On or near STOCK HILL LANE,E01020448,North Dorset 008E,Investigation complete; no suspect identified
f13ae68bf210b61bc516a4edd4080e85b29e6270ad6716c98ae84248722ed967,2014-03,Dorset Police,Dorset Police,-2.458959,50.872009,On or near LOCKS LANE,E01020448,North Dorset 008E,Investigation complete; no suspect identified
6b0ba4438c2ea1260e5ed4de67a0f592e0a09e62b4c0968912b9dec8d91905a0,2014-03,Dorset Police,Dorset Police,-1.916592,50.802894,On or near AWARD ROAD,E01020408,East Dorset 009E,Investigation complete; no suspect identified
4691850120a56b9f4688b16a80977aa284e6a3f4ae9f57a5b8b063d792185ba9,2014-03,Dorset Police,Dorset Police,-2.461545,50.605401,On or near PORTMORE GARDENS,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
919202aaad193fa6879ded1b6f0ae284a62b6845625c6ebea07ea32b30aaee44,2014-03,Dorset Police,Dorset Police,-2.514726,50.958329,On or near ST ALDHELM'S ROAD,E01020543,West Dorset 001B,Investigation complete; no suspect identified
8a98b19d1ebee07103c803709e0e71df3aa9ba4946c67c1ea3c27252305e9e4c,2014-03,Dorset Police,Dorset Police,-2.152462,50.861329,On or near WILSON PARK,E01020437,North Dorset 007C,Investigation complete; no suspect identified
85c871305d67c18319f4895f8a59b8dab1b321980f43668261de7f75de3ff470,2014-03,Dorset Police,Dorset Police,-2.461545,50.605401,On or near PORTMORE GARDENS,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
