Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ca110b910752fb90810210efb896a648d440b016299a1a6d6ace4eeef76bdd1d,2014-03,Lincolnshire Police,Lincolnshire Police,-0.131452,52.840661,On or near SCHOOL CRESCENT,E01026276,South Holland 001E,Investigation complete; no suspect identified
66fcb9541b8cfd64ed97f1cda2a698794d4d15c5c74fdd017e7c0359216e30dd,2014-03,Lincolnshire Police,Lincolnshire Police,-0.762366,53.404361,On or near ROSEFIELDS,E01026376,West Lindsey 006C,Investigation complete; no suspect identified
278dac4323e8371bd253ce1da5bf342b34723bf6a3a05039876996f7b96e385f,2014-03,Lincolnshire Police,Lincolnshire Police,-0.133380,52.839676,On or near STATION ROAD,E01026276,South Holland 001E,Investigation complete; no suspect identified
0904992bcdb5f5555c146ac48ca1d2b3ce028f5c27bcbb29c930be1cc6cdb77c,2014-03,Lincolnshire Police,Lincolnshire Police,-0.152498,52.787676,On or near HALL PLACE,E01032995,South Holland 006F,Investigation complete; no suspect identified
ef2467d3bdbe189f93832131bccd0e5d407961c1121756c1802807072d325783,2014-03,Lincolnshire Police,Lincolnshire Police,-0.612360,53.202140,On or near Park/Open Space,E01032991,North Kesteven 014E,Investigation complete; no suspect identified
a8baa3f77059b5a95eda90cdb75bcc89543ddb326ad4e4b655017c9d217ba91b,2014-03,Lincolnshire Police,Lincolnshire Police,-0.058714,52.928439,On or near HIGH STREET,E01026020,Boston 007D,Investigation complete; no suspect identified
7069a202cda9287117cae143bdf456d087226055e54b5f0a23e662946b5c23f6,2014-03,Lincolnshire Police,Lincolnshire Police,-0.061528,52.927721,On or near CHURCH MEADOWS,E01026020,Boston 007D,Investigation complete; no suspect identified
f21eb64f9b07000d78f6211e3a10e3563f6e488adc6ac6519403c829b8a90013,2014-03,Lincolnshire Police,Lincolnshire Police,-0.169631,52.669101,On or near BECCELM DRIVE,E01026240,South Holland 011B,Investigation complete; no suspect identified
b5c123f7cd9e23c05041eee444d7342b331ac5032a932e143291221101193625,2014-03,Lincolnshire Police,Lincolnshire Police,-0.619447,52.803494,On or near BELVOIR CLOSE,E01026331,South Kesteven 009B,Investigation complete; no suspect identified
daa6e988f3f56c15187ab884a3fb60e66849bbbe510d21192920abd7eda55753,2014-03,Lincolnshire Police,Lincolnshire Police,0.332395,53.143854,On or near Petrol Station,E01026092,East Lindsey 014A,Investigation complete; no suspect identified
ed042fc5462c0d485f720de73377480573d6e130e360f7ca512adafd8a9b0d89,2014-03,Lincolnshire Police,Lincolnshire Police,-0.414301,53.004676,On or near NORTH GATE,E01026235,North Kesteven 010E,Investigation complete; no suspect identified
486628ca02ff965279d59d57a00bfd7a2d78422b088c310ebf7ad761739bbb61,2014-03,Lincolnshire Police,Lincolnshire Police,0.099990,53.172635,On or near OLD SCHOOL MEWS,E01026100,East Lindsey 013E,Investigation complete; no suspect identified
d819e402e4d05c67ae1ff34a405f65879f9ce15ee9e29fa6e70fe5cb33e4dc71,2014-03,Lincolnshire Police,Lincolnshire Police,-0.544594,53.220821,On or near HIGH STREET,E01026178,Lincoln 006D,Investigation complete; no suspect identified
19b49ded3d3117539d368370cb1820f932ada8fa0532fc67a771fdf4f9545ac1,2014-03,Lincolnshire Police,Lincolnshire Police,-0.774469,53.394643,On or near PRIMROSE STREET,E01026383,West Lindsey 004E,Investigation complete; no suspect identified
d67e349d5c21103ac8ab8d63e32182906555905935fe5ab67e106ba39b2c0203,2014-03,Lincolnshire Police,Lincolnshire Police,-0.215176,53.151838,On or near Supermarket,E01026120,East Lindsey 016G,Investigation complete; no suspect identified
9a08987b3f1fa3752ab497e6aa206b553bac5dae3794f465cfce1011b50a9159,2014-03,Lincolnshire Police,Lincolnshire Police,-0.408041,52.998201,On or near CARRE STREET,E01026232,North Kesteven 010D,Investigation complete; no suspect identified
30c261617c62faee8efadeb1e8f2b0debd0353ef111e2a6d97e64b0c655848ad,2014-03,Lincolnshire Police,Lincolnshire Police,-0.581239,53.024981,On or near CAYTHORPE HEATH LANE,E01026329,South Kesteven 001C,Investigation complete; no suspect identified
dd1f149cdba933bed547697c2b47d881e9474f1df6e85b8ad6063cf81245be16,2014-03,Lincolnshire Police,Lincolnshire Police,-0.031053,52.991090,On or near SINCLAIR CLOSE,E01026038,Boston 008D,Investigation complete; no suspect identified
3d9ace65a38f1b25796f58b2343ced7930d310ccdc496540d56c545fd985f52c,2014-03,Lincolnshire Police,Lincolnshire Police,-0.411187,52.998980,On or near WATER GATE,E01026227,North Kesteven 010A,Investigation complete; no suspect identified
c9e5a5377e238cac2aabd5148cbab947312c99d7e8b1ec41e88c07f21d8d980f,2014-03,Lincolnshire Police,Lincolnshire Police,-0.562708,52.956677,On or near Airport/Airfield,E01026313,South Kesteven 001A,Investigation complete; no suspect identified
7fdcf104246a80f6537b3a3b00992431b37eed960ac78b6baf6f9dccdf5dbfd0,2014-03,Lincolnshire Police,Lincolnshire Police,-0.282937,53.058070,On or near MAIN STREET,E01026207,North Kesteven 012D,Investigation complete; no suspect identified
377e72ae069401878634e06f77124bf3c9c259cdab017f2f1bf6beccf463bfcf,2014-03,Lincolnshire Police,Lincolnshire Police,-0.521485,53.231189,On or near CLARINA STREET,E01026125,Lincoln 003A,Investigation complete; no suspect identified
e806f882c3b4043dde33099db31ed9e33f64fd55db10c30e375632ae2db0dd8b,2014-03,Lincolnshire Police,Lincolnshire Police,-0.460038,53.221349,On or near KEEBLE DRIVE,E01026204,North Kesteven 001E,Investigation complete; no suspect identified
bf340e34261e9d9af0bc5cea2a99e7863f99ff12f08ec02c76977d3bfe6e46f2,2014-03,Lincolnshire Police,Lincolnshire Police,0.093531,53.171193,On or near Parking Area,E01026101,East Lindsey 013F,Investigation complete; no suspect identified
e45a9dbbf7e21b770069815bf47a233064f6ec064910fc0ffd7b69698b0604bc,2014-03,Lincolnshire Police,Lincolnshire Police,-0.544887,53.230299,On or near NEWLAND,E01026143,Lincoln 005B,Investigation complete; no suspect identified
a45290617dec1a1f3851d5a37660289d23f53fa9ec520c1f8c3e6be59f2cbcaa,2014-03,Lincolnshire Police,Lincolnshire Police,-0.181099,53.429303,On or near GRANBY ROAD,E01026045,East Lindsey 001A,Investigation complete; no suspect identified
68ea8bbaa0f3277fe0488828014ed52986f92a9ad3446570fdaa0deac9cdfdc7,2014-03,Lincolnshire Police,Lincolnshire Police,-0.731913,53.011013,On or near GREEN LANE,E01026355,South Kesteven 002C,Investigation complete; no suspect identified
1f3aff9292611899d4fcd2a3854fece4e845d7b8dd4df252f3b76e9a95d9cf67,2014-03,Lincolnshire Police,Lincolnshire Police,-0.019923,52.985870,On or near GRAND SLUICE LANE,E01026036,Boston 003D,Investigation complete; no suspect identified
c6a03a0be2a3d474a02a87b0b6a12a23c778d037530002a808478bab64d47f90,2014-03,Lincolnshire Police,Lincolnshire Police,0.341933,53.150123,On or near MALTBY ROAD,E01026116,East Lindsey 012D,Investigation complete; no suspect identified
04a6f515b4c60089618e962cef904e6ae1306483a0c5b6a7206e4d3ca699fff3,2014-03,Lincolnshire Police,Lincolnshire Police,0.324539,53.145420,On or near BURLINGTON ROAD,E01026094,East Lindsey 015B,Investigation complete; no suspect identified
966567088fbe5b2544fc967ca2ca3defcb4df1a1c31c251a465c5a6d41f1790d,2014-03,Lincolnshire Police,Lincolnshire Police,-0.542933,53.215497,On or near SOUTH PARK,E01026174,Lincoln 008D,Investigation complete; no suspect identified
a4333962140961eb3232e713af720e6802889bd806968b16399213871f2afa88,2014-03,Lincolnshire Police,Lincolnshire Police,-0.537318,53.220282,On or near GRACE STREET,E01026177,Lincoln 006C,Investigation complete; no suspect identified
81ea9363bc732c260da34cc688de8af10cffaafd9531064bad04301aa3183588,2014-03,Lincolnshire Police,Lincolnshire Police,-0.535816,52.981988,On or near PADDOCK CLOSE,E01026314,South Kesteven 001B,Investigation complete; no suspect identified
ebac14e0cf6a2b77b0045f43b518477d487e95eff5b99892ca962176dcc63791,2014-03,Lincolnshire Police,Lincolnshire Police,-0.021377,52.682884,On or near HILLGATE,E01026280,South Holland 010C,Investigation complete; no suspect identified
5cbbaafd0f1e0884d11e36d84a36784f8f491c2f851e1f5ed5a63b9a8d6fd224,2014-03,Lincolnshire Police,Lincolnshire Police,-0.505976,52.974344,On or near ST MARY'S CLOSE,E01026221,North Kesteven 009B,Investigation complete; no suspect identified
33eaec48d307e297d5087f91289fa4dace3ee5aca4de92dacd9c7c40c80a3f14,2014-03,Lincolnshire Police,Lincolnshire Police,-0.529380,53.253069,On or near WADDINGWORTH GROVE,E01026165,Lincoln 002D,Investigation complete; no suspect identified
b07b4e12e51b6fcbacf8edf0a32967b821a47100e97e7b5dcf4b6b5aa5d2261d,2014-03,Lincolnshire Police,Lincolnshire Police,-0.545572,53.241491,On or near BURTON MEWS,E01026151,Lincoln 003E,Investigation complete; no suspect identified
12908023216dc9fe0df08fb0537d7aebc6e84cbe01ec3353a0670b25854372f8,2014-03,Lincolnshire Police,Lincolnshire Police,0.266717,53.262687,On or near Petrol Station,E01026044,East Lindsey 008C,Investigation complete; no suspect identified
6b5c9261c3dac06a9ed2337b60dfc312930f231f83c31a5dadcd33638d3a4653,2014-03,Lincolnshire Police,Lincolnshire Police,-0.453894,53.246378,On or near ST MATTHEW'S CLOSE,E01026371,West Lindsey 011D,Investigation complete; no suspect identified
fa3c616564e84707ef03b08a43354248d99e5b52f81a97307b0b080850249cff,2014-03,Lincolnshire Police,Lincolnshire Police,-0.496004,52.659073,On or near BANKS CRESCENT,E01026289,South Kesteven 015C,Investigation complete; no suspect identified
a671c3cb454902fa19bd43a1319770e3990f3a47437131ecbfff4efe11f5b6d8,2014-03,Lincolnshire Police,Lincolnshire Police,-0.498382,52.749269,On or near CHURCH LANE,E01026330,South Kesteven 012A,Investigation complete; no suspect identified
d23fce9e852894871ce7cee000f107bcf2fbe7d489e860ddf4baa419bf020be6,2014-03,Lincolnshire Police,Lincolnshire Police,0.253351,53.351490,On or near LINKS AVENUE,E01026074,East Lindsey 005C,Investigation complete; no suspect identified
249a7b976c0cac8320f912ed52bfbb51d9dfc28dd2c60b0f33bc3e64276ad48c,2014-03,Lincolnshire Police,Lincolnshire Police,-0.365351,53.287179,On or near A158,E01026373,West Lindsey 011E,Investigation complete; no suspect identified
d6972be0829f3e470e47cac1be7feb4c735206c43f36ab965f0b10400281311a,2014-03,Lincolnshire Police,Lincolnshire Police,-0.542347,53.246423,On or near ANZIO CLOSE,E01026151,Lincoln 003E,Investigation complete; no suspect identified
5f585a6782a711d23cdea9be5c87f6eb71195dccc64b726db5e6a49d39113a54,2014-03,Lincolnshire Police,Lincolnshire Police,0.321186,53.101807,On or near Park/Open Space,E01026056,East Lindsey 017A,Investigation complete; no suspect identified
bc4792fc1c4b2e4e311c5ae13a53385db1e93e78a5da27d14828406133abcd74,2014-03,Lincolnshire Police,Lincolnshire Police,-0.544833,53.216005,On or near SPENCER STREET,E01026174,Lincoln 008D,Investigation complete; no suspect identified
240877ad55a59c708c1615a2a2c4f71352b4661fdd858b7ac9acff05a27915bc,2014-03,Lincolnshire Police,Lincolnshire Police,-0.654841,52.796304,On or near MAIN ROAD,E01026331,South Kesteven 009B,Investigation complete; no suspect identified
b647b583503df5df626c753faa09a05c1e5a320595d74494552b5d692ddcc5d6,2014-03,Lincolnshire Police,Lincolnshire Police,-0.553300,53.231382,On or near CHARLESWORTH STREET,E01026146,Lincoln 005D,Investigation complete; no suspect identified
58fdab33dae26c88ad1f33e23468a7bfc2efa3688f141c91bd7061a8fedb8f2e,2014-03,Lincolnshire Police,Lincolnshire Police,-0.005381,52.986220,On or near SOMERSBY GREEN,E01026022,Boston 008C,Investigation complete; no suspect identified
6c9747d9d3871bfe79cbf7bd1614ad5182e1e7f009596ca25ba1564aa2e3a8b2,2014-03,Lincolnshire Police,Lincolnshire Police,-0.366803,53.391039,On or near NORTH STREET,E01026392,West Lindsey 003D,Investigation complete; no suspect identified
af60eb467f2fb5664463fee8d8eeb1b9b6b3dfdb9d90b93f7568adc37201984d,2014-03,Lincolnshire Police,Lincolnshire Police,-0.307712,52.676970,On or near SWALLOW WALK,E01026305,South Kesteven 014C,Investigation complete; no suspect identified
