12 months ending,Police force area,Region,Offence,Rolling year total number of offences
31/12/2013,Humberside,Yorkshire and the Humber,Violence with injury,6577
31/12/2013,Humberside,Yorkshire and the Humber,Violence without injury,5048
31/12/2013,Kent,South East,All other theft offences,15101
31/12/2013,Kent,South East,Bicycle theft,1824
31/12/2013,Kent,South East,Criminal damage and arson,17785
31/12/2013,Kent,South East,Domestic burglary,6619
31/12/2013,Kent,South East,Drug offences,4106
31/12/2013,Kent,South East,Fraud offences to 2012/13,0
31/12/2013,Kent,South East,Homicide,16
31/12/2013,Kent,South East,Miscellaneous crimes against society,1319
31/12/2013,Kent,South East,Non-domestic burglary,7644
31/12/2013,Kent,South East,Possession of weapons offences,455
31/12/2013,Kent,South East,Public order offences,2735
31/12/2013,Kent,South East,Robbery,1044
31/12/2013,Kent,South East,Sexual offences,2030
31/12/2013,Kent,South East,Shoplifting,10624
31/12/2013,Kent,South East,Theft from the person,923
31/12/2013,Kent,South East,Vehicle offences,10358
31/12/2013,Kent,South East,Violence with injury,11526
31/12/2013,Kent,South East,Violence without injury,11841
31/12/2013,Lancashire,North West,All other theft offences,15173
31/12/2013,Lancashire,North West,Bicycle theft,2309
31/12/2013,Lancashire,North West,Criminal damage and arson,16711
31/12/2013,Lancashire,North West,Domestic burglary,4442
31/12/2013,Lancashire,North West,Drug offences,3741
31/12/2013,Lancashire,North West,Fraud offences to 2012/13,242
31/12/2013,Lancashire,North West,Homicide,11
31/12/2013,Lancashire,North West,Miscellaneous crimes against society,984
31/12/2013,Lancashire,North West,Non-domestic burglary,7557
31/12/2013,Lancashire,North West,Possession of weapons offences,516
31/12/2013,Lancashire,North West,Public order offences,2405
31/12/2013,Lancashire,North West,Robbery,729
31/12/2013,Lancashire,North West,Sexual offences,1861
31/12/2013,Lancashire,North West,Shoplifting,8627
31/12/2013,Lancashire,North West,Theft from the person,893
31/12/2013,Lancashire,North West,Vehicle offences,8832
31/12/2013,Lancashire,North West,Violence with injury,10987
31/12/2013,Lancashire,North West,Violence without injury,8323
31/12/2013,Leicestershire,East Midlands,All other theft offences,8363
31/12/2013,Leicestershire,East Midlands,Bicycle theft,2399
31/12/2013,Leicestershire,East Midlands,Criminal damage and arson,9324
31/12/2013,Leicestershire,East Midlands,Domestic burglary,3969
31/12/2013,Leicestershire,East Midlands,Drug offences,1953
31/12/2013,Leicestershire,East Midlands,Fraud offences to 2012/13,10
31/12/2013,Leicestershire,East Midlands,Homicide,11
31/12/2013,Leicestershire,East Midlands,Miscellaneous crimes against society,709
31/12/2013,Leicestershire,East Midlands,Non-domestic burglary,3845
31/12/2013,Leicestershire,East Midlands,Possession of weapons offences,324
31/12/2013,Leicestershire,East Midlands,Public order offences,2339
31/12/2013,Leicestershire,East Midlands,Robbery,721
31/12/2013,Leicestershire,East Midlands,Sexual offences,1122
31/12/2013,Leicestershire,East Midlands,Shoplifting,5999
31/12/2013,Leicestershire,East Midlands,Theft from the person,1543
31/12/2013,Leicestershire,East Midlands,Vehicle offences,6895
31/12/2013,Leicestershire,East Midlands,Violence with injury,4888
31/12/2013,Leicestershire,East Midlands,Violence without injury,5589
31/12/2013,Lincolnshire,East Midlands,All other theft offences,5557
31/12/2013,Lincolnshire,East Midlands,Bicycle theft,1439
31/12/2013,Lincolnshire,East Midlands,Criminal damage and arson,5672
31/12/2013,Lincolnshire,East Midlands,Domestic burglary,1860
31/12/2013,Lincolnshire,East Midlands,Drug offences,1641
31/12/2013,Lincolnshire,East Midlands,Fraud offences to 2012/13,-10
31/12/2013,Lincolnshire,East Midlands,Homicide,8
31/12/2013,Lincolnshire,East Midlands,Miscellaneous crimes against society,583
31/12/2013,Lincolnshire,East Midlands,Non-domestic burglary,3371
31/12/2013,Lincolnshire,East Midlands,Possession of weapons offences,235
31/12/2013,Lincolnshire,East Midlands,Public order offences,1245
31/12/2013,Lincolnshire,East Midlands,Robbery,168
31/12/2013,Lincolnshire,East Midlands,Sexual offences,610
31/12/2013,Lincolnshire,East Midlands,Shoplifting,4778
31/12/2013,Lincolnshire,East Midlands,Theft from the person,379
31/12/2013,Lincolnshire,East Midlands,Vehicle offences,3059
31/12/2013,Lincolnshire,East Midlands,Violence with injury,2940
31/12/2013,Lincolnshire,East Midlands,Violence without injury,2560
31/12/2013,"London, City of",London,All other theft offences,1939
31/12/2013,"London, City of",London,Bicycle theft,329
31/12/2013,"London, City of",London,Criminal damage and arson,242
31/12/2013,"London, City of",London,Domestic burglary,34
31/12/2013,"London, City of",London,Drug offences,440
31/12/2013,"London, City of",London,Fraud offences to 2012/13,-13
31/12/2013,"London, City of",London,Homicide,0
31/12/2013,"London, City of",London,Miscellaneous crimes against society,171
31/12/2013,"London, City of",London,Non-domestic burglary,254
31/12/2013,"London, City of",London,Possession of weapons offences,24
31/12/2013,"London, City of",London,Public order offences,156
31/12/2013,"London, City of",London,Robbery,49
31/12/2013,"London, City of",London,Sexual offences,49
31/12/2013,"London, City of",London,Shoplifting,606
31/12/2013,"London, City of",London,Theft from the person,387
31/12/2013,"London, City of",London,Vehicle offences,198
31/12/2013,"London, City of",London,Violence with injury,316
31/12/2013,"London, City of",London,Violence without injury,224
31/12/2013,Merseyside,North West,All other theft offences,10467
31/12/2013,Merseyside,North West,Bicycle theft,1911
31/12/2013,Merseyside,North West,Criminal damage and arson,17014
31/12/2013,Merseyside,North West,Domestic burglary,6438
31/12/2013,Merseyside,North West,Drug offences,9903
31/12/2013,Merseyside,North West,Fraud offences to 2012/13,214
31/12/2013,Merseyside,North West,Homicide,16
31/12/2013,Merseyside,North West,Miscellaneous crimes against society,1012
31/12/2013,Merseyside,North West,Non-domestic burglary,5560
31/12/2013,Merseyside,North West,Possession of weapons offences,678
31/12/2013,Merseyside,North West,Public order offences,3221
31/12/2013,Merseyside,North West,Robbery,1186
31/12/2013,Merseyside,North West,Sexual offences,1359
31/12/2013,Merseyside,North West,Shoplifting,9984
31/12/2013,Merseyside,North West,Theft from the person,2677
31/12/2013,Merseyside,North West,Vehicle offences,8554
31/12/2013,Merseyside,North West,Violence with injury,6927
31/12/2013,Merseyside,North West,Violence without injury,5364
31/12/2013,Metropolitan Police,London,All other theft offences,116479
31/12/2013,Metropolitan Police,London,Bicycle theft,19014
31/12/2013,Metropolitan Police,London,Criminal damage and arson,55684
31/12/2013,Metropolitan Police,London,Domestic burglary,56592
31/12/2013,Metropolitan Police,London,Drug offences,50955
31/12/2013,Metropolitan Police,London,Fraud offences to 2012/13,2934
31/12/2013,Metropolitan Police,London,Homicide,107
31/12/2013,Metropolitan Police,London,Miscellaneous crimes against society,7409
31/12/2013,Metropolitan Police,London,Non-domestic burglary,31046
31/12/2013,Metropolitan Police,London,Possession of weapons offences,3953
31/12/2013,Metropolitan Police,London,Public order offences,26771
31/12/2013,Metropolitan Police,London,Robbery,30020
31/12/2013,Metropolitan Police,London,Sexual offences,10510
31/12/2013,Metropolitan Police,London,Shoplifting,36702
31/12/2013,Metropolitan Police,London,Theft from the person,46124
31/12/2013,Metropolitan Police,London,Vehicle offences,91273
31/12/2013,Metropolitan Police,London,Violence with injury,56550
31/12/2013,Metropolitan Police,London,Violence without injury,67025
31/12/2013,Norfolk,East of England,All other theft offences,5074
31/12/2013,Norfolk,East of England,Bicycle theft,1193
31/12/2013,Norfolk,East of England,Criminal damage and arson,6763
31/12/2013,Norfolk,East of England,Domestic burglary,1316
31/12/2013,Norfolk,East of England,Drug offences,2530
31/12/2013,Norfolk,East of England,Fraud offences to 2012/13,95
31/12/2013,Norfolk,East of England,Homicide,4
31/12/2013,Norfolk,East of England,Miscellaneous crimes against society,426
31/12/2013,Norfolk,East of England,Non-domestic burglary,2345
31/12/2013,Norfolk,East of England,Possession of weapons offences,218
31/12/2013,Norfolk,East of England,Public order offences,1557
31/12/2013,Norfolk,East of England,Robbery,172
31/12/2013,Norfolk,East of England,Sexual offences,887
31/12/2013,Norfolk,East of England,Shoplifting,3671
31/12/2013,Norfolk,East of England,Theft from the person,308
31/12/2013,Norfolk,East of England,Vehicle offences,2714
31/12/2013,Norfolk,East of England,Violence with injury,3822
31/12/2013,Norfolk,East of England,Violence without injury,4468
31/12/2013,North Wales,Wales,All other theft offences,4813
31/12/2013,North Wales,Wales,Bicycle theft,555
31/12/2013,North Wales,Wales,Criminal damage and arson,7069
31/12/2013,North Wales,Wales,Domestic burglary,1717
31/12/2013,North Wales,Wales,Drug offences,1849
31/12/2013,North Wales,Wales,Fraud offences to 2012/13,-120
31/12/2013,North Wales,Wales,Homicide,5
31/12/2013,North Wales,Wales,Miscellaneous crimes against society,437
31/12/2013,North Wales,Wales,Non-domestic burglary,2921
31/12/2013,North Wales,Wales,Possession of weapons offences,151
31/12/2013,North Wales,Wales,Public order offences,1496
31/12/2013,North Wales,Wales,Robbery,118
31/12/2013,North Wales,Wales,Sexual offences,882
31/12/2013,North Wales,Wales,Shoplifting,3822
31/12/2013,North Wales,Wales,Theft from the person,191
31/12/2013,North Wales,Wales,Vehicle offences,2461
31/12/2013,North Wales,Wales,Violence with injury,3950
31/12/2013,North Wales,Wales,Violence without injury,4215
31/12/2013,North Yorkshire,Yorkshire and the Humber,All other theft offences,5470
31/12/2013,North Yorkshire,Yorkshire and the Humber,Bicycle theft,1389
31/12/2013,North Yorkshire,Yorkshire and the Humber,Criminal damage and arson,5647
31/12/2013,North Yorkshire,Yorkshire and the Humber,Domestic burglary,1593
31/12/2013,North Yorkshire,Yorkshire and the Humber,Drug offences,1781
31/12/2013,North Yorkshire,Yorkshire and the Humber,Fraud offences to 2012/13,143
31/12/2013,North Yorkshire,Yorkshire and the Humber,Homicide,7
31/12/2013,North Yorkshire,Yorkshire and the Humber,Miscellaneous crimes against society,413
31/12/2013,North Yorkshire,Yorkshire and the Humber,Non-domestic burglary,2719
31/12/2013,North Yorkshire,Yorkshire and the Humber,Possession of weapons offences,171
31/12/2013,North Yorkshire,Yorkshire and the Humber,Public order offences,1257
31/12/2013,North Yorkshire,Yorkshire and the Humber,Robbery,123
31/12/2013,North Yorkshire,Yorkshire and the Humber,Sexual offences,668
31/12/2013,North Yorkshire,Yorkshire and the Humber,Shoplifting,3886
31/12/2013,North Yorkshire,Yorkshire and the Humber,Theft from the person,522
31/12/2013,North Yorkshire,Yorkshire and the Humber,Vehicle offences,2664
31/12/2013,North Yorkshire,Yorkshire and the Humber,Violence with injury,3743
31/12/2013,North Yorkshire,Yorkshire and the Humber,Violence without injury,2371
31/12/2013,Northamptonshire,East Midlands,All other theft offences,5398
31/12/2013,Northamptonshire,East Midlands,Bicycle theft,868
31/12/2013,Northamptonshire,East Midlands,Criminal damage and arson,7224
31/12/2013,Northamptonshire,East Midlands,Domestic burglary,2915
31/12/2013,Northamptonshire,East Midlands,Drug offences,1801
31/12/2013,Northamptonshire,East Midlands,Fraud offences to 2012/13,42
31/12/2013,Northamptonshire,East Midlands,Homicide,7
31/12/2013,Northamptonshire,East Midlands,Miscellaneous crimes against society,488
31/12/2013,Northamptonshire,East Midlands,Non-domestic burglary,3013
31/12/2013,Northamptonshire,East Midlands,Possession of weapons offences,239
31/12/2013,Northamptonshire,East Midlands,Public order offences,910
31/12/2013,Northamptonshire,East Midlands,Robbery,608
31/12/2013,Northamptonshire,East Midlands,Sexual offences,714
31/12/2013,Northamptonshire,East Midlands,Shoplifting,4350
31/12/2013,Northamptonshire,East Midlands,Theft from the person,929
31/12/2013,Northamptonshire,East Midlands,Vehicle offences,4551
31/12/2013,Northamptonshire,East Midlands,Violence with injury,3701
31/12/2013,Northamptonshire,East Midlands,Violence without injury,3724
31/12/2013,Northumbria,North East,All other theft offences,8934
31/12/2013,Northumbria,North East,Bicycle theft,2015
31/12/2013,Northumbria,North East,Criminal damage and arson,13776
31/12/2013,Northumbria,North East,Domestic burglary,3405
31/12/2013,Northumbria,North East,Drug offences,4655
31/12/2013,Northumbria,North East,Fraud offences to 2012/13,-27
