Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a8661a8ceaacb9b830f435d74ac93319b3a4669e6a697d6cd0d9767af63663fe,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.724006,52.461226,On or near RAVENWOOD MEWS,E01030275,Waveney 008C,Investigation complete; no suspect identified
3deb0eead31fcc6879da2aea97cb4d1b6c489b272c74456c28b4641fb376e6f3,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.995524,52.186606,On or near MARRIOTT'S WALK,E01030071,Mid Suffolk 010B,Investigation complete; no suspect identified
f0babd993b5a8b2b89d18118deb8e8e258f2ee316092507fb161f2f4df0f0259,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.698164,52.537549,On or near Park/Open Space,E01030259,Waveney 001D,Investigation complete; no suspect identified
c1ea197bbcc9c115d150cd872244199ef7875502137a914a48ee8313c4cc1b97,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.410563,52.246127,On or near Petrol Station,E01029925,Forest Heath 008A,Investigation complete; no suspect identified
fae0c25dd57351985cd249291b8407b1193507c89c6449b0b0aae6f14ab52785,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.909542,52.022606,On or near HEATH CLOSE,E01029902,Babergh 009C,Investigation complete; no suspect identified
865634fde6cac47a5c432f11ad08183d209c3d8ffd2dc60bb82addf130441c90,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.698338,52.252909,On or near BEETONS WAY,E01033047,St Edmundsbury 006G,Investigation complete; no suspect identified
71966914f1a68b3090cd2ebffe256a42483c893cccbd2712151c364729d93287,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.184858,52.034520,On or near HENRY ROAD,E01029979,Ipswich 016B,Investigation complete; no suspect identified
c9209ad0e7697cee8a81ff9f08a1e9537229199cc4fb26633080ff190959d352,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.134140,52.085141,On or near Supermarket,E01030035,Ipswich 001D,Investigation complete; no suspect identified
9f44bf2a0a7bb2989715d4f88d3ce4c4a18540e0c30e0e6d0cbeab657d2302ca,2014-04,Suffolk Constabulary,Suffolk Constabulary,1.199804,52.028790,On or near MINSMERE ROAD,E01033127,Ipswich 014E,Investigation complete; no suspect identified
d120e3ddd0a423846d7a3fe95ec9e8e79046f0b58970b67e3f37c65ac02f5be9,2014-04,Suffolk Constabulary,Suffolk Constabulary,0.408367,52.245884,On or near EXETER ROAD,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
