Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f48477dbe15b32c0b4e8e1ea7858d9ef1a47549993aab52de207bd7f122b3e43,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,,,No location,,,Offender given a caution
2466cdc6b2a079f81c4441d58c0bb8abcb3f3815e1b503add81f874af930be1a,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
20dd25e35b954112fc8f9f481292873efb580dd1ceceed6521767939ef0ee4f8,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032236,51.686234,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
7c6ff72b449a6e73599866adc056104a3242dd938d76bc22b450519691b1ae4f,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032236,51.686234,On or near Parking Area,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
bbad3763e694519efe605a4ea75f56b21428ec0514cf04d5ec68d68d154fe978,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028491,51.700846,On or near STEWARD CLOSE,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
c9cc22823ed0d2264d1d8bb4b0d6de2d5fa5e614dcdbcee7e8409a89a5e52100,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
ec34fa23d3ca8764345c348abb13e99877ed662e76e9b38b89ba79ab52a3ac69,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023875,51.685554,On or near ELEANOR CROSS ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
636a06c16494401e146cf5c565fbaa7b68feac618bb68ccb5b4c891f3cd48103,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036275,51.716920,On or near Parking Area,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
e2d7638874439acc8c74fea244ed141d9bb3759111dc29706547bfaad3925d09,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055923,51.703372,On or near DARK LANE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
be7aec17372f88261d550d40d42c9dea28f78d6a6f043345f6f50e02ec6b3591,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.050580,51.713858,On or near PARADISE CLOSE,E01023309,Broxbourne 006C,Investigation complete; no suspect identified
8107a471f753bc2ec5823b932ecb69858673acbd53deb24d3716062710aac82f,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.060302,51.701484,On or near BONNEY GROVE,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
c11d7c0b22c006d524270f4c32f24d63995b98d565a9a650f148185932957cf5,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056688,51.707809,On or near CUSSONS CLOSE,E01023295,Broxbourne 011C,Investigation complete; no suspect identified
856269d6f3f21222bc8867e503f197222beacf2edb81adbca5214d03bee9249a,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045364,51.710948,On or near THE GREEN,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
4e8bb55d68c6417f75236fcd9f4c6755471cf2de7bce851a55d97f29425988df,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035772,51.684440,On or near SEAFORTH DRIVE,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
d1a83854d8658cea525101d62ab358c7b87bb384fd4b0c607dfdc80ef091bca4,2014-04,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.037445,51.718001,On or near Supermarket,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
