Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
707092bf48a9914f0cf054693c928b3abb03ec860790c695ca42803029b251b1,2014-04,Dorset Police,Dorset Police,-2.333244,51.033453,On or near MOOR LANE,E01020440,North Dorset 002A,Investigation complete; no suspect identified
f82846655f5ded864ea4506eef055e0d5a700980db12290141a7f206882b3f8d,2014-04,Dorset Police,Dorset Police,-2.587439,50.930028,On or near WESTBURY,E01020497,West Dorset 002A,Investigation complete; no suspect identified
b56f189d0f69979b6611665fd33c6bde1850838ba1aa480df4d8d046dc701d63,2014-04,Dorset Police,Dorset Police,-2.463452,50.615367,On or near POTTERY LANE,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
27ec5287b9963fbc3f60f49aa444de71c9e0b90ea0f2bd4c6e0004bcc2cf98e4,2014-04,Dorset Police,Dorset Police,-2.564238,50.916528,On or near GLEBE CLOSE,E01020497,West Dorset 002A,Investigation complete; no suspect identified
f43d8fe28730bd50259ea200d8ecda061903e65b98f45595ad287dcedd63b33a,2014-04,Dorset Police,Dorset Police,-2.045495,50.739175,On or near POLICEMANS LANE,E01020475,Purbeck 002E,Investigation complete; no suspect identified
907a1dadf7155e75f62f7158f6fa0a17721f79dbf8f548f5e8b0ed7886827324,2014-04,Dorset Police,Dorset Police,-2.022232,50.782374,On or near RECTORY AVENUE,E01020386,East Dorset 012E,Investigation complete; no suspect identified
c9940f89bec007d3046070c7eb7fd3a4011970554521f8578784370e7f793f3d,2014-04,Dorset Police,Dorset Police,-2.721901,50.698486,On or near BEACH ROAD,E01020507,West Dorset 007A,Investigation complete; no suspect identified
8224db51d88b920bc8d20a8860b47ceaf83abb50d752a9e3f0c8b0bda17bf0cf,2014-04,Dorset Police,Dorset Police,-1.978607,50.609363,On or near Sports/Recreation Area,E01020483,Purbeck 006F,Investigation complete; no suspect identified
a6c4a08052c7f675d90cd20db6bb8f02aa2218a8db56b63d99b32f632b07a716,2014-04,Dorset Police,Dorset Police,-2.012195,50.644868,On or near BREACHES LANE,E01020466,Purbeck 005A,Investigation complete; no suspect identified
44e96fa904c523f97067031e1d43ceaac5182bd5f4dd30f36c3a3f809f7c38ba,2014-04,Dorset Police,Dorset Police,-1.958610,50.609861,On or near Supermarket,E01020479,Purbeck 006B,Investigation complete; no suspect identified
63c5458dad7b053eeddd8607aa4fde8bd02e45e36c0a3ffd8cb3fbfa39e8ce48,2014-04,Dorset Police,Dorset Police,-1.877435,50.848074,On or near RINGWOOD ROAD,E01020411,East Dorset 003A,Investigation complete; no suspect identified
fae4bdb287687312db124bd5d73298113133d7f54ba23fa2fb8932c589bbda44,2014-04,Dorset Police,Dorset Police,-2.442674,50.704036,On or near Sports/Recreation Area,E01020525,West Dorset 010F,Investigation complete; no suspect identified
19fd4f71705078c49475a86d942b451357b390390010a52b0c87cea583be0c68,2014-04,Dorset Police,Dorset Police,-2.454849,50.612955,On or near GLOUCESTER STREET,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
9163a323e0d1c21691cbc19488642e545afd7a93edef26713906017f7670e275,2014-04,Dorset Police,Dorset Police,-1.877435,50.848074,On or near RINGWOOD ROAD,E01020411,East Dorset 003A,Investigation complete; no suspect identified
5e178fc25a36026b32c0a52a095d4467b6ef1fd5359068955eb8d957a34b4a32,2014-04,Dorset Police,Dorset Police,-1.877435,50.848074,On or near RINGWOOD ROAD,E01020411,East Dorset 003A,Investigation complete; no suspect identified
5ea0dc6334873ac37ff7c0a0c2f029802e45f0b1225c02423856be561e79ac5c,2014-04,Dorset Police,Dorset Police,-1.987745,50.800100,On or near B3073,E01020428,East Dorset 010C,Investigation complete; no suspect identified
b5506f34fda1feaa6d59426dc80ad6fe7f8677cc20c5417c3b07e311a9e37fab,2014-04,Dorset Police,Dorset Police,-2.473166,50.614321,On or near SUSSEX ROAD,E01020575,Weymouth and Portland 003B,Investigation complete; no suspect identified
603bb4401607fb5a3280fc76caad0cf3fbad21267b55311e5009e3f3121c3cd9,2014-04,Dorset Police,Dorset Police,-1.877435,50.848074,On or near RINGWOOD ROAD,E01020411,East Dorset 003A,Investigation complete; no suspect identified
e94b29b90c1d68fa1c356f631ee3097bc7987b942614cf3185a63370f97b53cb,2014-04,Dorset Police,Dorset Police,-2.043083,50.920060,On or near A354,E01020396,East Dorset 005A,Investigation complete; no suspect identified
76bc8f3886d4f32f26b8ae56daefbb745424dc4fec185307c0cbf03ae3a721f7,2014-04,Dorset Police,Dorset Police,-2.476361,50.593444,On or near GALLWEY ROAD,E01020586,Weymouth and Portland 007A,Investigation complete; no suspect identified
