Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9b8065e16e32fbb253aa814eee8b5e0a0a6961662298fc8ba378c7044b6196b7,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.033254,52.747726,On or near REEVES CLOSE,E01026436,Breckland 001A,Investigation complete; no suspect identified
30cb138b96aa2a39462f8fdf906cf8d745539ce9a2cc0dfa77eea6bb1a58598e,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.744374,52.411658,On or near ST MARY'S COURT,E01026474,Breckland 017A,Investigation complete; no suspect identified
fd7abf0c771384d7a38bfe6a1f87c710797d5a1eaf543601238cbafb17d4252d,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.289771,52.625864,On or near Shopping Area,E01026822,Norwich 007A,Investigation complete; no suspect identified
48432c1d13aad2417c9420c61159e4b947e6859a5a54e7f9ee75256b8e85120b,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.290514,52.632814,On or near INDIGO YARD,E01026823,Norwich 007B,Investigation complete; no suspect identified
b1a85111093dbd20202013f06141374c9d3375511d6ef95583393350368885fd,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.706147,52.573260,On or near BUNNEWELL AVENUE,E01026586,Great Yarmouth 013B,Investigation complete; no suspect identified
95900dbfc40360b5a8b9ac574dde1b5dd85adcaf8acbb6f40c936f32d7fa3532,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.352902,52.700672,On or near EDINBURGH PLACE,E01026726,King's Lynn and West Norfolk 015D,Investigation complete; no suspect identified
96cf18cf31ad7d0fd3c9de2e03dc3dc7fae1f75a06f7b78505468836b967fdab,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.292642,52.629265,On or near Supermarket,E01026823,Norwich 007B,Investigation complete; no suspect identified
0a5e768320ef00cb1d459b0cd7ced7daffee11760c991edc95fd02efaef2d924,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.736341,52.763630,On or near MASSINGHAM ROAD,E01026442,Breckland 002A,Investigation complete; no suspect identified
ba455e97169851e2ca32f49a3b46a3b47e79f920a1725973b31a76c56793836c,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.939975,52.681633,On or near QUEBEC STREET,E01026426,Breckland 005B,Investigation complete; no suspect identified
bd5e497351b000dd06e37505603e42074e72e2772f075d109456eb570229dd76,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.942710,52.681808,On or near OLNEY ROAD,E01026426,Breckland 005B,Investigation complete; no suspect identified
0ba309ef5d8c8da8f4191eb256275c6ad41accf414b302a49b32a351d7e61984,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.744287,52.409781,On or near ST MARGARET'S CRESCENT,E01026477,Breckland 017D,Investigation complete; no suspect identified
11b653d208e2a36443102b767a4e82742b5494f5790dcdb478447af4a7b8d296,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.102417,52.905975,On or near A148,E01026742,North Norfolk 004B,Investigation complete; no suspect identified
67d1db37aa65c3193fbb4c81f910b735b338d96ac053c43b6342b692ba6c2302,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.279726,52.652989,On or near Supermarket,E01026797,Norwich 001A,Investigation complete; no suspect identified
2d305f3ac2499df89d6325689ed7eb3c65a886a5e988ae43777b89d2abd89174,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.174766,52.685139,On or near WISBECH ROAD,E01026720,King's Lynn and West Norfolk 013D,Investigation complete; no suspect identified
3199407f60000509dd16db60a658df87bbd8e36def9ff79f6586bad24fa44b51,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.404226,52.748970,On or near HOSPITAL WALK,E01026699,King's Lynn and West Norfolk 011B,Investigation complete; no suspect identified
27a7d6c27f35c4f29a2cecfd2ed4827596ee031e5e5486c1d00b0444e0b3a202,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.203913,52.696289,On or near ORCHARD DRIVE,E01026720,King's Lynn and West Norfolk 013D,Investigation complete; no suspect identified
41f837cfe30cd1cf7cdd05a9f14f6dd692e894ea8c1393addb63ad5bdbe5d9e3,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.403871,52.672869,On or near NORWICH ROAD,E01026579,Broadland 008D,Investigation complete; no suspect identified
6423406ebd1b23f010bdee6ab4c75bffcb9552030fbbb8b0bcbce562f6d2a5d0,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.335051,52.490886,On or near MILL ROAD,E01026894,South Norfolk 012C,Investigation complete; no suspect identified
9bbe1335a39b9737bb4d69a6d6ba9edd6122b36f97b9b64b260445ccfbe582eb,2014-04,Norfolk Constabulary,Norfolk Constabulary,0.748030,52.416537,On or near CLAXTON CLOSE,E01026465,Breckland 015A,Investigation complete; no suspect identified
9df7a521ffd4343e56efbdf4193e945c846e45ca05e413b3c3816cc3be7536c5,2014-04,Norfolk Constabulary,Norfolk Constabulary,1.184911,52.663465,On or near ROSE AVENUE,E01033538,South Norfolk 001G,Investigation complete; no suspect identified
