Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a9d356b60bf83ab9c9c5ce42e1a4501f2a88fe66c46996de60a11a67e44bbb80,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023276,51.684680,On or near BROOK ROAD,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
97bf781e6df5be23f609cdd34936e132a02424b9a647129bb5b15a0ad23ff4e2,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.017361,51.683978,On or near JOSHUA WALK,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
996d0629b754c877aeb50f3846991d4099786a87395f38436cf2bd9ac9455593,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.036438,51.695782,On or near FRIENDS AVENUE,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
8fc69009d1d7751bd2f4847c90faed323304f1d2570ddf2efaf00513f4be842e,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.029282,51.687299,On or near CROSS ROAD,E01023336,Broxbourne 013A,Investigation complete; no suspect identified
3f6a4b820608d9434f92927b678f253f23c9362aefc6d7e9f02fde0abd0db78f,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049718,51.703278,On or near LORDSHIP ROAD,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
6870df21cad2cf46d8404faeb08c10eeefdf457d06f50e69425ee622e70a2b06,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
c556104f8be6ff0edc4e77abc9329c3377d0b93e1bb67ba37a0115bfd2903b11,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031351,51.689960,On or near EDINBURGH CRESCENT,E01023335,Broxbourne 012D,Investigation complete; no suspect identified
0132840156fc70215b8f93dfb6e4b46aec2f03c3b0a9a562d2b636c1f8f87bc6,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030300,51.691857,On or near TRINITY LANE,E01023335,Broxbourne 012D,Investigation complete; no suspect identified
aa269d24a93b1caef4b8809edf7c0709ad84702d06dd79c985c554a8d08cbfa5,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.045116,51.712661,On or near ALBEMARLE AVENUE,E01023310,Broxbourne 006D,Investigation complete; no suspect identified
695af841daf4792ca5e34f6321c388c9663ef548a887c05ef8ea4535f8237314,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.018873,51.682493,On or near Sports/Recreation Area,E01023338,Broxbourne 013C,Investigation complete; no suspect identified
e1be442d3d5782cea5ef377a3decd5054f79ad4dc41f272e9029094b6dacb840,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.086527,51.710358,On or near Supermarket,E01023311,Broxbourne 007A,Investigation complete; no suspect identified
b2c4d9c914bf6fb4559e7b1088043ca0a58afc8b30f24a4aad144342495bf13e,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.051273,51.711208,On or near OAKVIEW CLOSE,E01023326,Broxbourne 009D,Investigation complete; no suspect identified
2c8ed5674921b4071215a77e65abd7d400371ead116323aa572891f20d951529,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030653,51.685713,On or near ELEANOR CROSS ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
b26737f7e4d07de76d16a801139d1f551b037805959cb17ea3d4fa2e333b2c07,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044328,51.708782,On or near CHURCH LANE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
05f29c232c03f1d2c6528de7884eedc1cbe02a8c34a1b0ef3f03e2cab341e07a,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.023387,51.703404,On or near Parking Area,E01023299,Broxbourne 010C,Investigation complete; no suspect identified
2ee3332db16557ae9b86056e59e456462685c1c9eba2fff9532e86e372204a49,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033844,51.689525,On or near A121,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
61508d8cc0b2a9cd47e549a89914ee0a955a941ecc4ec71b79204549d26a4cd7,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040578,51.702793,On or near COLLEGE ROAD,E01023297,Broxbourne 010A,Investigation complete; no suspect identified
4bdcfd32d91e1c7a40fa297b715978f8dc4bf2190d488eb0f1c5f2fa1432f607,2013-09,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.034030,51.686569,On or near SWAN ROAD,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
